"Tipo de elección.","Año del proceso electoral.","Mes del proceso electoral.","Número de vuelta (en procesos a una sola vuelta = 1)","Código de la Comunidad Autónoma o 99 si se trata del Total Nacional del C.E.R.A.","Código I.N.E. de la provincia o 99 si se trata del Total Nacional o Autonómico del C.E.R.A.","Municipio","Número de distrito municipal en su caso o 01 si el municipio no tiene distritos (distrito único). En el caso de datos procedentes del C.E.R.A., llevará el número del ‘Distrito Electoral’ a que correspondan o 09 si el ámbito de dicho distrito coincide con el de la provincia.","Código de la sección (tres dígitos seguidos de un espacio, letra mayúscula u otro dígito).","Código de la mesa (una letra mayúscula identificando la mesa o una ‘U’ en caso de mesa única).","Siglas.","Votos obtenidos por la candidatura o el Senador."
07,1987,06,1,01,18,ALAMEDILLA,01,0001,A,AIC                                               ,0000000
07,1987,06,1,01,18,ALAMEDILLA,01,0001,A,PAR                                               ,0000000
07,1987,06,1,01,18,ALBOLOTE,01,0001,A,POSI                                              ,0000000
07,1987,06,1,01,18,ALBOLOTE,01,0001,A,UCE                                               ,0000000
07,1987,06,1,01,18,ALBOLOTE,01,0001,A,AS                                                ,0000011
07,1987,06,1,01,18,ALBOLOTE,01,0002,A,PANCAL                                            ,0000000
07,1987,06,1,01,18,ALBOLOTE,01,0003,A,PCV                                               ,0000000
07,1987,06,1,01,18,ALBOLOTE,01,0004,A,AP                                                ,0000126
07,1987,06,1,01,18,ALBOLOTE,01,0004,A,CSD                                               ,0000000
07,1987,06,1,01,18,ALBOLOTE,01,0005,A,AP                                                ,0000085
07,1987,06,1,01,18,ALBOLOTE,01,0005,A,FN                                                ,0000000
07,1987,06,1,01,18,ALBONDÓN,01,0001,A,HB                                                ,0000000
07,1987,06,1,01,18,ALBONDÓN,01,0001,A,LV                                                ,0000000
07,1987,06,1,01,18,ALBONDÓN,01,0001,A,POSI                                              ,0000000
07,1987,06,1,01,18,ALBONDÓN,01,0001,A,PTE-UC                                            ,0000003
07,1987,06,1,01,18,ALBONDÓN,01,0001,A,ANEMYA                                            ,0000000
07,1987,06,1,01,18,ALBONDÓN,01,0001,B,FE-JONS                                           ,0000001
07,1987,06,1,01,18,ALBONDÓN,01,0001,B,PTE-UC                                            ,0000000
07,1987,06,1,01,18,ALBUÑÁN,01,0001,A,AP                                                ,0000188
07,1987,06,1,01,18,ALBUÑÁN,01,0001,A,PH                                                ,0000000
07,1987,06,1,01,18,ALBUÑOL,01,0001,A,AP                                                ,0000115
07,1987,06,1,01,18,ALBUÑOL,01,0001,B,UCE                                               ,0000000
07,1987,06,1,01,18,ALBUÑOL,01,0001,B,PNV-PG-N                                          ,0000000
07,1987,06,1,01,18,ALBUÑOL,01,0002,A,PDP                                               ,0000000
07,1987,06,1,01,18,ALBUÑOL,01,0002,A,LA                                                ,0000000
