"Tipo de elección.","Año del proceso electoral.","Mes del proceso electoral.","Número de vuelta (en procesos a una sola vuelta = 1)","Código de la Comunidad Autónoma o 99 si se trata del Total Nacional del C.E.R.A.","Código I.N.E. de la provincia o 99 si se trata del Total Nacional o Autonómico del C.E.R.A.","Municipio","Número de distrito municipal en su caso o 01 si el municipio no tiene distritos (distrito único). En el caso de datos procedentes del C.E.R.A., llevará el número del ‘Distrito Electoral’ a que correspondan o 09 si el ámbito de dicho distrito coincide con el de la provincia.","Código de la sección (tres dígitos seguidos de un espacio, letra mayúscula u otro dígito).","Código de la mesa (una letra mayúscula identificando la mesa o una ‘U’ en caso de mesa única).","Siglas.","Votos obtenidos por la candidatura o el Senador."
07,1994,06,1,01,18,AGRÓN,01,001 ,U,PEP                                               ,0000000
07,1994,06,1,01,18,AGRÓN,01,001 ,U,BNG                                               ,0000000
07,1994,06,1,01,18,AGRÓN,01,001 ,U,PH                                                ,0000000
07,1994,06,1,01,18,ALAMEDILLA,01,001 ,U,HB                                                ,0000000
07,1994,06,1,01,18,ALAMEDILLA,01,001 ,U,RUIZ-MATEOS                                       ,0000001
07,1994,06,1,01,18,ALBOLOTE,01,001 ,A,PAS                                               ,0000000
07,1994,06,1,01,18,ALBOLOTE,01,001 ,A,PP                                                ,0000133
07,1994,06,1,01,18,ALBOLOTE,01,001 ,A,PSOE                                              ,0000135
07,1994,06,1,01,18,ALBOLOTE,01,001 ,B,PEP                                               ,0000000
07,1994,06,1,01,18,AGRÓN,01,001 ,U,CPNT                                              ,0000000
07,1994,06,1,01,18,AGRÓN,01,001 ,U,AG                                                ,0000000
07,1994,06,1,01,18,ALAMEDILLA,01,001 ,U,FEI                                               ,0000000
07,1994,06,1,01,18,ALBOLOTE,01,001 ,A,PLN                                               ,0000000
07,1994,06,1,01,18,ALBOLOTE,01,002 ,A,PEP                                               ,0000000
07,1994,06,1,01,18,ALBOLOTE,01,002 ,B,CEC                                               ,0000000
07,1994,06,1,01,18,ALBOLOTE,01,002 ,B,FORO Y CDS                                        ,0000000
07,1994,06,1,01,18,ALBOLOTE,01,002 ,B,CPNT                                              ,0000000
07,1994,06,1,01,18,ALBOLOTE,01,002 ,C,PAS                                               ,0000000
07,1994,06,1,01,18,ALBOLOTE,01,002 ,C,POR                                               ,0000001
07,1994,06,1,01,18,ALBOLOTE,01,002 ,C,PREPAL                                            ,0000000
07,1994,06,1,01,18,ALBOLOTE,01,003 ,A,CN                                                ,0000000
07,1994,06,1,01,18,ALBOLOTE,01,003 ,A,FEI                                               ,0000000
07,1994,06,1,01,18,ALBOLOTE,01,003 ,A,CTC                                               ,0000000
07,1994,06,1,01,18,ALBOLOTE,01,003 ,A,AG                                                ,0000000
07,1994,06,1,01,18,ALBOLOTE,01,003 ,B,RUIZ-MATEOS                                       ,0000004
07,1994,06,1,01,18,ALBOLOTE,01,003 ,B,CEC                                               ,0000000
07,1994,06,1,01,18,ALBOLOTE,01,003 ,B,JYB                                               ,0000000
07,1994,06,1,01,18,ALBOLOTE,01,004 ,A,CIU                                               ,0000000
07,1994,06,1,01,18,ALBOLOTE,01,004 ,A,CPNT                                              ,0000001
07,1994,06,1,01,18,ALBOLOTE,01,004 ,A,IU-CA                                             ,0000155
07,1994,06,1,01,18,ALBOLOTE,01,004 ,B,HB                                                ,0000000
07,1994,06,1,01,18,ALBOLOTE,01,004 ,B,LVRM                                              ,0000000
07,1994,06,1,01,18,ALBOLOTE,01,004 ,B,PA-PAP                                            ,0000020
07,1994,06,1,01,18,ALBOLOTE,01,005 ,A,RUIZ-MATEOS                                       ,0000002
07,1994,06,1,01,18,ALBOLOTE,01,005 ,A,PREPAL                                            ,0000000
07,1994,06,1,01,18,ALBOLOTE,01,005 ,B,URCL                                              ,0000000
07,1994,06,1,01,18,ALBOLOTE,01,005 ,B,PH                                                ,0000001
07,1994,06,1,01,18,ALBOLOTE,01,005 ,B,IU-CA                                             ,0000155
07,1994,06,1,01,18,ALBONDÓN,01,001 ,A,PAS                                               ,0000000
07,1994,06,1,01,18,ALBONDÓN,01,001 ,A,CIU                                               ,0000000
07,1994,06,1,01,18,ALBONDÓN,01,001 ,B,FEI                                               ,0000000
07,1994,06,1,01,18,ALBONDÓN,01,001 ,B,CTC                                               ,0000000
07,1994,06,1,01,18,ALBONDÓN,01,001 ,B,ADN                                               ,0000000
07,1994,06,1,01,18,ALBUÑÁN,01,001 ,U,PLN                                               ,0000000
07,1994,06,1,01,18,ALBUÑÁN,01,001 ,U,HB                                                ,0000000
07,1994,06,1,01,18,ALBUÑOL,01,001 ,A,PA-PAP                                            ,0000002
07,1994,06,1,01,18,ALBUÑOL,01,001 ,B,EU                                                ,0000000
07,1994,06,1,01,18,ALBUÑOL,01,001 ,B,HB                                                ,0000000
07,1994,06,1,01,18,ALBUÑOL,01,001 ,B,PCAR                                              ,0000000
07,1994,06,1,01,18,ALBUÑOL,01,001 ,B,CNPS                                              ,0000000
07,1994,06,1,01,18,ALBUÑOL,01,002 ,U,BNG                                               ,0000000
07,1994,06,1,01,18,ALBUÑOL,01,002 ,U,PSOE                                              ,0000188
07,1994,06,1,01,18,ALBUÑOL,02,001 ,A,BNG                                               ,0000000
07,1994,06,1,01,18,ALBUÑOL,02,001 ,A,RUIZ-MATEOS                                       ,0000002
07,1994,06,1,01,18,ALBUÑOL,02,001 ,B,BNG                                               ,0000000
07,1994,06,1,01,18,ALBUÑOL,03,001 ,U,RUIZ-MATEOS                                       ,0000000
07,1994,06,1,01,18,ALBUÑUELAS,01,001 ,A,FEI                                               ,0000000
07,1994,06,1,01,18,ALBUÑUELAS,01,001 ,A,POR                                               ,0000000
07,1994,06,1,01,18,AGRÓN,01,001 ,U,PLN                                               ,0000000
07,1994,06,1,01,18,AGRÓN,01,001 ,U,HB                                                ,0000000
07,1994,06,1,01,18,AGRÓN,01,001 ,U,PCPE                                              ,0000000
07,1994,06,1,01,18,ALAMEDILLA,01,001 ,U,PCPE                                              ,0000000
07,1994,06,1,01,18,ALBOLOTE,01,001 ,A,HB                                                ,0000000
07,1994,06,1,01,18,ALBOLOTE,01,001 ,A,JYB                                               ,0000000
07,1994,06,1,01,18,ALBOLOTE,01,001 ,A,GPOR-PST                                          ,0000000
07,1994,06,1,01,18,ALBOLOTE,01,001 ,B,GV                                                ,0000006
07,1994,06,1,01,18,ALBOLOTE,01,002 ,B,BNG                                               ,0000000
07,1994,06,1,01,18,ALBOLOTE,01,002 ,B,GV                                                ,0000000
07,1994,06,1,01,18,ALBOLOTE,01,002 ,B,HB                                                ,0000000
07,1994,06,1,01,18,ALBOLOTE,01,002 ,B,LVRM                                              ,0000000
07,1994,06,1,01,18,ALBOLOTE,01,002 ,B,CNPS                                              ,0000000
07,1994,06,1,01,18,ALBOLOTE,01,002 ,C,CN                                                ,0000000
07,1994,06,1,01,18,ALBOLOTE,01,002 ,C,CEC                                               ,0000000
07,1994,06,1,01,18,ALBOLOTE,01,002 ,C,PCPE                                              ,0000000
07,1994,06,1,01,18,ALBOLOTE,01,003 ,A,PEP                                               ,0000000
07,1994,06,1,01,18,ALBOLOTE,01,003 ,A,FE-JONS                                           ,0000001
07,1994,06,1,01,18,ALBOLOTE,01,003 ,A,ADN                                               ,0000000
07,1994,06,1,01,18,ALBOLOTE,01,003 ,B,CTC                                               ,0000000
07,1994,06,1,01,18,ALBOLOTE,01,004 ,A,POR                                               ,0000001
07,1994,06,1,01,18,ALBOLOTE,01,004 ,A,FORO Y CDS                                        ,0000003
07,1994,06,1,01,18,ALBOLOTE,01,004 ,A,FE-JONS                                           ,0000000
07,1994,06,1,01,18,ALBOLOTE,01,001 ,B,URCL                                              ,0000000
07,1994,06,1,01,18,ALBOLOTE,01,001 ,B,CIU                                               ,0000000
07,1994,06,1,01,18,ALBOLOTE,01,001 ,B,ADN                                               ,0000000
07,1994,06,1,01,18,ALBOLOTE,01,002 ,A,PCPE                                              ,0000000
07,1994,06,1,01,18,ALBOLOTE,01,002 ,A,PA-PAP                                            ,0000007
07,1994,06,1,01,18,ALBOLOTE,01,002 ,B,PEP                                               ,0000000
07,1994,06,1,01,18,ALBOLOTE,01,002 ,B,CIU                                               ,0000000
07,1994,06,1,01,18,ALBOLOTE,01,002 ,B,PCPE                                              ,0000000
07,1994,06,1,01,18,ALBOLOTE,01,003 ,A,PREX                                              ,0000000
07,1994,06,1,01,18,ALBOLOTE,01,003 ,A,CIU                                               ,0000000
07,1994,06,1,01,18,ALBOLOTE,01,003 ,A,GPOR-PST                                          ,0000000
07,1994,06,1,01,18,ALBOLOTE,01,003 ,B,HB                                                ,0000000
07,1994,06,1,01,18,ALBOLOTE,01,004 ,A,BNG                                               ,0000000
07,1994,06,1,01,18,ALBOLOTE,01,004 ,A,GV                                                ,0000000
07,1994,06,1,01,18,ALBOLOTE,01,004 ,A,PCPE                                              ,0000000
07,1994,06,1,01,18,ALBOLOTE,01,004 ,B,CTC                                               ,0000001
07,1994,06,1,01,18,ALBOLOTE,01,005 ,A,CNPS                                              ,0000000
07,1994,06,1,01,18,ALBOLOTE,01,005 ,B,GV                                                ,0000004
