"Tipo de elección.","Año del proceso electoral.","Mes del proceso electoral.","Número de vuelta (en procesos a una sola vuelta = 1)","Código de la Comunidad Autónoma o 99 si se trata del Total Nacional del C.E.R.A.","Código I.N.E. de la provincia o 99 si se trata del Total Nacional o Autonómico del C.E.R.A.","Municipio","Número de distrito municipal en su caso o 01 si el municipio no tiene distritos (distrito único). En el caso de datos procedentes del C.E.R.A., llevará el número del ‘Distrito Electoral’ a que correspondan o 09 si el ámbito de dicho distrito coincide con el de la provincia.","Código de la sección (tres dígitos seguidos de un espacio, letra mayúscula u otro dígito).","Código de la mesa (una letra mayúscula identificando la mesa o una ‘U’ en caso de mesa única).","Siglas.","Votos obtenidos por la candidatura o el Senador."
07,2004,06,1,01,18,AGRÓN,01,001 ,U,PSOE                                              ,0000113
07,2004,06,1,01,18,ALAMEDILLA,01,001 ,U,PCPE-LI (LI                                       ,0000000
07,2004,06,1,01,18,ALAMEDILLA,01,001 ,U,UCL                                               ,0000000
07,2004,06,1,01,18,ALBOLOTE,01,001 ,A,PCPE-LI (LI                                       ,0000000
07,2004,06,1,01,18,ALBOLOTE,01,001 ,A,PH                                                ,0000000
07,2004,06,1,01,18,ALBOLOTE,01,001 ,A,FA                                                ,0000000
07,2004,06,1,01,18,ALBOLOTE,01,001 ,A,PC                                                ,0000000
07,2004,06,1,01,18,ALBOLOTE,01,002 ,A,PP                                                ,0000047
07,2004,06,1,01,18,ALBOLOTE,01,002 ,A,PUM+J                                             ,0000000
07,2004,06,1,01,18,ALBOLOTE,01,002 ,A,PREPAL                                            ,0000000
07,2004,06,1,01,18,ALBOLOTE,01,002 ,A,FA                                                ,0000000
07,2004,06,1,01,18,ALBOLOTE,01,002 ,B,A-IZ-PSA-ED                                       ,0000000
07,2004,06,1,01,18,ALBOLOTE,01,003 ,A,PREPAL                                            ,0000000
07,2004,06,1,01,18,ALBOLOTE,01,003 ,A,CL                                                ,0000000
07,2004,06,1,01,18,ALBOLOTE,01,003 ,B,FE                                                ,0000000
07,2004,06,1,01,18,ALBOLOTE,01,003 ,B,CL                                                ,0000000
07,2004,06,1,01,18,ALBOLOTE,01,003 ,C,PH                                                ,0000000
07,2004,06,1,01,18,ALBOLOTE,01,003 ,C,UCL                                               ,0000000
07,2004,06,1,01,18,ALBOLOTE,01,003 ,C,PADE                                              ,0000000
07,2004,06,1,01,18,ALBOLOTE,01,004 ,A,PP                                                ,0000102
07,2004,06,1,01,18,ALBOLOTE,01,004 ,A,TC-PNC                                            ,0000000
07,2004,06,1,01,18,ALBOLOTE,01,004 ,A,PH                                                ,0000000
07,2004,06,1,01,18,ALBOLOTE,01,004 ,B,GALEUSCA                                          ,0000000
07,2004,06,1,01,18,ALBOLOTE,01,004 ,B,PCPE-LI (LI                                       ,0000000
