"Tipo de elección.","Año del proceso electoral.","Mes del proceso electoral.","Número de vuelta (en procesos a una sola vuelta = 1)","Código de la Comunidad Autónoma o 99 si se trata del Total Nacional del C.E.R.A.","Código I.N.E. de la provincia o 99 si se trata del Total Nacional o Autonómico del C.E.R.A.","Municipio","Número de distrito municipal en su caso o 01 si el municipio no tiene distritos (distrito único). En el caso de datos procedentes del C.E.R.A., llevará el número del ‘Distrito Electoral’ a que correspondan o 09 si el ámbito de dicho distrito coincide con el de la provincia.","Código de la sección (tres dígitos seguidos de un espacio, letra mayúscula u otro dígito).","Código de la mesa (una letra mayúscula identificando la mesa o una ‘U’ en caso de mesa única).","Siglas.","Votos obtenidos por la candidatura o el Senador."
07,1989,06,1,01,18,AGRÓN,01,0001,A,HB                                                ,0000000
07,1989,06,1,01,18,AGRÓN,01,0001,A,P.E.P.                                            ,0000000
07,1989,06,1,01,18,ALAMEDILLA,01,0001,A,PTE-UC                                            ,0000005
07,1989,06,1,01,18,ALAMEDILLA,01,0001,A,HB                                                ,0000000
07,1989,06,1,01,18,ALAMEDILLA,01,0001,A,BACTERIA                                          ,0000000
07,1989,06,1,01,18,ALAMEDILLA,01,0001,A,RUIZ-MATEOS                                       ,0000004
07,1989,06,1,01,18,ALAMEDILLA,01,0001,A,FN                                                ,0000001
07,1989,06,1,01,18,ALAMEDILLA,01,0001,A,CSD                                               ,0000000
07,1989,06,1,01,18,ALAMEDILLA,01,0001,A,IU-CA                                             ,0000009
07,1989,06,1,01,18,ALBOLOTE,01,0001,A,BACTERIA                                          ,0000000
07,1989,06,1,01,18,ALBOLOTE,01,0001,B,IDE                                               ,0000000
07,1989,06,1,01,18,ALBOLOTE,01,0002,A,BNG                                               ,0000000
07,1989,06,1,01,18,ALBOLOTE,01,0002,A,AR                                                ,0000000
07,1989,06,1,01,18,ALBOLOTE,01,0002,B,PTE-UC                                            ,0000060
07,1989,06,1,01,18,ALBOLOTE,01,0003,A,FPR                                               ,0000000
07,1989,06,1,01,18,ALBOLOTE,01,0003,A,CN                                                ,0000001
07,1989,06,1,01,18,ALBOLOTE,01,0003,A,PST-PORE                                          ,0000000
07,1989,06,1,01,18,ALBOLOTE,01,0003,A,PH                                                ,0000000
07,1989,06,1,01,18,ALBOLOTE,01,0004,A,PTE-UC                                            ,0000028
07,1989,06,1,01,18,ALAMEDILLA,01,0001,A,BNG                                               ,0000000
07,1989,06,1,01,18,ALAMEDILLA,01,0001,A,CIU                                               ,0000000
