"Tipo de elección.","Año del proceso electoral.","Mes del proceso electoral.","Número de vuelta (en procesos a una sola vuelta = 1)","Código de la Comunidad Autónoma o 99 si se trata del Total Nacional del C.E.R.A.","Código I.N.E. de la provincia o 99 si se trata del Total Nacional o Autonómico del C.E.R.A.","Municipio","Número de distrito municipal en su caso o 01 si el municipio no tiene distritos (distrito único). En el caso de datos procedentes del C.E.R.A., llevará el número del ‘Distrito Electoral’ a que correspondan o 09 si el ámbito de dicho distrito coincide con el de la provincia.","Código de la sección (tres dígitos seguidos de un espacio, letra mayúscula u otro dígito).","Código de la mesa (una letra mayúscula identificando la mesa o una ‘U’ en caso de mesa única).","Siglas.","Votos obtenidos por la candidatura o el Senador."
07,2009,06,1,01,18,AGRÓN,01,001 ,U,PUM+J                                             ,0000000
07,2009,06,1,01,18,AGRÓN,01,001 ,U,DN                                                ,0000000
07,2009,06,1,01,18,AGRÓN,01,001 ,U,POSI                                              ,0000000
07,2009,06,1,01,18,AGRÓN,01,001 ,U,PA                                                ,0000000
07,2009,06,1,01,18,ALAMEDILLA,01,001 ,U,IZAN-RG                                           ,0000000
07,2009,06,1,01,18,ALBOLOTE,01,001 ,A,PSA                                               ,0000000
07,2009,06,1,01,18,ALBOLOTE,01,001 ,A,PACMA                                             ,0000000
07,2009,06,1,01,18,ALBOLOTE,01,001 ,B,PREPAL                                            ,0000000
07,2009,06,1,01,18,ALBOLOTE,01,001 ,B,DN                                                ,0000000
07,2009,06,1,01,18,ALBOLOTE,01,002 ,A,UPyD                                              ,0000001
07,2009,06,1,01,18,ALBOLOTE,01,002 ,B,PACMA                                             ,0000002
07,2009,06,1,01,18,ALBOLOTE,01,002 ,B,DN                                                ,0000000
07,2009,06,1,01,18,ALBOLOTE,01,003 ,A,RC                                                ,0000000
07,2009,06,1,01,18,ALBOLOTE,01,003 ,A,PA                                                ,0000000
07,2009,06,1,01,18,ALBOLOTE,01,003 ,B,UV                                                ,0000000
07,2009,06,1,01,18,ALBOLOTE,01,003 ,C,UNA                                               ,0000000
07,2009,06,1,01,18,ALBOLOTE,01,004 ,A,PSA                                               ,0000000
07,2009,06,1,01,18,ALBOLOTE,01,004 ,A,EXTREMADURA UNIDA                                 ,0000000
07,2009,06,1,01,18,ALBOLOTE,01,004 ,A,UCL                                               ,0000000
07,2009,06,1,01,18,ALBOLOTE,01,004 ,B,PSOE                                              ,0000101
07,2009,06,1,01,18,ALBOLOTE,01,004 ,C,FE de las JONS                                    ,0000001
07,2009,06,1,01,18,ALBOLOTE,01,004 ,C,EXTREMADURA UNIDA                                 ,0000000
07,2009,06,1,01,18,ALBOLOTE,01,004 ,C,PCPE                                              ,0000000
07,2009,06,1,01,18,ALBOLOTE,01,004 ,C,PUM+J                                             ,0000000
07,2009,06,1,01,18,ALBOLOTE,01,005 ,A,PA                                                ,0000003
07,2009,06,1,01,18,ALBOLOTE,01,005 ,B,LV-GVE                                            ,0000001
07,2009,06,1,01,18,ALBOLOTE,01,005 ,B,AA                                                ,0000000
07,2009,06,1,01,18,ALBOLOTE,01,006 ,A,IZAN-RG                                           ,0000000
07,2009,06,1,01,18,ALBOLOTE,01,006 ,A,PCPE                                              ,0000000
07,2009,06,1,01,18,ALBOLOTE,01,006 ,A,PUM+J                                             ,0000001
07,2009,06,1,01,18,ALBOLOTE,01,007 ,A,PUM+J                                             ,0000000
07,2009,06,1,01,18,ALBOLOTE,01,007 ,A,PREPAL                                            ,0000000
07,2009,06,1,01,18,ALBOLOTE,01,007 ,B,FA                                                ,0000000
07,2009,06,1,01,18,ALBOLOTE,01,008 ,A,PACMA                                             ,0000001
07,2009,06,1,01,18,ALBOLOTE,01,008 ,A,AA                                                ,0000000
07,2009,06,1,01,18,ALBOLOTE,01,009 ,A,DN                                                ,0000000
07,2009,06,1,01,18,ALBOLOTE,01,009 ,B,UCL                                               ,0000000
07,2009,06,1,01,18,ALBOLOTE,01,009 ,B,UPyD                                              ,0000006
07,2009,06,1,01,18,ALBOLOTE,01,009 ,B,FA                                                ,0000000
07,2009,06,1,01,18,ALBOLOTE,01,009 ,B,PREPAL                                            ,0000000
07,2009,06,1,01,18,ALBOLOTE,01,010 ,A,UPyD                                              ,0000012
07,2009,06,1,01,18,ALBOLOTE,01,010 ,A,PA                                                ,0000000
07,2009,06,1,01,18,ALBONDÓN,01,001 ,A,FA                                                ,0000000
07,2009,06,1,01,18,ALBONDÓN,01,001 ,B,FA                                                ,0000000
07,2009,06,1,01,18,ALBUÑÁN,01,001 ,U,UV                                                ,0000000
07,2009,06,1,01,18,ALBUÑOL,01,001 ,A,FA                                                ,0000000
07,2009,06,1,01,18,ALBUÑOL,01,001 ,B,IZAN-RG                                           ,0000000
07,2009,06,1,01,18,ALBUÑOL,01,001 ,B,PP                                                ,0000131
07,2009,06,1,01,18,ALBUÑOL,01,001 ,B,PH                                                ,0000000
07,2009,06,1,01,18,ALBUÑOL,01,002 ,B,UV                                                ,0000000
07,2009,06,1,01,18,ALBUÑOL,01,002 ,B,CDS                                               ,0000000
07,2009,06,1,01,18,ALBUÑOL,02,001 ,A,UPyD                                              ,0000003
07,2009,06,1,01,18,ALBUÑOL,02,001 ,A,FA                                                ,0000000
07,2009,06,1,01,18,ALBUÑOL,02,001 ,A,II                                                ,0000000
07,2009,06,1,01,18,ALBUÑOL,02,001 ,A,IULV-CA                                           ,0000005
07,2009,06,1,01,18,ALBUÑOL,02,001 ,A,LV                                                ,0000000
07,2009,06,1,01,18,ALBUÑOL,02,001 ,B,PSA                                               ,0000000
07,2009,06,1,01,18,ALBUÑOL,02,001 ,B,IZAN-RG                                           ,0000000
07,2009,06,1,01,18,ALBUÑOL,02,001 ,B,II                                                ,0000000
07,2009,06,1,01,18,ALBUÑOL,02,001 ,B,POSI                                              ,0000000
07,2009,06,1,01,18,ALBUÑOL,02,001 ,C,RC                                                ,0000000
07,2009,06,1,01,18,ALBUÑOL,02,001 ,C,UNA                                               ,0000000
07,2009,06,1,01,18,ALBUÑOL,02,001 ,C,AA                                                ,0000000
07,2009,06,1,01,18,ALBUÑUELAS,01,001 ,A,EXTREMADURA UNIDA                                 ,0000000
07,2009,06,1,01,18,ALBUÑUELAS,01,001 ,A,MSR                                               ,0000000
07,2009,06,1,01,18,ALBUÑUELAS,01,001 ,B,UPyD                                              ,0000001
07,2009,06,1,01,18,ALBUÑUELAS,01,001 ,B,CDS                                               ,0000000
07,2009,06,1,01,18,ALDEIRE,01,001 ,U,EXTREMADURA UNIDA                                 ,0000000
07,2009,06,1,01,18,ALDEIRE,01,001 ,U,UNA                                               ,0000000
07,2009,06,1,01,18,ALDEIRE,01,001 ,U,UCE                                               ,0000000
07,2009,06,1,01,18,ALDEIRE,01,001 ,U,AA                                                ,0000000
07,2009,06,1,01,18,ALFACAR,01,001 ,A,FA                                                ,0000001
07,2009,06,1,01,18,ALFACAR,01,001 ,B,SAIn                                              ,0000000
07,2009,06,1,01,18,ALFACAR,01,001 ,B,UCL                                               ,0000000
07,2009,06,1,01,18,ALFACAR,01,001 ,B,PREPAL                                            ,0000000
07,2009,06,1,01,18,ALFACAR,01,002 ,A,iF                                                ,0000000
07,2009,06,1,01,18,ALFACAR,01,002 ,A,PUM+J                                             ,0000001
07,2009,06,1,01,18,ALFACAR,01,002 ,A,LV-GVE                                            ,0000007
07,2009,06,1,01,18,ALFACAR,01,002 ,A,PH                                                ,0000000
07,2009,06,1,01,18,ALFACAR,01,002 ,B,IZAN-RG                                           ,0000000
07,2009,06,1,01,18,ALFACAR,01,002 ,B,RC                                                ,0000000
07,2009,06,1,01,18,ALFACAR,01,002 ,B,LV                                                ,0000000
07,2009,06,1,01,18,ALFACAR,01,002 ,C,AES                                               ,0000000
07,2009,06,1,01,18,ALFACAR,01,003 ,A,FE de las JONS                                    ,0000000
07,2009,06,1,01,18,ALFACAR,01,003 ,B,PREPAL                                            ,0000000
07,2009,06,1,01,18,ALFACAR,01,003 ,B,POSI                                              ,0000000
07,2009,06,1,01,18,ALGARINEJO,01,001 ,U,iF                                                ,0000000
07,2009,06,1,01,18,ALGARINEJO,01,001 ,U,PH                                                ,0000000
07,2009,06,1,01,18,ALGARINEJO,01,002 ,U,PREPAL                                            ,0000000
07,2009,06,1,01,18,ALGARINEJO,01,002 ,U,CDS                                               ,0000000
07,2009,06,1,01,18,ALGARINEJO,01,002 ,U,PA                                                ,0000000
07,2009,06,1,01,18,ALGARINEJO,01,003 ,A,IZAN-RG                                           ,0000000
07,2009,06,1,01,18,ALGARINEJO,01,004 ,U,RC                                                ,0000000
07,2009,06,1,01,18,ALGARINEJO,01,004 ,U,UPyD                                              ,0000000
07,2009,06,1,01,18,ALGARINEJO,01,004 ,U,UCE                                               ,0000000
07,2009,06,1,01,18,ALHAMA DE GRANADA,01,001 ,U,RC                                                ,0000000
07,2009,06,1,01,18,ALHAMA DE GRANADA,01,001 ,U,AES                                               ,0000000
07,2009,06,1,01,18,ALHAMA DE GRANADA,01,001 ,U,PUM+J                                             ,0000000
07,2009,06,1,01,18,ALHAMA DE GRANADA,01,001 ,U,DN                                                ,0000000
07,2009,06,1,01,18,ALHAMA DE GRANADA,01,002 ,U,PREPAL                                            ,0000000
07,2009,06,1,01,18,ALHAMA DE GRANADA,01,003 ,U,FE de las JONS                                    ,0000000
07,2009,06,1,01,18,ALHAMA DE GRANADA,01,004 ,A,IZAN-RG                                           ,0000001
07,2009,06,1,01,18,ALHAMA DE GRANADA,01,004 ,A,POSI                                              ,0000000
07,2009,06,1,01,18,ALHAMA DE GRANADA,01,004 ,B,PH                                                ,0000000
07,2009,06,1,01,18,ALHAMA DE GRANADA,01,005 ,U,CDL                                               ,0000000
07,2009,06,1,01,18,ALHAMA DE GRANADA,01,005 ,U,FA                                                ,0000000
07,2009,06,1,01,18,ALHAMA DE GRANADA,01,005 ,U,PREPAL                                            ,0000000
