A̱o,Mes,Tipo,Partido,Votos,Electos
1977, 06, Congreso, CAI, 0,0
1977, 06, Congreso, BAI, 226,0
1977, 06, Congreso, PLI, 805,0
1977, 06, Congreso, PAE, 833,0
1977, 06, Congreso, FEI, 855,0
1977, 06, Congreso, ADC, 938,0
1977, 06, Congreso, ADEC, 1099,0
1977, 06, Congreso, CIPYE, 1480,0
1977, 06, Congreso, CUIR, 1504,0
1977, 06, Congreso, AEICYU, 1623,0
1977, 06, Congreso, PRSV, 2345,0
1977, 06, Congreso, FL, 2631,0
1977, 06, Congreso, UDIB, 2946,0
1977, 06, Congreso, PDG, 3196,0
1977, 06, Congreso, PSDE, 3786,0
1977, 06, Congreso, ICU, 4118,0
1977, 06, Congreso, INDEP, 4530,0
1977, 06, Congreso, PPROV, 4590,0
1977, 06, Congreso, FAA, 4791,0
1977, 06, Congreso, PIM, 4814,0
1977, 06, Congreso, PSCAN, 5110,0
1977, 06, Congreso, CUP, 5206,0
1977, 06, Congreso, FN, 5541,0
1977, 06, Congreso, DCAR, 6014,0
1977, 06, Congreso, ANV, 6435,0
1977, 06, Congreso, CJA, 8184,0
1977, 06, Congreso, ASA, 8439,0
1977, 06, Congreso, MFA, 8461,0
1977, 06, Congreso, MSA, 8741,0
1977, 06, Congreso, DSCC, 9157,0
1977, 06, Congreso, PPCAN, 9650,0
1977, 06, Congreso, FNI, 10606,0
1977, 06, Congreso, URAS, 10821,0
1977, 06, Congreso, CCIA, 11879,0
1977, 06, Congreso, UAB, 11914,0
1977, 06, Congreso, CUPS, 12040,0
1977, 06, Congreso, DIV, 15505,0
1977, 06, Congreso, PCU, 17717,0
1977, 06, Congreso, UAN, 18079,0
1977, 06, Congreso, ANEPA-CP, 18113,0
1977, 06, Congreso, LLIGA, 20109,0
1977, 06, Congreso, PSOE-H, 21242,0
1977, 06, Congreso, URA, 21350,0
1977, 06, Congreso, AFN, 21900,0
1977, 06, Congreso, BNPG, 22771,0
1977, 06, Congreso, UNAI, 24489,0
1977, 06, Congreso, FJONS, 25017,0
1977, 06, Congreso, DCV, 26100,0
1977, 06, Congreso, PSG, 27197,0
1977, 06, Congreso, PSPV, 31138,0
1977, 06, Congreso, ESB, 36002,0
1977, 06, Congreso, CAIC, 37183,1
1977, 06, Congreso, FUT, 41208,0
1977, 06, Congreso, FJONSA, 46548,0
1977, 06, Congreso, EE, 61417,1
1977, 06, Congreso, RSE, 64241,0
1977, 06, Congreso, AN18, 67336,0
1977, 06, Congreso, AET, 77575,0
1977, 06, Congreso, ASDCI, 101916,0
1977, 06, Congreso, FDI, 122608,0
1977, 06, Congreso, EC-FED, 143954,1
1977, 06, Congreso, UDC-IDCC, 172791,2
1977, 06, Congreso, FDC-EDC, 215841,0
1977, 06, Congreso, PNV, 296193,8
1977, 06, Congreso, PDPC, 514647,11
1977, 06, Congreso, PSP-US, 816582,6
1977, 06, Congreso, GU, 1504771,16
1977, 06, Congreso, PSUC-PCE, 1709890,20
1977, 06, Congreso, PSOE, 5371866,118
1977, 06, Congreso, UCD, 6310391,165
1979, 03, Congreso, FE-UF, 876,0
1979, 03, Congreso, UF-FI-AT, 1188,0
1979, 03, Congreso, CIME, 1820,0
1979, 03, Congreso, POC, 2314,0
1979, 03, Congreso, PIPPA, 2409,0
1979, 03, Congreso, FEA, 2736,0
1979, 03, Congreso, CNA, 3049,0
1979, 03, Congreso, LC, 3614,0
1979, 03, Congreso, IRA-ARDE, 4826,0
1979, 03, Congreso, PPROV, 4939,0
1979, 03, Congreso, DSCC, 4976,0
1979, 03, Congreso, CIC, 6115,0
1979, 03, Congreso, P-CANT, 6290,0
1979, 03, Congreso, E CATALA, 6328,0
1979, 03, Congreso, ULE, 7126,0
1979, 03, Congreso, PSIN, 9777,0
1979, 03, Congreso, SMIM, 10022,0
1979, 03, Congreso, PDPCAN, 10099,0
1979, 03, Congreso, PRE, 10324,0
1979, 03, Congreso, UNAI, 10970,0
1979, 03, Congreso, PNPV, 13828,0
1979, 03, Congreso, URV, 15694,0
1979, 03, Congreso, PLIB, 15774,0
1979, 03, Congreso, PANCAL, 16016,0
1979, 03, Congreso, PSAR - PSDA, 19220,0
1979, 03, Congreso, UPN, 28248,1
1979, 03, Congreso, FJONSA, 30252,0
1979, 03, Congreso, UFV, 34108,0
1979, 03, Congreso, LCR, 36662,0
1979, 03, Congreso, PAR, 38042,1
1979, 03, Congreso, PCT, 47896,0
1979, 03, Congreso, UCE, 47937,0
1979, 03, Congreso, PCARL, 50552,0
1979, 03, Congreso, IR-E, 55384,0
1979, 03, Congreso, PG-POG-PSG, 55555,0
1979, 03, Congreso, BEAN, 56582,0
1979, 03, Congreso, C-UPC, 58953,1
1979, 03, Congreso, BNPG, 60889,0
1979, 03, Congreso, MCPV-OIC, 84856,0
1979, 03, Congreso, EE, 85677,1
1979, 03, Congreso, ERFN, 123452,1
1979, 03, Congreso, ORT, 127517,0
1979, 03, Congreso, PSOE-H, 133869,0
1979, 03, Congreso, HB, 172110,3
1979, 03, Congreso, PTE, 192798,0
1979, 03, Congreso, PNV, 296597,7
1979, 03, Congreso, PSA-PA, 325842,5
1979, 03, Congreso, UN, 378964,1
1979, 03, Congreso, CIU, 483353,8
1979, 03, Congreso, PSUC-PCE, 1938487,23
1979, 03, Congreso, PSOE, 5469813,121
1979, 03, Congreso, UCD, 6268593,168
1982, 10, Congreso, BIA, 0,0
1982, 10, Congreso, EM, 0,0
1982, 10, Congreso, CIR, 0,0
1982, 10, Congreso, PCU, 0,0
1982, 10, Congreso, PP, 168,0
1982, 10, Congreso, PAE, 222,0
1982, 10, Congreso, PC, 224,0
1982, 10, Congreso, FA, 532,0
1982, 10, Congreso, IR, 610,0
1982, 10, Congreso, ASDC, 1131,0
1982, 10, Congreso, PDB, 1454,0
1982, 10, Congreso, MCRM, 1515,0
1982, 10, Congreso, M.CAT.E, 1694,0
1982, 10, Congreso, ACI, 1710,0
1982, 10, Congreso, FE-I, 1862,0
1982, 10, Congreso, PRE, 1984,0
1982, 10, Congreso, IDG, 2236,0
1982, 10, Congreso, PADL, 2493,0
1982, 10, Congreso, FE-JONS, 2528,0
1982, 10, Congreso, PREPAL, 3234,0
1982, 10, Congreso, PNC, 3257,0
1982, 10, Congreso, FIC, 3772,0
1982, 10, Congreso, CE-FCC, 4900,0
1982, 10, Congreso, LC (COSI), 5462,0
1982, 10, Congreso, AEGI, 5512,0
1982, 10, Congreso, PS, 6375,0
1982, 10, Congreso, ENV-URV, 6738,0
1982, 10, Congreso, PSA, 6861,0
1982, 10, Congreso, PSM, 8633,0
1982, 10, Congreso, AEBA, 8748,0
1982, 10, Congreso, UFM-MFE, 8976,0
1982, 10, Congreso, EUPV, 9302,0
1982, 10, Congreso, CUC, 15632,0
1982, 10, Congreso, UPV, 18516,0
1982, 10, Congreso, AC-CC, 18757,0
