"Tipo de elecci贸n.","A帽o del proceso electoral.", "Mes del proceso electoral.","C贸digo de la candidatura.", "Siglas de la candidatura.", "Denominaci贸n de la candidatura.", "C贸digo de la candidatura cabecera de acumulaci贸n a nivel provincial.", "C贸digo de la candidatura cabecera de acumulaci贸n a nivel auton贸mico.", "C贸digo de la candidatura cabecera de acumulaci贸n a nivel nacional."
07,1989,06,000056,PANCAL                                            ,(CN)-PARTIDO NACIONALISTA DE CASTILLA Y LEON                                                                                                          ,000056,000056,000005
07,1989,06,000057,CG                                                ,(CN)-COALICION GALEGA                                                                                                                                 ,000057,000057,000005
07,1989,06,000058,EAJ-PNV                                           ,(CN)-P. NACIONALISTA VASCO-EUZKO ALDERDI JELTZALEA                                                                                                    ,000058,000058,000005
07,1989,06,000059,PSC-PSOE                                          ,PARTIT DELS SOCIALISTES DE CATALUNYA                                                                                                                  ,000059,000059,000011
07,1989,06,000060,PCPE.PCC                                          ,P.C.P.E.-PARTIT DELS COMUNISTES DE CATALUNYA                                                                                                          ,000060,000060,000013
07,1989,06,000061,ERC                                               ,EUROPA DE LOS PUEBLOS-PER L'EUROPA DE LES NACIONS                                                                                                     ,000061,000061,000014
07,1989,06,000062,PNG-PG                                            ,EUROPA DE LOS PUEBLOS-POLA EUROPA DOS POBOS                                                                                                           ,000062,000062,000014
07,1989,06,000063,EA                                                ,EUROPA DE LOS PUEBLOS-HERRIEN EUROPAREN ALDE                                                                                                          ,000063,000063,000014
07,1989,06,000064,IU-CA                                             ,(IU)-CONVOCATORIA POR ANDALUCIA                                                                                                                       ,000064,000064,000017
07,1989,06,000065,IU-ICU                                            ,(IU)-IZQUIERDA CANARIA UNIDA                                                                                                                          ,000065,000065,000017
07,1989,06,000066,IU-I                                              ,(IU)-INICIATIVA                                                                                                                                       ,000066,000066,000017
07,1989,06,000067,EU                                                ,ESQUERDA UNIDA                                                                                                                                        ,000067,000067,000017
07,1989,06,000068,IU-EB                                             ,(IU)-EZKER BATUA                                                                                                                                      ,000068,000068,000017
07,1989,06,000069,IU-EU                                             ,(IU)-ESQUERRA UNIDA DEL PAIS VALENCIA                                                                                                                 ,000069,000069,000017
07,1989,06,000070,LL.V.                                             ,LLISTA VERDA (ADHERIDA ALS VERDS EUROPEUS)                                                                                                            ,000070,000070,000031
07,1989,06,000071,LV(G)                                             ,LISTA VERDE (ADHERIDA AOS VERDES EUROPEOS)                                                                                                            ,000071,000071,000031
07,1989,06,000072,LB                                                ,LISTA BERDEA (EUROPAKO BERDEI ITSATSITA)                                                                                                              ,000072,000072,000031
