"Tipo de elecci贸n.","A帽o del proceso electoral.", "Mes del proceso electoral.","C贸digo de la candidatura.", "Siglas de la candidatura.", "Denominaci贸n de la candidatura.", "C贸digo de la candidatura cabecera de acumulaci贸n a nivel provincial.", "C贸digo de la candidatura cabecera de acumulaci贸n a nivel auton贸mico.", "C贸digo de la candidatura cabecera de acumulaci贸n a nivel nacional."
07,1999,06,000001,PP                                                ,PARTIDO POPULAR                                                                                                                                       ,000001,000001,000001
07,1999,06,000004,CIU                                               ,CONVERGENCIA I UNIO                                                                                                                                   ,000004,000004,000004
07,1999,06,000007,EH                                                ,EUSKAL HERRITARROK                                                                                                                                    ,000007,000007,000007
07,1999,06,000008,BNG                                               ,BLOQUE NACIONALISTA GALEGO                                                                                                                            ,000008,000008,000008
07,1999,06,000014,PAS                                               ,PARTIU ASTURIANISTA                                                                                                                                   ,000014,000014,000014
07,1999,06,000015,EU                                                ,EXTREMADURA UNIDA                                                                                                                                     ,000015,000015,000015
07,1999,06,000018,B-V(VERDES)                                       ,BERDEAK - LOS VERDES (C.E. LV-IZQ. DE LOS PUEBLOS)                                                                                                    ,000018,000018,000137
07,1999,06,000019,PSOE-PROG.                                        ,PARTIDO SOCIALISTA OBRERO ESPA袿L - PROGRESISTAS                                                                                                      ,000019,000019,000019
07,1999,06,000021,EG (VERDES)                                       ,ESQUERDA DE GALICIA - OS VERDES (IZQ. PUEBLOS)                                                                                                        ,000021,000021,000137
07,1999,06,000022,EV (VERDES)                                       ,ELS VERDS (C.E. LV-LAS IZQUIERDAS DE LOS PUEBLOS)                                                                                                     ,000022,000022,000137
07,1999,06,000023,LV (VERDES)                                       ,LOS VERDES (C.E. LV-LAS IZQUIERDAS DE LOS PUEBLOS)                                                                                                    ,000023,000023,000137
07,1999,06,000026,UV (CE)                                           ,UNIO VALENCIANA (COALICION EUROPEA)                                                                                                                   ,000026,000026,000131
07,1999,06,000027,VERDES-IA                                         ,LOS VERDES + IZQUIERDA ANDALUZA (IZQ. PUEBLOS)                                                                                                        ,000027,000027,000137
07,1999,06,000028,B-GV                                              ,BERDEAK - GRUPO VERDE                                                                                                                                 ,000028,000028,000151
07,1999,06,000032,PH                                                ,PARTIDO HUMANISTA                                                                                                                                     ,000032,000032,000032
07,1999,06,000038,UC-CDS                                            ,UNION CENTRISTA - CENTRO DEMOCRATICO Y SOCIAL                                                                                                         ,000038,000038,000038
07,1999,06,000043,PADE                                              ,PARTIDO DEMOCRATA ESPA袿L                                                                                                                             ,000043,000043,000043
07,1999,06,000045,EU-IU                                             ,ESQUERDA UNIDA - IZQUIERDA UNIDA                                                                                                                      ,000045,000045,000122
