"Tipo de elecci贸n.","A帽o del proceso electoral.", "Mes del proceso electoral.","C贸digo de la candidatura.", "Siglas de la candidatura.", "Denominaci贸n de la candidatura.", "C贸digo de la candidatura cabecera de acumulaci贸n a nivel provincial.", "C贸digo de la candidatura cabecera de acumulaci贸n a nivel auton贸mico.", "C贸digo de la candidatura cabecera de acumulaci贸n a nivel nacional."
07,1999,06,000072,IU-EB                                             ,IZQUIERDA UNIDA / EZKER BATUA                                                                                                                         ,000072,000072,000122
07,1999,06,000113,IU                                                ,IZQUIERDA UNIDA - LA RIOJA                                                                                                                            ,000113,000113,000122
07,1999,06,000116,PAE-I                                             ,PART. AUTONOMOS DE ESPA袮 Y AGS. INDS. ESPA袿LAS                                                                                                      ,000116,000116,000116
07,1999,06,000119,IU                                                ,IZQUIERDA UNIDA - IZQUIERDA DE CASTILLA-LA MANCHA                                                                                                     ,000119,000119,000122
07,1999,06,000120,TC-PNC                                            ,TIERRA COMUNERA - PARTIDO NACIONALISTA CASTELLANO                                                                                                     ,000120,000120,000120
07,1999,06,000121,FEI                                               ,FALANGE ESPA袿LA INDEPENDIENTE                                                                                                                        ,000121,000121,000121
07,1999,06,000122,IU-EUIA                                           ,IZQUIERDA UNIDA - ESQUERRA UNIDA I ALTERNATIVA                                                                                                        ,000122,000122,000122
07,1999,06,000123,CN+EP                                             ,COALICION NACIONALISTA + EUROPA DE LOS PUEBLOS                                                                                                        ,000123,000123,000123
07,1999,06,000124,UM (CN+EP)                                        ,UNIO MALLORQUINA (C.NACIONALISTA+EUROPA PUEBLOS)                                                                                                      ,000124,000124,000123
07,1999,06,000125,UPL                                               ,UNION DEL PUEBLO LEONES                                                                                                                               ,000125,000125,000125
07,1999,06,000126,ERC-EV                                            ,ESQUERRA REPUBLICANA DE CATALUNYA - ELS VERDS                                                                                                         ,000126,000126,000123
07,1999,06,000127,INDEP                                             ,PARTIT PER LA INDEPENDENCIA                                                                                                                           ,000127,000127,000127
07,1999,06,000128,COFEM-FEMEK                                       ,CONFEDERACION DE ORGANIZACIONES FEMINISTAS                                                                                                            ,000128,000128,000128
07,1999,06,000129,URCL                                              ,UNIDAD REGIONALISTA DE CASTILLA Y LEON                                                                                                                ,000129,000129,000129
07,1999,06,000130,SIEX                                              ,SOCIALISTAS INDEPENDIENTES DE EXTREMADURA                                                                                                             ,000130,000130,000130
07,1999,06,000131,CE                                                ,COALICION EUROPEA                                                                                                                                     ,000131,000131,000131
07,1999,06,000132,PA (CE)                                           ,PARTIDO ANDALUCISTA (COALICION EUROPEA)                                                                                                               ,000132,000132,000131
07,1999,06,000133,PAR (CE)                                          ,PARTIDO ARAGONES / COALICION EUROPEA                                                                                                                  ,000133,000133,000131
07,1999,06,000134,CC (CE)                                           ,COALICION CANARIA (COALICION EUROPEA)                                                                                                                 ,000134,000134,000131
07,1999,06,000135,URAS                                              ,UNION RENOVADORA ASTURIANA                                                                                                                            ,000135,000135,000135
07,1999,06,000136,AA                                                ,ANDECHA ASTUR                                                                                                                                         ,000136,000136,000136
07,1999,06,000137,VERDES                                            ,C.ELECTORAL LOS VERDES - IZQUIERDAS DE LOS PUEBLOS                                                                                                    ,000137,000137,000137
07,1999,06,000139,CHA-VERDES                                        ,CHUNTA ARAGONESISTA - LOS VERDES (IZQ. PUEBLOS)                                                                                                       ,000139,000139,000137
07,1999,06,000141,IPC-VERDES                                        ,INICIATIVA PER CATALUNYA - VERDS (ESQ. POBLES)                                                                                                        ,000141,000141,000137
07,1999,06,000144,A                                                 ,ASAMBLEA DE ANDALUCIA                                                                                                                                 ,000144,000144,000144
07,1999,06,000145,PLN                                               ,PARTIDO DE LA LEY NATURAL                                                                                                                             ,000145,000145,000145
07,1999,06,000146,PSM-ENM-CIU                                       ,PSM-ENTESA NACIONALISTA DE MALLORCA-CIU-BNV                                                                                                           ,000146,000146,000004
07,1999,06,000147,BNV-CIU                                           ,BLOC NACIONALISTA VALENCIA - CIU                                                                                                                      ,000147,000147,000004
07,1999,06,000148,FE                                                ,LA FALANGE                                                                                                                                            ,000148,000148,000148
07,1999,06,000149,AUN                                               ,ALIANZA POR LA UNIDAD NACIONAL                                                                                                                        ,000149,000149,000149
07,1999,06,000150,PREX-CREX                                         ,COALICION EXTREME袮 PREX-CREX                                                                                                                         ,000150,000150,000150
07,1999,06,000151,LV-GV                                             ,LOS VERDES - GRUPO VERDE                                                                                                                              ,000151,000151,000151
07,1999,06,000152,ACV                                               ,ALTERNATIVA COMUNIDAD VALENCIANA                                                                                                                      ,000152,000152,000152
07,1999,06,000153,DM                                                ,C. POR LA DEROGACION DEL TRATADO DE MAASTRICH                                                                                                         ,000153,000153,000153
07,1999,06,000154,DN                                                ,DEMOCRACIA NACIONAL                                                                                                                                   ,000154,000154,000154
07,1999,06,000156,PREPAL                                            ,SALAMANCA, ZAMORA, LEON PREPAL                                                                                                                        ,000156,000156,000156
07,1999,06,000157,PCPE                                              ,PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPA袮                                                                                                            ,000157,000157,000157
07,1999,06,000158,UDR                                               ,COALICION UNION DE REGIONES                                                                                                                           ,000158,000158,000158
07,1999,06,000159,PSC-PSOE                                          ,PARTIT DELS SOCIALISTES DE CATALUNYA                                                                                                                  ,000159,000159,000019
07,1999,06,000160,EUPV                                              ,ESQUERRA UNIDA DEL PAIS VALENCIA                                                                                                                      ,000160,000160,000122
07,1999,06,000214,IU-CE                                             ,IZQUIERDA UNIDA-COMPROMISO POR EXTREMADURA                                                                                                            ,000214,000214,000122
07,1999,06,000218,EV-GV                                             ,ELS VERDS-GRUP VERD                                                                                                                                   ,000218,000218,000151
07,1999,06,000242,IURM                                              ,IZQUIERDA UNIDA DE LA REGION DE MURCIA                                                                                                                ,000242,000242,000122
07,1999,06,000304,IU-CYL                                            ,IZQUIERDA UNIDA DE CASTILLA Y LEON                                                                                                                    ,000304,000304,000122
07,1999,06,000474,IU                                                ,IZQUIERDA UNIDA DE ARAGON                                                                                                                             ,000474,000474,000122
07,1999,06,000487,EUIA                                              ,ESQUERRA UNIDA I ALTERNATIVA                                                                                                                          ,000487,000487,000122
07,1999,06,000855,IULV-CA                                           ,IZQUIERDA UNIDA, LV CONVOCATORIA POR ANDALUCIA                                                                                                        ,000855,000855,000122
07,1999,06,001028,IU                                                ,IZQUIERDA UNIDA DE ASTURIAS                                                                                                                           ,001028,001028,000122
07,1999,06,001163,IUC                                               ,IZQUIERDA UNIDA CANARIA                                                                                                                               ,001163,001163,000122
07,1999,06,001423,IU                                                ,IZQUIERDA UNIDA DE MELILLA                                                                                                                            ,001423,001423,000122
07,1999,06,001475,EAJ-PNV/EA                                        ,EUZKO ALDERDI JELTZALEA-PNV / EUSKO ALKARTASUNA                                                                                                       ,001475,001475,000123
07,1999,06,001558,IU                                                ,IZQUIERDA UNIDA DE CANTABRIA                                                                                                                          ,001558,001558,000122
07,1999,06,001825,IU                                                ,IZQUIERDA UNIDA DE LA COMUNIDAD DE MADRID                                                                                                             ,001825,001825,000122
07,1999,06,002075,E.U.                                              ,ESQUERRA UNIDA                                                                                                                                        ,002075,002075,000122
07,1999,06,002076,IU                                                ,IZQUIERDA UNIDA - CEUTA                                                                                                                               ,002076,002076,000122
07,1999,06,002077,IU/EBN                                            ,IZQUIERDA UNIDA/EZKER BATUA DE NAVARRA                                                                                                                ,002077,002077,000122
07,1999,06,002095,OV-GV                                             ,OS VERDES - GRUPO VERDE                                                                                                                               ,002095,002095,000151
