"Tipo de elecci√≥n.","A√±o del proceso electoral.", "Mes del proceso electoral.","C√≥digo de la candidatura.", "Siglas de la candidatura.", "Denominaci√≥n de la candidatura.", "C√≥digo de la candidatura cabecera de acumulaci√≥n a nivel provincial.", "C√≥digo de la candidatura cabecera de acumulaci√≥n a nivel auton√≥mico.", "C√≥digo de la candidatura cabecera de acumulaci√≥n a nivel nacional."
07,2009,06,000052,ERC-(Edp-V)                                       ,ESQUERRA REPUBLICANA DE CATALUNYA-(EUROPA DELS POBLES-VERDS)                                                                                          ,000052,000052,000006
07,2009,06,000053,ERPV-EV-(Edp-V)                                   ,ESQUERRA REPUBLICANA DEL PAÕS VALENCI¿-ELS VERDS (EUROPA DELS POBLES-VERDS)                                                                           ,000053,000053,000006
07,2009,06,000054,ESQUERRA-ENTESA                                   ,ESQUERRA REPUBLICANA-ENTESA (EUROPA DELS POBLES-VERDS)                                                                                                ,000054,000054,000006
07,2009,06,000055,EU-EV                                             ,ESQUERRA UNIDA DE LES ILLES BALEARS-VERDS: L'ESQUERRA                                                                                                 ,000055,000055,000021
07,2009,06,000056,EUPV                                              ,ESQUERRA UNIDA DEL PAÕS VALENCI¿: L'ESQUERRA                                                                                                          ,000056,000056,000021
07,2009,06,000057,EAJ-PNV                                           ,EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO-COALICI”N POR EUROPA-EUROPARAKO KOALIZIOA                                                          ,000057,000057,000002
07,2009,06,000058,IZAN-RG                                           ,EZKER ANTIKAPITALISTA-IZQUIERDA ANTICAPITALISTA-REVOLTA GLOBAL                                                                                        ,000058,000058,000007
07,2009,06,000059,EB-B                                              ,EZKER BATUA-BERDEAK: EZKERRA                                                                                                                          ,000059,000059,000021
07,2009,06,000060,ERC-BNG-ARALAR-EA-CHA                             ,INDEPENDENTISTAK ETA EZKERTIARRAK-EUROPA DE LOS PUEBLOS-VERDES                                                                                        ,000060,000060,000006
07,2009,06,000061,II                                                ,INICIATIVA INTERNACIONALISTA - A SOLIDARIEDADE ENTRE OS POBOS                                                                                         ,000061,000061,000031
07,2009,06,000062,II                                                ,INICIATIVA INTERNACIONALISTA - LA SOLIDARITAT ENTRE ELS POBLES                                                                                        ,000062,000062,000031
07,2009,06,000063,ICV-EUiA                                          ,INICIATIVA PER CATALUNYA VERDS-ESQUERRA UNIDA I ALTERNATIVA: L'ESQUERRA                                                                               ,000063,000063,000021
07,2009,06,000064,II                                                ,INIZIATIBA INTERNAZIONALISTA - HERRIEN ELKARTASUNA                                                                                                    ,000064,000064,000031
07,2009,06,000065,IUC                                               ,IZQUIERDA UNIDA CANARIA: LA IZQUIERDA                                                                                                                 ,000065,000065,000021
07,2009,06,000066,IU                                                ,IZQUIERDA UNIDA COMUNIDAD DE MADRID: LA IZQUIERDA                                                                                                     ,000066,000066,000021
07,2009,06,000067,IU                                                ,IZQUIERDA UNIDA DE ARAG”N: LA IZQUIERDA                                                                                                               ,000067,000067,000021
07,2009,06,000068,IU-BA                                             ,IZQUIERDA UNIDA DE ASTURIAS-BLOQUE POR ASTURIES: LA IZQUIERDA                                                                                         ,000068,000068,000021
07,2009,06,000069,IURM                                              ,IZQUIERDA UNIDA DE LA REGI”N DE MURCIA: LA IZQUIERDA                                                                                                  ,000069,000069,000021
07,2009,06,000070,IUN-NEB                                           ,IZQUIERDA UNIDA DE NAVARRA-NAFARROAKO EZKER BATUA: LA IZQUIERDA                                                                                       ,000070,000070,000021
07,2009,06,000071,IULV-CA                                           ,IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALUCÕA: LA IZQUIERDA                                                                                   ,000071,000071,000021
07,2009,06,000072,IU                                                ,IZQUIERDA UNIDA: LA IZQUIERDA                                                                                                                         ,000072,000072,000021
07,2009,06,000073,IU-ICV-EUiA-BA                                    ,IZQUIERDA UNIDA: LA IZQUIERDA                                                                                                                         ,000073,000073,000021
07,2009,06,000074,LV                                                ,LOS VERDES-(EUROPA DE LOS PUEBLOS-VERDES)                                                                                                             ,000074,000074,000006
07,2009,06,000075,LV-GVE                                            ,OS VERDES-GRUPO VERDE EUROPEO                                                                                                                         ,000075,000075,000025
07,2009,06,000076,PA                                                ,PARTIDO ANDALUCISTA-COALICI”N POR EUROPA                                                                                                              ,000076,000076,000002
07,2009,06,000077,PCPE-EK                                           ,PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPA—A-EUSKAL KOMUNISTAK                                                                                          ,000077,000077,000015
07,2009,06,000078,PSC-PSOE                                          ,PARTIT DELS SOCIALISTES DE CATALUNYA PSC                                                                                                              ,000078,000078,000028
07,2009,06,000079,IZAN-RG                                           ,REVOLTA GLOBAL-ESQUERRA ANTICAPITALISTA                                                                                                               ,000079,000079,000007
07,2009,06,000080,UM-UMe                                            ,UNI” MALLORQUINA-UNI” MENORQUINA-COALICI” PER EUROPA                                                                                                  ,000080,000080,000002
