"Tipo de elecci贸n.","A帽o del proceso electoral.", "Mes del proceso electoral.","C贸digo de la candidatura.", "Siglas de la candidatura.", "Denominaci贸n de la candidatura.", "C贸digo de la candidatura cabecera de acumulaci贸n a nivel provincial.", "C贸digo de la candidatura cabecera de acumulaci贸n a nivel auton贸mico.", "C贸digo de la candidatura cabecera de acumulaci贸n a nivel nacional."
07,1987,06,000114,PCV                                               ,PARTIDO COALICION VALENCIANA                                                                                                                          ,000114,000114,000114
07,1987,06,000115,AS                                                ,ACCION SOCIAL                                                                                                                                         ,000115,000115,000115
07,1987,06,000116,CSD                                               ,COALICION SOCIALDEMOCRATA                                                                                                                             ,000116,000116,000116
07,1987,06,000176,PSM-EN(CIP)                                       ,PSM-ESQUERRA NACIONALISTA-ESQUERRA DELS POBLES                                                                                                        ,000176,000176,000112
07,1987,06,000177,CIP-ENE                                           ,ESQUERRA DELS POBLES-ENTESA DELS NACIONALISTES                                                                                                        ,000177,000177,000112
07,1987,06,000178,IU (IPE)                                          ,IZQUIERDA UNIDA-INICIATIVA PER EUROPA                                                                                                                 ,000178,000178,000004
07,1987,06,000179,EA-PNG-ERC                                        ,HERRIEN EUROPAREN ALDE-EUROPA DE LOS PUEBLOS                                                                                                          ,000179,000179,000108
07,1987,06,000180,EE (CIP)                                          ,EUSKADIKO EZQUERRA-IZDA. DE LOS PUEBLOS                                                                                                               ,000180,000180,000112
07,1987,06,000181,PNG-EA-ERC                                        ,POLA EUROPA DOS POBOS                                                                                                                                 ,000181,000181,000108
07,1987,06,000182,PSG-EG(CIP)                                       ,ESQUERDA DOS POBOS PSG-EG                                                                                                                             ,000182,000182,000112
