"Tipo de elección.","Año del proceso electoral.","Mes del proceso electoral.","Número de vuelta (en procesos a una sola vuelta = 1)","Código de la Comunidad Autónoma o 99 si se trata del Total Nacional del C.E.R.A.","Código I.N.E. de la provincia o 99 si se trata del Total Nacional o Autonómico del C.E.R.A.","Municipio","Número de distrito municipal en su caso o 01 si el municipio no tiene distritos (distrito único). En el caso de datos procedentes del C.E.R.A., llevará el número del ‘Distrito Electoral’ a que correspondan o 09 si el ámbito de dicho distrito coincide con el de la provincia.","Colegio","Código de la mesa (una letra mayúscula identificando la mesa o una ‘U’ en caso de mesa única).","Siglas.","Votos obtenidos por la candidatura o el Senador."
07,1989,06,1,01,18,GRANADA,01,COLEGIO SAN ISIDORO,A,PP                                                ,0000302
07,1989,06,1,01,18,GRANADA,01,COLEGIO SAN ISIDORO,A,UNA                                               ,0000000
07,1989,06,1,01,18,GRANADA,01,ESCUELA DE ARTES Y OFICIOS,A,LVE                                               ,0000005
07,1989,06,1,01,18,GRANADA,01,ESCUELA DE ARTES Y OFICIOS,A,CSD                                               ,0000001
07,1989,06,1,01,18,GRANADA,01,COLEGIO SAN JOSE,A,CN                                                ,0000000
07,1989,06,1,01,18,GRANADA,01,COLEGIO SAN JOSE,A,EPV                                               ,0000002
07,1989,06,1,01,18,GRANADA,01,COLEGIO SAN JOSE,A,PST-PORE                                          ,0000000
07,1989,06,1,01,18,GRANADA,01,,A,LVE                                               ,0000004
07,1989,06,1,01,18,GRANADA,01,ESCUELAS HERMANOS MARISTAS,A,PH                                                ,0000000
07,1989,06,1,01,18,GRANADA,01,COLEGIO DE LA ASUNCION,A,HB                                                ,0000000
07,1989,06,1,01,18,GRANADA,01,COLEGIO DE LA ASUNCION,A,RUIZ-MATEOS                                       ,0000137
07,1989,06,1,01,18,GRANADA,01,COLEGIO DE LA ASUNCION,A,LV                                                ,0000015
07,1989,06,1,01,18,GRANADA,01,"PREESCOLAR ""SIERVAS DEL EVANGELIO"" PLAZA",A,PTE-UC                                            ,0000004
07,1989,06,1,01,18,GRANADA,01,COLEGIO REGINA MUNDI,A,AV-MEC                                            ,0000001
07,1989,06,1,01,18,GRANADA,01,COLEGIO REGINA MUNDI,A,BACTERIA                                          ,0000000
07,1989,06,1,01,18,GRANADA,01,COLEGIO REGINA MUNDI,A,AR                                                ,0000000
07,1989,06,1,01,18,GRANADA,01,I.E.S. HERMENEGILDO LANZ,A,AV-MEC                                            ,0000000
07,1989,06,1,01,18,GRANADA,01,I.E.S. HERMENEGILDO LANZ,A,BACTERIA                                          ,0000000
07,1989,06,1,01,18,GRANADA,01,I.E.S. HERMENEGILDO LANZ,A,LV                                                ,0000009
07,1989,06,1,01,18,GRANADA,01,I.E.S. HERMENEGILDO LANZ,A,UNA                                               ,0000000
07,1989,06,1,01,18,GRANADA,01,COLEGIO SANTO TOMAS DE VILLANUEVA CALLE ,A,CSD                                               ,0000003
07,1989,06,1,01,18,GRANADA,01,COLEGIO SANTO TOMAS DE VILLANUEVA CALLE ,A,UNA                                               ,0000000
07,1989,06,1,01,18,GRANADA,01,COLEGIO SANTO TOMAS DE VILLANUEVA CALLE ,A,LA                                                ,0000000
07,1989,06,1,01,18,GRANADA,01,COLEGIO SANTO TOMAS DE VILLANUEVA CALLE ,A,IU-CA                                             ,0000045
07,1989,06,1,01,18,GRANADA,01,,A,FPR                                               ,0000000
07,1989,06,1,01,18,GRANADA,01,,A,FE-JONS                                           ,0000001
07,1989,06,1,01,18,GRANADA,01,,A,CSD                                               ,0000002
07,1989,06,1,01,18,GRANADA,01,C.P. FUENTE NUEVA,A,CN                                                ,0000000
07,1989,06,1,01,18,GRANADA,01,C.P. FUENTE NUEVA,A,PCPE-PCC                                          ,0000001
07,1989,06,1,01,18,GRANADA,01,PARQUE BOMBEROS SUR,A,VERDE                                             ,0000001
07,1989,06,1,01,18,GRANADA,01,,A,EPV                                               ,0000001
07,1989,06,1,01,18,GRANADA,01,,A,CIU                                               ,0000000
07,1989,06,1,01,18,GRANADA,01,,A,LV                                                ,0000009
07,1989,06,1,01,18,GRANADA,01,,A,CIU                                               ,0000000
07,1989,06,1,01,18,GRANADA,01,CONSEJERIA IGUALDAD Y BIENESTAR,A,CIU                                               ,0000000
07,1989,06,1,01,18,GRANADA,01,CONSEJERIA IGUALDAD Y BIENESTAR,A,LA                                                ,0000000
07,1989,06,1,01,18,GRANADA,01,C.P. TIERNO GALVAN,A,UNA                                               ,0000000
07,1989,06,1,01,18,GRANADA,02,GERENCIA TERRITORIAL DE CATASTRO,A,CN                                                ,0000000
07,1989,06,1,01,18,GRANADA,02,COLEGIO SAN ISIDORO,A,AV-MEC                                            ,0000000
07,1989,06,1,01,18,GRANADA,01,GERENCIA TERRITORIAL DE CATASTRO,A,VERDE                                             ,0000000
07,1989,06,1,01,18,GRANADA,01,GERENCIA TERRITORIAL DE CATASTRO,A,P.CAR.                                            ,0000002
07,1989,06,1,01,18,GRANADA,01,GERENCIA TERRITORIAL DE CATASTRO,A,UNA                                               ,0000000
07,1989,06,1,01,18,GRANADA,01,COLEGIO SAN ISIDORO,A,PH                                                ,0000000
07,1989,06,1,01,18,GRANADA,01,ESCUELA DE ARTES Y OFICIOS,A,AV-MEC                                            ,0000000
07,1989,06,1,01,18,GRANADA,01,ESCUELA DE ARTES Y OFICIOS,A,BACTERIA                                          ,0000000
07,1989,06,1,01,18,GRANADA,01,COLEGIO SAN JOSE,A,HB                                                ,0000003
07,1989,06,1,01,18,GRANADA,01,COLEGIO SAN JOSE,A,LA                                                ,0000000
07,1989,06,1,01,18,GRANADA,02,COLEGIO SAN ISIDORO,A,RUIZ-MATEOS                                       ,0000065
07,1989,06,1,01,18,GRANADA,02,COLEGIO SAN ISIDORO,A,AR                                                ,0000000
07,1989,06,1,01,18,GRANADA,02,ESCUELA DE ARTES Y OFICIOS,A,EPV                                               ,0000009
07,1989,06,1,01,18,GRANADA,02,ESCUELA DE ARTES Y OFICIOS,A,LVE                                               ,0000008
07,1989,06,1,01,18,GRANADA,02,COLEGIO SAN JOSE,A,IP                                                ,0000000
07,1989,06,1,01,18,GRANADA,02,,A,HB                                                ,0000002
07,1989,06,1,01,18,GRANADA,02,ESCUELAS HERMANOS MARISTAS,A,CN                                                ,0000000
07,1989,06,1,01,18,GRANADA,02,ESCUELAS HERMANOS MARISTAS,A,AV-MEC                                            ,0000000
07,1989,06,1,01,18,GRANADA,02,COLEGIO DE LA ASUNCION,A,BNG                                               ,0000000
07,1989,06,1,01,18,GRANADA,02,COLEGIO DE LA ASUNCION,A,BACTERIA                                          ,0000000
07,1989,06,1,01,18,GRANADA,02,COLEGIO DE LA ASUNCION,A,IDE                                               ,0000000
07,1989,06,1,01,18,GRANADA,02,COLEGIO DE LA ASUNCION,A,LA                                                ,0000000
07,1989,06,1,01,18,GRANADA,02,COLEGIO SANTO TOMAS DE VILLANUEVA CALLE ,A,EPV                                               ,0000000
07,1989,06,1,01,18,GRANADA,02,COLEGIO SANTO TOMAS DE VILLANUEVA CALLE ,A,VERDE                                             ,0000001
07,1989,06,1,01,18,GRANADA,02,COLEGIO SANTO TOMAS DE VILLANUEVA CALLE ,A,PH                                                ,0000001
07,1989,06,1,01,18,GRANADA,02,,A,BNG                                               ,0000000
07,1989,06,1,01,18,GRANADA,02,,A,AV-MEC                                            ,0000001
07,1989,06,1,01,18,GRANADA,02,,A,FE-JONS                                           ,0000000
07,1989,06,1,01,18,GRANADA,02,,A,CSD                                               ,0000002
07,1989,06,1,01,18,GRANADA,02,C.P. FUENTE NUEVA,A,P.CAR.                                            ,0000000
07,1989,06,1,01,18,GRANADA,02,,A,PED                                               ,0000000
07,1989,06,1,01,18,GRANADA,02,,A,FN                                                ,0000001
07,1989,06,1,01,18,GRANADA,02,,A,LVE                                               ,0000012
07,1989,06,1,01,18,GRANADA,02,,A,IU-CA                                             ,0000048
07,1989,06,1,01,18,GRANADA,02,PARQUE BOMBEROS SUR,A,IP                                                ,0000000
07,1989,06,1,01,18,GRANADA,02,PARQUE BOMBEROS SUR,A,AR                                                ,0000000
07,1989,06,1,01,18,GRANADA,02,PARQUE BOMBEROS SUR,A,IU-CA                                             ,0000044
07,1989,06,1,01,18,GRANADA,02,,A,PED                                               ,0000000
07,1989,06,1,01,18,GRANADA,02,,A,LA                                                ,0000000
07,1989,06,1,01,18,GRANADA,02,COLEGIO GENIL,A,FPR                                               ,0000001
07,1989,06,1,01,18,GRANADA,02,COLEGIO GENIL,A,PED                                               ,0000000
07,1989,06,1,01,18,GRANADA,02,COLEGIO GENIL,A,LV                                                ,0000012
07,1989,06,1,01,18,GRANADA,02,,A,IP                                                ,0000003
07,1989,06,1,01,18,GRANADA,02,,A,BNG                                               ,0000001
07,1989,06,1,01,18,GRANADA,02,,A,P.E.P.                                            ,0000002
07,1989,06,1,01,18,GRANADA,02,,A,LVE                                               ,0000007
07,1989,06,1,01,18,GRANADA,02,CONSEJERIA IGUALDAD Y BIENESTAR,A,PST-PORE                                          ,0000000
07,1989,06,1,01,18,GRANADA,02,CONSEJERIA IGUALDAD Y BIENESTAR,A,VERDE                                             ,0000013
07,1989,06,1,01,18,GRANADA,02,CONSEJERIA IGUALDAD Y BIENESTAR,A,LV                                                ,0000028
07,1989,06,1,01,18,GRANADA,02,C.P. TIERNO GALVAN,A,BACTERIA                                          ,0000000
07,1989,06,1,01,18,GRANADA,02,C.P. TIERNO GALVAN,A,PED                                               ,0000000
07,1989,06,1,01,18,GRANADA,02,PARROQUIA SAN FRANCISCO,A,IDE                                               ,0000000
07,1989,06,1,01,18,GRANADA,02,PARROQUIA SAN FRANCISCO,A,LA                                                ,0000001
07,1989,06,1,01,18,GRANADA,02,PARROQUIA SAN FRANCISCO,A,IU-CA                                             ,0000075
07,1989,06,1,01,18,GRANADA,02,COLEGIO MAYOR CARDENAL CISNEROS,A,FE-JONS                                           ,0000000
07,1989,06,1,01,18,GRANADA,02,COLEGIO CAJA DE AHORROS,A,PA                                                ,0000027
07,1989,06,1,01,18,GRANADA,02,I.E.S. MARIANA PINEDA,A,EPV                                               ,0000005
07,1989,06,1,01,18,GRANADA,02,COLEGIO SANTA MARTA,A,FPR                                               ,0000000
07,1989,06,1,01,18,GRANADA,02,COLEGIO SANTA MARTA,A,AV-MEC                                            ,0000000
07,1989,06,1,01,18,GRANADA,02,COLEGIO SANTA MARTA,A,PP                                                ,0000053
07,1989,06,1,01,18,GRANADA,01,GERENCIA TERRITORIAL DE CATASTRO,A,HB                                                ,0000002
07,1989,06,1,01,18,GRANADA,01,GERENCIA TERRITORIAL DE CATASTRO,A,CSD                                               ,0000000
07,1989,06,1,01,18,GRANADA,01,COLEGIO SAN ISIDORO,A,EPV                                               ,0000002
07,1989,06,1,01,18,GRANADA,01,COLEGIO SAN ISIDORO,A,AR                                                ,0000000
07,1989,06,1,01,18,GRANADA,01,ESCUELA DE ARTES Y OFICIOS,A,FN                                                ,0000004
07,1989,06,1,01,18,GRANADA,01,ESCUELA DE ARTES Y OFICIOS,A,UNA                                               ,0000000
07,1989,06,1,01,18,GRANADA,01,COLEGIO SAN JOSE,A,PCPE-PCC                                          ,0000000
07,1989,06,1,01,18,GRANADA,01,,A,HB                                                ,0000003
07,1989,06,1,01,18,GRANADA,01,ESCUELAS HERMANOS MARISTAS,A,FPR                                               ,0000000
07,1989,06,1,01,18,GRANADA,01,ESCUELAS HERMANOS MARISTAS,A,HB                                                ,0000000
