"Tipo de elección.","Año del proceso electoral.","Mes del proceso electoral.","Número de vuelta (en procesos a una sola vuelta = 1)","Código de la Comunidad Autónoma o 99 si se trata del Total Nacional del C.E.R.A.","Código I.N.E. de la provincia o 99 si se trata del Total Nacional o Autonómico del C.E.R.A.","Municipio","Número de distrito municipal en su caso o 01 si el municipio no tiene distritos (distrito único). En el caso de datos procedentes del C.E.R.A., llevará el número del ‘Distrito Electoral’ a que correspondan o 09 si el ámbito de dicho distrito coincide con el de la provincia.","Colegio","Código de la mesa (una letra mayúscula identificando la mesa o una ‘U’ en caso de mesa única).","Siglas.","Votos obtenidos por la candidatura o el Senador."
07,1987,06,1,01,18,GRANADA,01,GERENCIA TERRITORIAL DE CATASTRO,A,PTE-UC                                            ,0000000
07,1987,06,1,01,18,GRANADA,01,GERENCIA TERRITORIAL DE CATASTRO,A,PH                                                ,0000000
07,1987,06,1,01,18,GRANADA,01,COLEGIO SAN ISIDORO,A,AP                                                ,0000389
07,1987,06,1,01,18,GRANADA,01,COLEGIO SAN ISIDORO,A,CV                                                ,0000001
07,1987,06,1,01,18,GRANADA,01,COLEGIO SAN ISIDORO,A,BNG                                               ,0000000
07,1987,06,1,01,18,GRANADA,01,COLEGIO SAN ISIDORO,A,ANEMYA                                            ,0000007
07,1987,06,1,01,18,GRANADA,01,COLEGIO SAN ISIDORO,A,CSD                                               ,0000001
07,1987,06,1,01,18,GRANADA,01,GERENCIA TERRITORIAL DE CATASTRO,A,UV                                                ,0000000
07,1987,06,1,01,18,GRANADA,01,GERENCIA TERRITORIAL DE CATASTRO,A,PED                                               ,0000000
07,1987,06,1,01,18,GRANADA,01,COLEGIO SAN ISIDORO,A,AS                                                ,0000014
07,1987,06,1,01,18,GRANADA,01,ESCUELA DE ARTES Y OFICIOS,A,PANCAL                                            ,0000000
07,1987,06,1,01,18,GRANADA,01,ESCUELA DE ARTES Y OFICIOS,A,PNV-PG-N                                          ,0000000
07,1987,06,1,01,18,GRANADA,01,COLEGIO SAN JOSE,A,CDS                                               ,0000061
07,1987,06,1,01,18,GRANADA,01,,A,EU                                                ,0000000
07,1987,06,1,01,18,GRANADA,01,,A,PH                                                ,0000000
07,1987,06,1,01,18,GRANADA,01,,A,CV                                                ,0000003
07,1987,06,1,01,18,GRANADA,01,,A,PA                                                ,0000019
07,1987,06,1,01,18,GRANADA,01,ESCUELAS HERMANOS MARISTAS,A,CDS                                               ,0000108
07,1987,06,1,01,18,GRANADA,01,ESCUELAS HERMANOS MARISTAS,A,PANCAL                                            ,0000000
07,1987,06,1,01,18,GRANADA,01,ESCUELAS HERMANOS MARISTAS,A,UCE                                               ,0000000
07,1987,06,1,01,18,GRANADA,01,ESCUELAS HERMANOS MARISTAS,A,CSD                                               ,0000000
07,1987,06,1,01,18,GRANADA,01,COLEGIO DE LA ASUNCION,A,PAR                                               ,0000000
07,1987,06,1,01,18,GRANADA,01,COLEGIO DE LA ASUNCION,A,PED                                               ,0000000
07,1987,06,1,01,18,GRANADA,01,COLEGIO DE LA ASUNCION,A,EA-ERC-PNG                                        ,0000000
07,1987,06,1,01,18,GRANADA,01,"PREESCOLAR ""SIERVAS DEL EVANGELIO"" PLAZA",A,PSOE                                              ,0000129
07,1987,06,1,01,18,GRANADA,01,"PREESCOLAR ""SIERVAS DEL EVANGELIO"" PLAZA",A,PAR                                               ,0000000
07,1987,06,1,01,18,GRANADA,01,COLEGIO REGINA MUNDI,A,AP                                                ,0000629
07,1987,06,1,01,18,GRANADA,01,COLEGIO REGINA MUNDI,A,FN                                                ,0000017
07,1987,06,1,01,18,GRANADA,01,I.E.S. HERMENEGILDO LANZ,A,IU                                                ,0000019
07,1987,06,1,01,18,GRANADA,01,I.E.S. HERMENEGILDO LANZ,A,PDP                                               ,0000009
07,1987,06,1,01,18,GRANADA,01,I.E.S. HERMENEGILDO LANZ,A,AIC                                               ,0000000
07,1987,06,1,01,18,GRANADA,01,I.E.S. HERMENEGILDO LANZ,A,ANEMYA                                            ,0000000
07,1987,06,1,01,18,GRANADA,01,I.E.S. HERMENEGILDO LANZ,A,CIP                                               ,0000001
07,1987,06,1,01,18,GRANADA,01,COLEGIO SANTO TOMAS DE VILLANUEVA CALLE ,A,AP                                                ,0000568
07,1987,06,1,01,18,GRANADA,01,COLEGIO SANTO TOMAS DE VILLANUEVA CALLE ,A,PDP                                               ,0000010
07,1987,06,1,01,18,GRANADA,01,COLEGIO SANTO TOMAS DE VILLANUEVA CALLE ,A,PAR                                               ,0000000
07,1987,06,1,01,18,GRANADA,01,,A,UCE                                               ,0000000
07,1987,06,1,01,18,GRANADA,01,,A,UV                                                ,0000000
07,1987,06,1,01,18,GRANADA,01,,A,ANEMYA                                            ,0000005
07,1987,06,1,01,18,GRANADA,01,,A,PSOE                                              ,0000313
07,1987,06,1,01,18,GRANADA,01,,A,BNG                                               ,0000000
07,1987,06,1,01,18,GRANADA,01,,A,PED                                               ,0000000
07,1987,06,1,01,18,GRANADA,01,C.P. FUENTE NUEVA,A,AS                                                ,0000011
07,1987,06,1,01,18,GRANADA,01,,A,AP                                                ,0000629
07,1987,06,1,01,18,GRANADA,01,ESCUELA DE ARTES Y OFICIOS,A,PAR                                               ,0000000
07,1987,06,1,01,18,GRANADA,01,ESCUELA DE ARTES Y OFICIOS,A,PTE-UC                                            ,0000007
07,1987,06,1,01,18,GRANADA,01,ESCUELA DE ARTES Y OFICIOS,A,PED                                               ,0000000
07,1987,06,1,01,18,GRANADA,01,COLEGIO SAN JOSE,A,PSOE                                              ,0000119
07,1987,06,1,01,18,GRANADA,01,COLEGIO SAN JOSE,A,AP                                                ,0000568
07,1987,06,1,01,18,GRANADA,01,COLEGIO SAN JOSE,A,IU                                                ,0000030
07,1987,06,1,01,18,GRANADA,01,COLEGIO SAN JOSE,A,HB                                                ,0000004
07,1987,06,1,01,18,GRANADA,01,COLEGIO SAN JOSE,A,CIU                                               ,0000000
07,1987,06,1,01,18,GRANADA,01,COLEGIO SAN JOSE,A,AIC                                               ,0000000
07,1987,06,1,01,18,GRANADA,01,COLEGIO SAN JOSE,A,PAR                                               ,0000001
07,1987,06,1,01,18,GRANADA,01,COLEGIO SAN JOSE,A,UCE                                               ,0000000
07,1987,06,1,01,18,GRANADA,01,COLEGIO SAN JOSE,A,PCV                                               ,0000000
07,1987,06,1,01,18,GRANADA,01,,A,PSOE                                              ,0000158
07,1987,06,1,01,18,GRANADA,01,,A,PANCAL                                            ,0000000
07,1987,06,1,01,18,GRANADA,01,,A,PED                                               ,0000000
07,1987,06,1,01,18,GRANADA,01,ESCUELAS HERMANOS MARISTAS,A,AP                                                ,0000550
07,1987,06,1,01,18,GRANADA,01,ESCUELAS HERMANOS MARISTAS,A,PST                                               ,0000000
07,1987,06,1,01,18,GRANADA,01,ESCUELAS HERMANOS MARISTAS,A,PA                                                ,0000015
07,1987,06,1,01,18,GRANADA,01,ESCUELAS HERMANOS MARISTAS,A,ANEMYA                                            ,0000001
07,1987,06,1,01,18,GRANADA,01,COLEGIO DE LA ASUNCION,A,PSOE                                              ,0000109
07,1987,06,1,01,18,GRANADA,01,COLEGIO DE LA ASUNCION,A,CDS                                               ,0000106
07,1987,06,1,01,18,GRANADA,01,COLEGIO DE LA ASUNCION,A,LV                                                ,0000006
07,1987,06,1,01,18,GRANADA,01,"PREESCOLAR ""SIERVAS DEL EVANGELIO"" PLAZA",A,CSD                                               ,0000000
07,1987,06,1,01,18,GRANADA,01,COLEGIO REGINA MUNDI,A,PAR                                               ,0000001
07,1987,06,1,01,18,GRANADA,01,COLEGIO REGINA MUNDI,A,PTE-UC                                            ,0000006
07,1987,06,1,01,18,GRANADA,01,I.E.S. HERMENEGILDO LANZ,A,AP                                                ,0000267
07,1987,06,1,01,18,GRANADA,01,COLEGIO SANTO TOMAS DE VILLANUEVA CALLE ,A,CIU                                               ,0000000
07,1987,06,1,01,18,GRANADA,01,,A,AIC                                               ,0000001
07,1987,06,1,01,18,GRANADA,01,,A,CIP                                               ,0000002
07,1987,06,1,01,18,GRANADA,01,C.P. FUENTE NUEVA,A,PST                                               ,0000001
07,1987,06,1,01,18,GRANADA,01,C.P. FUENTE NUEVA,A,PNV-PG-N                                          ,0000000
07,1987,06,1,01,18,GRANADA,01,C.P. FUENTE NUEVA,A,PORE                                              ,0000000
07,1987,06,1,01,18,GRANADA,01,,A,CDS                                               ,0000167
07,1987,06,1,01,18,GRANADA,01,,A,UV                                                ,0000000
07,1987,06,1,01,18,GRANADA,01,,A,PA                                                ,0000017
07,1987,06,1,01,18,GRANADA,01,,A,PORE                                              ,0000002
07,1987,06,1,01,18,GRANADA,01,PARQUE BOMBEROS SUR,A,BNG                                               ,0000000
07,1987,06,1,01,18,GRANADA,01,PARQUE BOMBEROS SUR,A,CIP                                               ,0000003
07,1987,06,1,01,18,GRANADA,01,,A,PH                                                ,0000000
07,1987,06,1,01,18,GRANADA,01,,A,LA                                                ,0000000
07,1987,06,1,01,18,GRANADA,01,,A,PED                                               ,0000000
07,1987,06,1,01,18,GRANADA,01,COLEGIO GENIL,A,CDS                                               ,0000100
07,1987,06,1,01,18,GRANADA,01,COLEGIO GENIL,A,EU                                                ,0000000
07,1987,06,1,01,18,GRANADA,01,,A,POSI                                              ,0000000
07,1987,06,1,01,18,GRANADA,01,,A,CV                                                ,0000002
07,1987,06,1,01,18,GRANADA,01,CONSEJERIA IGUALDAD Y BIENESTAR,A,CDS                                               ,0000055
07,1987,06,1,01,18,GRANADA,01,CONSEJERIA IGUALDAD Y BIENESTAR,A,PANCAL                                            ,0000000
07,1987,06,1,01,18,GRANADA,01,CONSEJERIA IGUALDAD Y BIENESTAR,A,CV                                                ,0000002
07,1987,06,1,01,18,GRANADA,01,C.P. TIERNO GALVAN,A,PTE-UC                                            ,0000009
07,1987,06,1,01,18,GRANADA,01,C.P. TIERNO GALVAN,A,PH                                                ,0000001
07,1987,06,1,01,18,GRANADA,01,PARQUE BOMBEROS SUR,A,PDP                                               ,0000008
07,1987,06,1,01,18,GRANADA,01,PARQUE BOMBEROS SUR,A,PAR                                               ,0000000
07,1987,06,1,01,18,GRANADA,01,PARQUE BOMBEROS SUR,A,PTE-UC                                            ,0000003
07,1987,06,1,01,18,GRANADA,01,PARQUE BOMBEROS SUR,A,LA                                                ,0000000
07,1987,06,1,01,18,GRANADA,01,PARQUE BOMBEROS SUR,A,PCV                                               ,0000000
07,1987,06,1,01,18,GRANADA,01,PARQUE BOMBEROS SUR,A,CSD                                               ,0000000
07,1987,06,1,01,18,GRANADA,01,,A,AIC                                               ,0000000
07,1987,06,1,01,18,GRANADA,01,,A,PANCAL                                            ,0000000
07,1987,06,1,01,18,GRANADA,01,,A,UV                                                ,0000001
07,1987,06,1,01,18,GRANADA,01,,A,PH                                                ,0000000
07,1987,06,1,01,18,GRANADA,01,,A,FN                                                ,0000012
07,1987,06,1,01,18,GRANADA,01,CONSEJERIA IGUALDAD Y BIENESTAR,A,POSI                                              ,0000000
07,1987,06,1,01,18,GRANADA,01,C.P. TIERNO GALVAN,A,EU                                                ,0000066
07,1987,06,1,01,18,GRANADA,01,C.P. TIERNO GALVAN,A,LV                                                ,0000003
07,1987,06,1,01,18,GRANADA,01,C.P. TIERNO GALVAN,A,CSD                                               ,0000000
07,1987,06,1,01,18,GRANADA,02,GERENCIA TERRITORIAL DE CATASTRO,A,FE-JONS                                           ,0000001
07,1987,06,1,01,18,GRANADA,02,GERENCIA TERRITORIAL DE CATASTRO,A,LV                                                ,0000000
07,1987,06,1,01,18,GRANADA,02,GERENCIA TERRITORIAL DE CATASTRO,A,ANEMYA                                            ,0000000
07,1987,06,1,01,18,GRANADA,02,COLEGIO SAN ISIDORO,A,CIU                                               ,0000000
07,1987,06,1,01,18,GRANADA,02,COLEGIO SAN ISIDORO,A,UV                                                ,0000000
07,1987,06,1,01,18,GRANADA,02,COLEGIO SAN ISIDORO,A,PORE                                              ,0000000
07,1987,06,1,01,18,GRANADA,02,ESCUELA DE ARTES Y OFICIOS,A,LA                                                ,0000000
07,1987,06,1,01,18,GRANADA,02,ESCUELA DE ARTES Y OFICIOS,A,CV                                                ,0000000
07,1987,06,1,01,18,GRANADA,02,ESCUELA DE ARTES Y OFICIOS,A,PED                                               ,0000000
07,1987,06,1,01,18,GRANADA,02,COLEGIO SAN JOSE,A,AP                                                ,0000367
07,1987,06,1,01,18,GRANADA,02,COLEGIO SAN JOSE,A,LV                                                ,0000000
07,1987,06,1,01,18,GRANADA,02,,A,UV                                                ,0000000
07,1987,06,1,01,18,GRANADA,02,,A,CV                                                ,0000004
07,1987,06,1,01,18,GRANADA,02,ESCUELAS HERMANOS MARISTAS,A,PDP                                               ,0000005
07,1987,06,1,01,18,GRANADA,02,ESCUELAS HERMANOS MARISTAS,A,PED                                               ,0000001
07,1987,06,1,01,18,GRANADA,02,ESCUELAS HERMANOS MARISTAS,A,CSD                                               ,0000000
07,1987,06,1,01,18,GRANADA,02,COLEGIO DE LA ASUNCION,A,PANCAL                                            ,0000000
07,1987,06,1,01,18,GRANADA,02,COLEGIO DE LA ASUNCION,A,PH                                                ,0000001
07,1987,06,1,01,18,GRANADA,02,"PREESCOLAR ""SIERVAS DEL EVANGELIO"" PLAZA",A,LA                                                ,0000000
07,1987,06,1,01,18,GRANADA,02,I.E.S. HERMENEGILDO LANZ,A,PDP                                               ,0000006
07,1987,06,1,01,18,GRANADA,02,COLEGIO SANTO TOMAS DE VILLANUEVA CALLE ,A,UV                                                ,0000000
07,1987,06,1,01,18,GRANADA,02,COLEGIO SANTO TOMAS DE VILLANUEVA CALLE ,A,PTE-UC                                            ,0000007
07,1987,06,1,01,18,GRANADA,02,COLEGIO SANTO TOMAS DE VILLANUEVA CALLE ,A,AS                                                ,0000012
07,1987,06,1,01,18,GRANADA,02,,A,PDP                                               ,0000013
07,1987,06,1,01,18,GRANADA,02,,A,PAR                                               ,0000000
07,1987,06,1,01,18,GRANADA,02,,A,PTE-UC                                            ,0000003
07,1987,06,1,01,18,GRANADA,02,,A,BNG                                               ,0000000
07,1987,06,1,01,18,GRANADA,02,,A,PORE                                              ,0000000
07,1987,06,1,01,18,GRANADA,02,,A,PSOE                                              ,0000233
07,1987,06,1,01,18,GRANADA,02,,A,CDS                                               ,0000076
07,1987,06,1,01,18,GRANADA,02,C.P. FUENTE NUEVA,A,PSOE                                              ,0000150
07,1987,06,1,01,18,GRANADA,02,C.P. FUENTE NUEVA,A,PANCAL                                            ,0000000
07,1987,06,1,01,18,GRANADA,02,C.P. FUENTE NUEVA,A,LA                                                ,0000000
07,1987,06,1,01,18,GRANADA,02,C.P. FUENTE NUEVA,A,EA-ERC-PNG                                        ,0000000
07,1987,06,1,01,18,GRANADA,02,,A,LA                                                ,0000001
07,1987,06,1,01,18,GRANADA,01,C.P. TIERNO GALVAN,A,CV                                                ,0000006
07,1987,06,1,01,18,GRANADA,02,GERENCIA TERRITORIAL DE CATASTRO,A,PANCAL                                            ,0000000
07,1987,06,1,01,18,GRANADA,02,GERENCIA TERRITORIAL DE CATASTRO,A,POSI                                              ,0000000
07,1987,06,1,01,18,GRANADA,02,GERENCIA TERRITORIAL DE CATASTRO,A,PH                                                ,0000000
07,1987,06,1,01,18,GRANADA,02,GERENCIA TERRITORIAL DE CATASTRO,A,CIP                                               ,0000001
07,1987,06,1,01,18,GRANADA,02,COLEGIO SAN ISIDORO,A,CDS                                               ,0000099
07,1987,06,1,01,18,GRANADA,02,ESCUELA DE ARTES Y OFICIOS,A,PANCAL                                            ,0000001
07,1987,06,1,01,18,GRANADA,02,ESCUELA DE ARTES Y OFICIOS,A,PAR                                               ,0000000
07,1987,06,1,01,18,GRANADA,02,ESCUELA DE ARTES Y OFICIOS,A,UV                                                ,0000000
07,1987,06,1,01,18,GRANADA,02,ESCUELA DE ARTES Y OFICIOS,A,CSD                                               ,0000000
07,1987,06,1,01,18,GRANADA,02,COLEGIO SAN JOSE,A,UCE                                               ,0000000
07,1987,06,1,01,18,GRANADA,02,COLEGIO SAN JOSE,A,LA                                                ,0000000
07,1987,06,1,01,18,GRANADA,02,COLEGIO SAN JOSE,A,AS                                                ,0000026
07,1987,06,1,01,18,GRANADA,02,,A,LV                                                ,0000001
07,1987,06,1,01,18,GRANADA,02,ESCUELAS HERMANOS MARISTAS,A,POSI                                              ,0000000
07,1987,06,1,01,18,GRANADA,02,ESCUELAS HERMANOS MARISTAS,A,BNG                                               ,0000000
07,1987,06,1,01,18,GRANADA,02,COLEGIO DE LA ASUNCION,A,CDS                                               ,0000112
07,1987,06,1,01,18,GRANADA,02,COLEGIO DE LA ASUNCION,A,BNG                                               ,0000000
