"Tipo de elección.","Año del proceso electoral.","Mes del proceso electoral.","Número de vuelta (en procesos a una sola vuelta = 1)","Código de la Comunidad Autónoma o 99 si se trata del Total Nacional del C.E.R.A.","Código I.N.E. de la provincia o 99 si se trata del Total Nacional o Autonómico del C.E.R.A.","Municipio","Número de distrito municipal en su caso o 01 si el municipio no tiene distritos (distrito único). En el caso de datos procedentes del C.E.R.A., llevará el número del ‘Distrito Electoral’ a que correspondan o 09 si el ámbito de dicho distrito coincide con el de la provincia.","Colegio","Código de la mesa (una letra mayúscula identificando la mesa o una ‘U’ en caso de mesa única).","Siglas.","Votos obtenidos por la candidatura o el Senador."
07,2009,06,1,01,18,GRANADA,01,,A,EXTREMADURA UNIDA                                 ,0000000
07,2009,06,1,01,18,GRANADA,01,,A,II                                                ,0000001
07,2009,06,1,01,18,GRANADA,01,,B,PREPAL                                            ,0000000
07,2009,06,1,01,18,GRANADA,01,,B,LV-GVE                                            ,0000001
07,2009,06,1,01,18,GRANADA,01,,B,PSOE                                              ,0000085
07,2009,06,1,01,18,GRANADA,01,,U,UV                                                ,0000000
07,2009,06,1,01,18,GRANADA,01,,U,PSOE                                              ,0000069
07,2009,06,1,01,18,GRANADA,01,,A,PSA                                               ,0000000
07,2009,06,1,01,18,GRANADA,01,,A,PP                                                ,0000200
07,2009,06,1,01,18,GRANADA,01,,A,RC                                                ,0000000
07,2009,06,1,01,18,GRANADA,01,,A,PREPAL                                            ,0000000
07,2009,06,1,01,18,GRANADA,01,,B,POSI                                              ,0000000
07,2009,06,1,01,18,GRANADA,01,,A,iF                                                ,0000001
07,2009,06,1,01,18,GRANADA,01,,A,FE de las JONS                                    ,0000000
07,2009,06,1,01,18,GRANADA,01,,A,RC                                                ,0000000
07,2009,06,1,01,18,GRANADA,01,,A,PUM+J                                             ,0000001
07,2009,06,1,01,18,GRANADA,01,,A,PACMA                                             ,0000001
07,2009,06,1,01,18,GRANADA,01,,A,POSI                                              ,0000000
07,2009,06,1,01,18,GRANADA,01,,B,PP                                                ,0000219
07,2009,06,1,01,18,GRANADA,01,,B,PH                                                ,0000000
07,2009,06,1,01,18,GRANADA,01,,A,iF                                                ,0000000
07,2009,06,1,01,18,GRANADA,01,,A,PA                                                ,0000000
07,2009,06,1,01,18,GRANADA,01,,B,UV                                                ,0000000
07,2009,06,1,01,18,GRANADA,01,,B,PACMA                                             ,0000001
07,2009,06,1,01,18,GRANADA,01,,A,EXTREMADURA UNIDA                                 ,0000000
07,2009,06,1,01,18,GRANADA,01,,A,PUM+J                                             ,0000000
07,2009,06,1,01,18,GRANADA,01,,A,UCE                                               ,0000000
07,2009,06,1,01,18,GRANADA,01,,B,PUM+J                                             ,0000001
07,2009,06,1,01,18,GRANADA,01,,B,MSR                                               ,0000000
07,2009,06,1,01,18,GRANADA,01,,U,DN                                                ,0000000
07,2009,06,1,01,18,GRANADA,01,,A,PSA                                               ,0000000
07,2009,06,1,01,18,GRANADA,01,,A,PREPAL                                            ,0000000
07,2009,06,1,01,18,GRANADA,01,,A,PA                                                ,0000000
07,2009,06,1,01,18,GRANADA,01,,B,SAIn                                              ,0000001
07,2009,06,1,01,18,GRANADA,01,,B,PFyV                                              ,0000001
07,2009,06,1,01,18,GRANADA,01,,B,PCPE                                              ,0000000
07,2009,06,1,01,18,GRANADA,01,,A,SAIn                                              ,0000000
07,2009,06,1,01,18,GRANADA,01,,A,CDL                                               ,0000000
07,2009,06,1,01,18,GRANADA,01,,A,PFyV                                              ,0000000
07,2009,06,1,01,18,GRANADA,01,,A,FA                                                ,0000000
