"Tipo de elección.","Año del proceso electoral.","Mes del proceso electoral.","Número de vuelta (en procesos a una sola vuelta = 1)","Código de la Comunidad Autónoma o 99 si se trata del Total Nacional del C.E.R.A.","Código I.N.E. de la provincia o 99 si se trata del Total Nacional o Autonómico del C.E.R.A.","Municipio","Número de distrito municipal en su caso o 01 si el municipio no tiene distritos (distrito único). En el caso de datos procedentes del C.E.R.A., llevará el número del ‘Distrito Electoral’ a que correspondan o 09 si el ámbito de dicho distrito coincide con el de la provincia.","Colegio","Código de la mesa (una letra mayúscula identificando la mesa o una ‘U’ en caso de mesa única).","Siglas.","Votos obtenidos por la candidatura o el Senador."
07,1999,06,1,01,18,GRANADA,01,,B,BNG                                               ,0000001
07,1999,06,1,01,18,GRANADA,01,,B,VERDES-IA                                         ,0000008
07,1999,06,1,01,18,GRANADA,01,,B,PREX-CREX                                         ,0000000
07,1999,06,1,01,18,GRANADA,01,,B,LV-GV                                             ,0000000
07,1999,06,1,01,18,GRANADA,01,,B,UDR                                               ,0000000
07,1999,06,1,01,18,GRANADA,01,,U,PAS                                               ,0000000
07,1999,06,1,01,18,GRANADA,01,,U,TC-PNC                                            ,0000000
07,1999,06,1,01,18,GRANADA,01,,A,COFEM-FEMEK                                       ,0000000
07,1999,06,1,01,18,GRANADA,01,,A,PLN                                               ,0000000
07,1999,06,1,01,18,GRANADA,01,,A,AUN                                               ,0000000
07,1999,06,1,01,18,GRANADA,01,,B,BNG                                               ,0000000
07,1999,06,1,01,18,GRANADA,01,,B,ACV                                               ,0000000
07,1999,06,1,01,18,GRANADA,01,,A,PADE                                              ,0000000
07,1999,06,1,01,18,GRANADA,01,,A,UPL                                               ,0000000
07,1999,06,1,01,18,GRANADA,01,,A,PREX-CREX                                         ,0000000
07,1999,06,1,01,18,GRANADA,01,,A,LV-GV                                             ,0000000
07,1999,06,1,01,18,GRANADA,01,,A,PREX-CREX                                         ,0000000
07,1999,06,1,01,18,GRANADA,01,,A,LV-GV                                             ,0000001
07,1999,06,1,01,18,GRANADA,01,,B,COFEM-FEMEK                                       ,0000000
07,1999,06,1,01,18,GRANADA,01,,A,PREX-CREX                                         ,0000001
