"Tipo de elección.","Año del proceso electoral.","Mes del proceso electoral.","Número de vuelta (en procesos a una sola vuelta = 1)","Código de la Comunidad Autónoma o 99 si se trata del Total Nacional del C.E.R.A.","Código I.N.E. de la provincia o 99 si se trata del Total Nacional o Autonómico del C.E.R.A.","Municipio","Número de distrito municipal en su caso o 01 si el municipio no tiene distritos (distrito único). En el caso de datos procedentes del C.E.R.A., llevará el número del ‘Distrito Electoral’ a que correspondan o 09 si el ámbito de dicho distrito coincide con el de la provincia.","Colegio","Código de la mesa (una letra mayúscula identificando la mesa o una ‘U’ en caso de mesa única).","Siglas.","Votos obtenidos por la candidatura o el Senador."
07,1994,06,1,01,18,GRANADA,01,,A,PEP                                               ,0000000
07,1994,06,1,01,18,GRANADA,01,,A,PH                                                ,0000000
07,1994,06,1,01,18,GRANADA,01,,B,PCAR                                              ,0000000
07,1994,06,1,01,18,GRANADA,01,,B,CIU                                               ,0000000
07,1994,06,1,01,18,GRANADA,01,,B,PREPAL                                            ,0000000
07,1994,06,1,01,18,GRANADA,01,,U,CN                                                ,0000000
07,1994,06,1,01,18,GRANADA,01,,U,RUIZ-MATEOS                                       ,0000003
07,1994,06,1,01,18,GRANADA,01,,U,PEP                                               ,0000000
07,1994,06,1,01,18,GRANADA,01,,U,AG                                                ,0000000
07,1994,06,1,01,18,GRANADA,01,,A,GV                                                ,0000003
07,1994,06,1,01,18,GRANADA,01,,A,RUIZ-MATEOS                                       ,0000002
07,1994,06,1,01,18,GRANADA,01,,A,CIU                                               ,0000000
07,1994,06,1,01,18,GRANADA,01,,A,LVRM                                              ,0000000
07,1994,06,1,01,18,GRANADA,01,,B,GV                                                ,0000001
07,1994,06,1,01,18,GRANADA,01,,B,URCL                                              ,0000000
07,1994,06,1,01,18,GRANADA,01,,B,AG                                                ,0000000
07,1994,06,1,01,18,GRANADA,01,,U,LVRM                                              ,0000000
07,1994,06,1,01,18,GRANADA,01,,U,FEI                                               ,0000000
07,1994,06,1,01,18,GRANADA,01,,U,GV                                                ,0000003
07,1994,06,1,01,18,GRANADA,01,,U,FE-JONS                                           ,0000003
07,1994,06,1,01,18,GRANADA,01,,A,EU                                                ,0000000
07,1994,06,1,01,18,GRANADA,01,,A,FE-JONS                                           ,0000000
