Código de Municipio	Nombre de Municipio	Año	Población	Número de mesas	Total censo electoral	Total votantes	Votos válidos	Votos a candidaturas	Votos en blanco	Votos nulos	PP	PSOE	Diferencia
93	Gualchos                                                                                            	2009	4126	4	2473	1294	1281	1272	9	13	590	641	1
94	Güejar Sierra                                                                                       	2009	3002	4	2375	1233	1225	1218	7	8	611	536	0
95	Güevéjar                                                                                            	2009	2284	2	1823	850	840	826	14	10	300	436	1
96	Huélago                                                                                             	2009	416	1	389	201	201	199	2	0	69	129	1
97	Huéneja                                                                                             	2009	1231	2	1003	540	535	535	0	5	245	263	1
98	Huéscar                                                                                             	2009	8226	16	6527	3445	3420	3401	19	25	1248	2019	1
99	Huétor de Santillán                                                                                 	2009	1811	2	1515	784	778	775	3	6	308	388	1
100	Huétor Tájar                                                                                        	2009	9654	13	7086	3458	3427	3398	29	31	1130	2027	1
101	Huétor Vega                                                                                         	2009	11103	14	8488	3543	3521	3481	40	22	1557	1502	0
102	Illora                                                                                              	2009	10399	13	8591	3944	3904	3876	28	40	1163	2245	1
103	Itrabo                                                                                              	2009	1123	1	788	534	532	532	0	2	241	286	1
105	Iznalloz                                                                                            	2009	7150	10	5322	2700	2686	2667	19	14	598	1535	1
107	Jayena                                                                                              	2009	1213	2	1024	437	433	433	0	4	175	247	1
108	Jerez del Marquesado                                                                                	2009	1090	2	923	481	479	475	4	2	170	286	1
109	Jete                                                                                                	2009	891	1	631	361	361	360	1	0	191	164	0
111	Jun                                                                                                 	2009	3000	3	2406	1027	1012	1004	8	15	359	528	1
112	Juviles                                                                                             	2009	173	1	141	52	51	49	2	1	22	23	1
114	La Calahorra                                                                                        	2009	760	1	708	391	388	387	1	3	90	278	1
115	Láchar                                                                                              	2009	3005	4	2279	1122	1117	1110	7	5	404	648	1
116	Lanjarón                                                                                            	2009	3908	5	3100	1509	1500	1480	20	9	617	739	1
117	Lanteira                                                                                            	2009	605	1	528	320	317	315	2	3	129	165	1
119	Lecrín                                                                                              	2009	2327	5	1823	1040	1035	1029	6	5	426	546	1
120	Lentegí                                                                                             	2009	328	1	280	170	170	170	0	0	29	133	1
121	Lobras                                                                                              	2009	125	1	131	86	85	84	1	1	37	44	1
122	Loja                                                                                                	2009	21570	36	16220	7782	7726	7651	75	56	2908	4194	1
123	Lugros                                                                                              	2009	368	1	326	171	167	166	1	4	53	107	1
124	Lújar                                                                                               	2009	495	1	402	195	195	195	0	0	127	65	0
126	La Malahá                                                                                           	2009	1764	2	1463	712	709	707	2	3	162	329	1
127	Maracena                                                                                            	2009	20297	23	15396	6444	6415	6349	66	29	2066	3487	1
128	Marchal                                                                                             	2009	413	1	346	201	201	200	1	0	113	78	0
132	Moclín                                                                                              	2009	4319	6	3459	2072	2066	2054	12	6	411	1366	1
133	Molvízar                                                                                            	2009	3407	4	2442	1262	1259	1253	6	3	684	531	0
134	Monachil                                                                                            	2009	6644	9	5297	1966	1959	1931	28	7	806	878	1
135	Montefrío                                                                                           	2009	6357	10	4867	2285	2269	2248	21	16	693	1392	1
136	Montejícar                                                                                          	2009	2525	3	2006	1154	1152	1148	4	2	308	694	1
137	Montillana                                                                                          	2009	1328	2	1090	672	668	666	2	4	338	306	0
138	Moraleda de Zafayona                                                                                	2009	3186	3	2462	1091	1089	1079	10	2	221	670	1
140	Motril                                                                                              	2009	59163	66	42873	17217	17132	16966	166	85	7259	8142	1
141	Murtas                                                                                              	2009	710	1	541	251	248	248	0	3	160	78	0
143	Nigüelas                                                                                            	2009	1132	1	937	456	453	453	0	3	145	258	1
144	Nívar                                                                                               	2009	869	1	738	345	343	340	3	2	147	130	0
145	Ogíjares                                                                                            	2009	12867	17	9848	4271	4261	4216	45	10	2040	1678	0
146	Orce                                                                                                	2009	1357	2	1102	573	563	560	3	10	177	327	1
147	Órgiva                                                                                              	2009	5640	6	3910	1426	1419	1405	14	7	469	825	1
148	Otívar                                                                                              	2009	1145	1	841	488	488	488	0	0	230	235	1
149	Otura                                                                                               	2009	6135	8	4793	2303	2290	2269	21	13	1163	902	0
150	Padul                                                                                               	2009	8224	9	6342	2700	2690	2664	26	10	1083	1201	1
151	Pampaneira                                                                                          	2009	313	1	258	128	128	127	1	0	29	88	1
152	Pedro Martínez                                                                                      	2009	1144	2	1075	670	668	668	0	2	168	469	1
153	Peligros                                                                                            	2009	10848	11	8198	3650	3634	3605	29	16	1477	1554	1
154	La Peza                                                                                             	2009	1383	2	1113	595	591	589	2	4	325	247	0
157	Pinos Genil                                                                                         	2009	1249	2	1085	535	532	529	3	3	252	229	0
158	Pinos Puente                                                                                        	2009	13551	16	10434	4429	4402	4367	35	27	1032	2839	1
159	Píñar                                                                                               	2009	1271	2	1066	654	654	651	3	0	136	338	1
161	Polícar                                                                                             	2009	222	1	197	146	146	144	2	0	58	79	1
162	Polopos                                                                                             	2009	1758	2	1044	546	544	542	2	2	238	290	1
163	Pórtugos                                                                                            	2009	405	1	355	204	201	201	0	3	85	93	1
164	Puebla de Don Fadrique                                                                              	2009	2516	4	1949	907	902	890	12	5	412	432	1
165	Pulianas                                                                                            	2009	4993	7	3870	1567	1560	1538	22	7	564	828	1
167	Purullena                                                                                           	2009	2294	3	1915	929	924	915	9	5	302	539	1
168	Quéntar                                                                                             	2009	1070	2	898	401	398	396	2	3	173	195	1
170	Rubite                                                                                              	2009	439	1	384	169	169	169	0	0	59	100	1
171	Salar                                                                                               	2009	2860	3	2131	1158	1147	1143	4	11	283	591	1
173	Salobreña                                                                                           	2009	12684	13	8872	3801	3789	3758	31	12	1370	1990	1
174	Santa Cruz del Comercio                                                                             	2009	549	1	471	270	268	268	0	2	118	141	1
175	Santa Fe                                                                                            	2009	15107	20	11472	5642	5606	5543	63	36	2216	2846	1
176	Soportújar                                                                                          	2009	245	1	239	136	136	136	0	0	23	110	1
177	Sorvilán                                                                                            	2009	656	1	497	198	198	198	0	0	90	104	1
178	Torre-Cardela                                                                                       	2009	1001	1	857	547	547	547	0	0	231	307	1
179	Torvizcón                                                                                           	2009	809	1	637	305	299	299	0	6	130	161	1
180	Trevélez                                                                                            	2009	852	1	665	272	269	265	4	3	53	199	1
181	Turón                                                                                               	2009	319	1	277	147	147	146	1	0	114	27	0
182	Ugíjar                                                                                              	2009	2613	4	2040	838	831	829	2	7	315	459	1
183	Válor                                                                                               	2009	650	1	725	356	351	350	1	5	122	210	1
184	Vélez de Benaudalla                                                                                 	2009	2980	4	2182	1204	1200	1195	5	4	477	598	1
185	Ventas de Huelma                                                                                    	2009	724	1	620	365	365	362	3	0	172	165	0
187	Villanueva de las Torres                                                                            	2009	761	1	581	327	327	327	0	0	67	238	1
188	Villanueva Mesía                                                                                    	2009	2158	3	1682	904	897	893	4	7	299	539	1
189	Víznar                                                                                              	2009	850	1	706	363	361	357	4	2	129	172	1
192	Zafarraya                                                                                           	2009	2152	3	1631	990	976	973	3	14	295	520	1
193	La Zubia                                                                                            	2009	17434	20	13167	5290	5264	5203	61	26	2178	2339	1
194	Zújar                                                                                               	2009	2954	4	2236	1156	1151	1146	5	5	251	840	1
901	La Taha                                                                                             	2009	692	1	596	266	265	261	4	1	117	124	1
902	El Valle                                                                                            	2009	1163	2	941	620	611	607	4	9	177	410	1
903	Nevada                                                                                              	2009	1208	3	994	617	606	602	4	11	250	334	1
904	Alpujarra de la Sierra                                                                              	2009	1163	2	904	473	472	470	2	1	121	260	1
905	Las Gabias                                                                                          	2009	14945	20	11743	4584	4576	4534	42	8	1759	2348	1
906	Los Guajares                                                                                        	2009	1318	3	977	576	573	571	2	3	296	266	0
907	Valle del Zalabí                                                                                    	2009	2325	4	1942	1255	1252	1250	2	3	551	673	1
908	Villamena                                                                                           	2009	1034	2	803	444	442	438	4	2	129	272	1
909	Morelábor                                                                                           	2009	808	1	669	360	358	357	1	2	149	203	1
910	El Pinar                                                                                            	2009	1052	2	862	418	417	414	3	1	166	223	1
911	Vegas del Genil                                                                                     	2009	8061	10	6141	2576	2572	2552	20	4	1079	1231	1
912	Cuevas del Campo                                                                                    	2009	2131	4	1623	909	906	900	6	3	254	585	1
913	Zagra                                                                                               	2009	998	2	846	490	489	488	1	1	300	170	0
1	Agrón                                                                                               	2004	344	1	312	172	172	171	1	0	113	51	0
2	Alamedilla                                                                                          	2004	843	1	717	415	415	415	0	0	273	123	0
3	Albolote                                                                                            	2004	14106	18	11189	4900	4893	4865	28	7	2707	1690	0
4	Albondón                                                                                            	2004	967	2	886	443	439	437	2	4	207	224	1
5	Albuñán                                                                                             	2004	446	1	398	180	180	179	1	0	131	43	0
6	Albuñol                                                                                             	2004	5939	7	4293	1816	1812	1807	5	4	941	775	0
7	Albuñuelas                                                                                          	2004	1149	2	983	517	517	514	3	0	394	93	0
10	Aldeire                                                                                             	2004	753	1	635	413	413	413	0	0	324	58	0
11	Alfacar                                                                                             	2004	4525	6	3737	1736	1735	1733	2	1	943	668	0
12	Algarinejo                                                                                          	2004	4335	5	3278	1530	1529	1525	4	1	987	469	0
13	Alhama de Granada                                                                                   	2004	6074	6	4606	2127	2123	2119	4	4	1259	701	0
14	Alhendín                                                                                            	2004	4506	8	3821	1812	1809	1801	8	3	1016	701	0
15	Alicún de Ortega                                                                                    	2004	609	1	519	322	322	322	0	0	155	110	0
16	Almegíjar                                                                                           	2004	405	1	397	233	232	232	0	1	119	103	0
17	Almuñécar                                                                                           	2004	23378	29	17291	6685	6674	6656	18	11	2964	2807	0
18	Alquife                                                                                             	2004	840	1	762	471	470	464	6	1	291	130	0
20	Arenas del Rey                                                                                      	2004	1976	3	1580	928	925	925	0	3	631	267	0
21	Armilla                                                                                             	2004	16524	21	13184	5153	5136	5107	29	17	3060	1745	0
22	Atarfe                                                                                              	2004	11680	14	9400	3944	3935	3920	15	9	2537	937	0
23	Baza                                                                                                	2004	21209	27	16584	6614	6605	6571	34	9	3852	2322	0
24	Beas de Granada                                                                                     	2004	1061	1	894	544	543	540	3	1	279	223	0
25	Beas de Guadix                                                                                      	2004	351	1	318	192	192	192	0	0	132	55	0
27	Benalúa                                                                                             	2004	3239	4	2489	1108	1106	1103	3	2	641	230	0
28	Benalúa de las Villas                                                                               	2004	1366	2	1110	714	714	714	0	0	176	314	1
29	Benamaurel                                                                                          	2004	2346	3	1925	935	935	934	1	0	615	206	0
30	Bérchules                                                                                           	2004	769	1	617	302	301	297	4	1	173	106	0
32	Bubión                                                                                              	2004	357	1	291	140	140	140	0	0	40	83	1
33	Busquístar                                                                                          	2004	368	1	310	158	158	158	0	0	97	53	0
34	Cacín                                                                                               	2004	753	2	623	360	360	359	1	0	179	96	0
35	Cádiar                                                                                              	2004	1636	2	1382	727	727	725	2	0	360	339	0
36	Cájar                                                                                               	2004	3653	4	3015	1478	1474	1472	2	4	566	792	1
37	Calicasas                                                                                           	2004	563	1	472	288	288	286	2	0	138	141	1
38	Campotéjar                                                                                          	2004	1402	2	1088	651	651	651	0	0	354	218	0
39	Caniles                                                                                             	2004	4668	7	3888	1986	1977	1969	8	9	1380	524	0
40	Cáñar                                                                                               	2004	345	1	271	134	134	134	0	0	69	51	0
42	Capileira                                                                                           	2004	570	1	470	245	243	242	1	2	117	109	0
43	Carataunas                                                                                          	2004	202	1	164	80	80	80	0	0	34	30	0
44	Cástaras                                                                                            	2004	262	1	230	123	122	122	0	1	81	29	0
45	Castilléjar                                                                                         	2004	1617	3	1435	682	681	680	1	1	463	202	0
46	Castril                                                                                             	2004	2569	5	2148	846	841	839	2	5	619	194	0
47	Cenes de la Vega                                                                                    	2004	5882	8	4933	1779	1776	1761	15	3	997	614	0
48	Cijuela                                                                                             	2004	1758	2	1450	877	875	873	2	2	587	190	0
49	Cogollos de Guadix                                                                                  	2004	711	1	582	310	309	309	0	1	190	99	0
50	Cogollos de la Vega                                                                                 	2004	1957	3	1636	855	854	849	5	1	483	311	0
51	Colomera                                                                                            	2004	1591	2	1304	654	652	651	1	2	448	188	0
53	Cortes de Baza                                                                                      	2004	2435	5	2027	1025	1024	1024	0	1	715	247	0
54	Cortes y Graena                                                                                     	2004	1043	2	905	463	462	462	0	1	213	235	1
56	Cúllar                                                                                              	2004	4820	9	3898	2438	2427	2417	10	11	1355	828	0
57	Cúllar Vega                                                                                         	2004	4799	6	4105	1707	1702	1688	14	5	798	698	0
59	Chauchina                                                                                           	2004	4251	7	3705	1892	1887	1884	3	5	1168	463	0
61	Chimeneas                                                                                           	2004	1493	2	1205	720	712	712	0	8	335	279	0
62	Churriana de la Vega                                                                                	2004	7948	10	6311	2790	2779	2776	3	11	1597	1030	0
63	Darro                                                                                               	2004	1463	2	1190	566	565	563	2	1	355	197	0
64	Dehesas de Guadix                                                                                   	2004	592	1	459	272	272	270	2	0	182	76	0
66	Deifontes                                                                                           	2004	2338	3	2010	1064	1063	1060	3	1	732	242	0
67	Diezma                                                                                              	2004	864	1	726	384	384	384	0	0	215	162	0
68	Dílar                                                                                               	2004	1472	2	1313	672	672	666	6	0	315	304	0
69	Dólar                                                                                               	2004	591	1	529	331	329	329	0	2	221	88	0
70	Dúdar                                                                                               	2004	310	1	264	178	178	178	0	0	75	90	1
71	Dúrcal                                                                                              	2004	5158	8	4965	2373	2363	2352	11	10	1500	655	0
72	Escúzar                                                                                             	2004	781	1	711	376	375	373	2	1	219	118	0
74	Ferreira                                                                                            	2004	327	1	296	171	171	171	0	0	103	66	0
76	Fonelas                                                                                             	2004	1176	1	907	427	427	427	0	0	298	107	0
78	Freila                                                                                              	2004	983	1	801	443	441	440	1	2	257	140	0
79	Fuente Vaqueros                                                                                     	2004	3937	4	3205	1899	1893	1890	3	6	1252	381	0
82	Galera                                                                                              	2004	1197	2	1051	513	512	509	3	1	310	179	0
83	Gobernador                                                                                          	2004	327	1	298	204	204	204	0	0	96	106	1
84	Gójar                                                                                               	2004	3823	5	3337	1498	1495	1489	6	3	709	675	0
85	Gor                                                                                                 	2004	1084	2	925	417	411	406	5	6	239	150	0
86	Gorafe                                                                                              	2004	541	1	452	295	295	294	1	0	225	64	0
87	Granada                                                                                             	2004	237663	336	196702	94274	94112	93432	680	162	38355	48823	1
88	Guadahortuna                                                                                        	2004	2179	3	1704	982	982	981	1	0	451	273	0
89	Guadix                                                                                              	2004	20163	31	15270	6792	6784	6765	19	8	3693	2760	0
93	Gualchos                                                                                            	2004	2694	4	2123	1241	1240	1236	4	1	686	525	0
94	Güejar Sierra                                                                                       	2004	2576	4	2316	1295	1292	1285	7	3	588	638	1
95	Güevéjar                                                                                            	2004	1756	2	1433	832	829	826	3	3	515	268	0
96	Huélago                                                                                             	2004	486	1	427	229	229	228	1	0	144	82	0
97	Huéneja                                                                                             	2004	1201	2	1036	509	508	505	3	1	284	201	0
98	Huéscar                                                                                             	2004	8197	15	6682	3253	3239	3230	9	14	2055	1045	0
99	Huétor de Santillán                                                                                 	2004	1698	2	1429	744	741	738	3	3	392	281	0
100	Huétor Tájar                                                                                        	2004	8759	12	6753	3296	3281	3272	9	15	2170	955	0
101	Huétor Vega                                                                                         	2004	10193	13	7825	3125	3120	3100	20	5	1674	1163	0
102	Illora                                                                                              	2004	10130	13	8356	4305	4287	4280	7	18	2697	1093	0
103	Itrabo                                                                                              	2004	983	1	832	596	596	596	0	0	307	277	0
105	Iznalloz                                                                                            	2004	6885	10	5282	2785	2779	2765	14	6	1778	545	0
107	Jayena                                                                                              	2004	1296	2	1082	442	441	441	0	1	280	154	0
108	Jerez del Marquesado                                                                                	2004	1066	2	926	536	531	530	1	5	348	161	0
109	Jete                                                                                                	2004	758	1	605	364	362	361	1	2	169	189	1
111	Jun                                                                                                 	2004	1978	3	1627	706	702	696	6	4	466	181	0
112	Juviles                                                                                             	2004	160	1	168	80	80	78	2	0	45	30	0
114	La Calahorra                                                                                        	2004	816	1	712	363	362	361	1	1	249	95	0
115	Láchar                                                                                              	2004	2525	4	2052	1024	1023	1021	2	1	694	277	0
116	Lanjarón                                                                                            	2004	3736	4	3053	1655	1651	1646	5	4	876	663	0
117	Lanteira                                                                                            	2004	522	1	512	335	331	327	4	4	176	132	0
119	Lecrín                                                                                              	2004	2274	5	1913	1161	1153	1147	6	8	731	388	0
120	Lentegí                                                                                             	2004	329	1	272	186	185	185	0	1	137	31	0
121	Lobras                                                                                              	2004	140	1	134	82	82	82	0	0	42	38	0
122	Loja                                                                                                	2004	20576	33	15908	7356	7343	7314	29	13	4619	2374	0
123	Lugros                                                                                              	2004	374	1	342	189	187	185	2	2	128	50	0
124	Lújar                                                                                               	2004	514	1	433	213	213	213	0	0	87	123	1
126	La Malahá                                                                                           	2004	1597	2	1344	761	759	759	0	2	367	123	0
127	Maracena                                                                                            	2004	16587	22	13866	5559	5543	5523	20	16	3327	1613	0
128	Marchal                                                                                             	2004	390	1	350	219	219	219	0	0	99	102	1
132	Moclín                                                                                              	2004	4310	6	3554	2120	2105	2102	3	15	1460	398	0
133	Molvízar                                                                                            	2004	2802	4	2285	1441	1440	1437	3	1	652	763	1
134	Monachil                                                                                            	2004	5684	8	4936	1747	1747	1735	12	0	832	712	0
135	Montefrío                                                                                           	2004	6474	10	5201	2507	2503	2492	11	4	1609	747	0
136	Montejícar                                                                                          	2004	2728	3	2116	1255	1253	1248	5	2	806	324	0
137	Montillana                                                                                          	2004	1336	2	1097	658	658	656	2	0	335	305	0
138	Moraleda de Zafayona                                                                                	2004	2803	3	2296	1015	1014	1014	0	1	654	173	0
140	Motril                                                                                              	2004	53597	63	41454	16640	16605	16532	73	35	8644	6744	0
141	Murtas                                                                                              	2004	698	1	614	302	301	300	1	1	106	186	1
143	Nigüelas                                                                                            	2004	979	1	907	487	487	483	4	0	291	145	0
144	Nívar                                                                                               	2004	660	1	563	305	305	304	1	0	134	143	1
145	Ogíjares                                                                                            	2004	10494	13	8772	3611	3609	3590	19	2	1670	1582	0
146	Orce                                                                                                	2004	1390	2	1148	621	619	617	2	2	398	192	0
147	Órgiva                                                                                              	2004	5152	6	3895	1502	1500	1500	0	2	988	413	0
148	Otívar                                                                                              	2004	1052	1	841	515	514	513	1	1	287	216	0
149	Otura                                                                                               	2004	5090	7	4104	1992	1985	1976	9	7	944	915	0
150	Padul                                                                                               	2004	7155	8	5728	2594	2587	2584	3	7	1338	962	0
151	Pampaneira                                                                                          	2004	337	1	296	140	140	140	0	0	106	31	0
152	Pedro Martínez                                                                                      	2004	1320	2	1230	730	729	729	0	1	531	177	0
153	Peligros                                                                                            	2004	8500	11	7271	3039	3033	3018	15	6	1484	1125	0
154	La Peza                                                                                             	2004	1359	2	1145	599	599	597	2	0	286	295	1
157	Pinos Genil                                                                                         	2004	1237	2	1046	512	507	505	2	5	279	199	0
158	Pinos Puente                                                                                        	2004	13105	16	10389	4633	4618	4607	11	15	3081	1023	0
159	Píñar                                                                                               	2004	1296	2	1087	686	685	685	0	1	344	130	0
161	Polícar                                                                                             	2004	256	1	203	149	149	149	0	0	85	59	0
162	Polopos                                                                                             	2004	1398	2	986	547	545	544	1	2	344	185	0
163	Pórtugos                                                                                            	2004	425	1	354	194	194	192	2	0	110	73	0
164	Puebla de Don Fadrique                                                                              	2004	2532	4	2092	1016	1012	1007	5	4	529	450	0
165	Pulianas                                                                                            	2004	4683	6	3626	1452	1450	1447	3	2	914	441	0
167	Purullena                                                                                           	2004	2356	3	1870	944	939	939	0	5	552	319	0
168	Quéntar                                                                                             	2004	1116	2	936	467	462	460	2	5	231	198	0
170	Rubite                                                                                              	2004	478	1	453	191	190	190	0	1	124	56	0
171	Salar                                                                                               	2004	2742	3	2168	1287	1282	1279	3	5	733	257	0
173	Salobreña                                                                                           	2004	11134	13	8444	3519	3494	3473	21	25	1912	1272	0
174	Santa Cruz del Comercio                                                                             	2004	517	1	457	253	253	250	3	0	156	85	0
175	Santa Fe                                                                                            	2004	13476	18	10719	5192	5181	5160	21	11	3207	1671	0
176	Soportújar                                                                                          	2004	266	1	255	142	142	142	0	0	115	13	0
177	Sorvilán                                                                                            	2004	621	1	547	184	183	183	0	1	96	84	0
178	Torre-Cardela                                                                                       	2004	1170	1	966	573	570	568	2	3	312	248	0
179	Torvizcón                                                                                           	2004	822	1	703	332	330	330	0	2	190	126	0
180	Trevélez                                                                                            	2004	816	1	675	282	282	281	1	0	209	55	0
181	Turón                                                                                               	2004	329	1	308	163	161	160	1	2	40	115	1
