Código de Municipio	Nombre de Municipio	Año	Población	Número de mesas	Total censo electoral	Total votantes	Votos válidos	Votos a candidaturas	Votos en blanco	Votos nulos	PP	PSOE	Diferencia
903	Nevada                                                                                              	2004	1237	3	1037	631	624	623	1	7	439	145	0
904	Alpujarra de la Sierra                                                                              	2004	1147	2	945	513	507	506	1	6	363	86	0
905	Las Gabias                                                                                          	2004	9773	16	8327	3489	3486	3471	15	3	2158	1128	0
906	Los Guajares                                                                                        	2004	1229	3	1095	669	669	667	2	0	334	306	0
907	Valle del Zalabí                                                                                    	2004	2314	4	1966	1269	1267	1267	0	2	668	578	0
908	Villamena                                                                                           	2004	979	2	828	490	490	489	1	0	337	123	0
909	Morelábor                                                                                           	2004	899	1	765	467	466	465	1	1	258	199	0
910	El Pinar                                                                                            	2004	1136	2	930	490	489	485	4	1	298	159	0
911	Vegas del Genil                                                                                     	2004	3994	5	3808	1680	1679	1668	11	1	1031	540	0
912	Cuevas del Campo                                                                                    	2004	2050	4	1678	806	800	796	4	6	624	145	0
913	Zagra                                                                                               	2004	1089	2	967	530	530	525	5	0	200	302	1
1	Agrón                                                                                               	1999	425	1	362	285	285	282	3	0	90	170	1
2	Alamedilla                                                                                          	1999	953	1	814	570	569	563	6	1	172	363	1
3	Albolote                                                                                            	1999	12693	15	9609	6266	6190	6083	107	76	1992	2892	1
4	Albondón                                                                                            	1999	1060	2	1042	734	727	718	9	7	399	298	0
5	Albuñán                                                                                             	1999	486	1	437	330	328	326	2	2	83	188	1
6	Albuñol                                                                                             	1999	5482	7	4228	3221	3204	3190	14	17	1154	1701	1
7	Albuñuelas                                                                                          	1999	1258	2	1103	851	839	829	10	12	164	346	1
10	Aldeire                                                                                             	1999	789	1	692	565	558	555	3	7	82	237	1
11	Alfacar                                                                                             	1999	4255	5	3437	2452	2436	2414	22	16	810	1173	1
12	Algarinejo                                                                                          	1999	5269	7	3714	2448	2440	2423	17	8	1287	985	0
13	Alhama de Granada                                                                                   	1999	5894	6	4692	3454	3408	3378	30	46	1323	1537	1
14	Alhendín                                                                                            	1999	4157	6	3462	2583	2563	2533	30	20	1229	1104	0
15	Alicún de Ortega                                                                                    	1999	727	1	601	441	440	439	1	1	143	141	0
16	Almegíjar                                                                                           	1999	430	1	385	309	306	303	3	3	182	104	0
17	Almuñécar                                                                                           	1999	20997	25	15722	11701	11595	11508	87	106	4441	3154	0
18	Alquife                                                                                             	1999	962	1	771	637	633	630	3	4	217	309	1
20	Arenas del Rey                                                                                      	1999	2028	3	1697	1179	1164	1164	0	15	392	726	1
21	Armilla                                                                                             	1999	13211	17	10934	6750	6696	6624	72	54	2349	3745	1
22	Atarfe                                                                                              	1999	10477	13	8741	5620	5555	5515	40	65	1248	2665	1
23	Baza                                                                                                	1999	20113	26	18874	10179	10081	10000	81	98	3426	5545	1
24	Beas de Granada                                                                                     	1999	959	1	835	736	733	728	5	3	341	265	0
25	Beas de Guadix                                                                                      	1999	389	1	346	269	269	267	2	0	94	144	1
27	Benalúa                                                                                             	1999	3339	4	2619	1874	1866	1840	26	8	352	716	1
28	Benalúa de las Villas                                                                               	1999	1379	1	1181	1007	1006	1003	3	1	478	499	1
29	Benamaurel                                                                                          	1999	2431	3	2006	1538	1524	1505	19	14	338	754	1
30	Bérchules                                                                                           	1999	808	1	642	477	475	473	2	2	132	247	1
32	Bubión                                                                                              	1999	376	1	283	208	208	207	1	0	73	61	0
33	Busquístar                                                                                          	1999	349	1	319	250	248	244	4	2	113	124	1
34	Cacín                                                                                               	1999	820	2	673	527	527	524	3	0	187	202	1
35	Cádiar                                                                                              	1999	1703	2	1418	1174	1168	1159	9	6	493	558	1
36	Cájar                                                                                               	1999	2828	4	2300	1702	1693	1666	27	9	893	560	0
37	Calicasas                                                                                           	1999	602	1	467	413	410	408	2	3	218	172	0
38	Campotéjar                                                                                          	1999	1452	2	1136	990	988	981	7	2	301	475	1
39	Caniles                                                                                             	1999	5116	7	4559	2833	2822	2811	11	11	842	1899	1
40	Cáñar                                                                                               	1999	305	1	279	211	211	209	2	0	111	82	0
42	Capileira                                                                                           	1999	560	1	444	356	356	354	2	0	184	140	0
43	Carataunas                                                                                          	1999	191	1	160	130	127	125	2	3	65	40	0
44	Cástaras                                                                                            	1999	314	1	293	183	181	177	4	2	70	91	1
45	Castilléjar                                                                                         	1999	2114	3	1799	1064	1055	1044	11	9	320	695	1
46	Castril                                                                                             	1999	2848	5	2579	1557	1519	1510	9	38	551	873	1
47	Cenes de la Vega                                                                                    	1999	4515	4	3989	2230	2225	2195	30	5	715	1180	1
48	Cijuela                                                                                             	1999	1523	2	1229	1009	1001	999	2	8	215	677	1
49	Cogollos de Guadix                                                                                  	1999	768	1	649	515	512	504	8	3	152	206	1
50	Cogollos de la Vega                                                                                 	1999	2020	2	1605	1167	1161	1154	7	6	454	460	1
51	Colomera                                                                                            	1999	1692	2	1331	1056	1049	1044	5	7	375	583	1
53	Cortes de Baza                                                                                      	1999	2765	5	2411	1480	1462	1456	6	18	370	792	1
54	Cortes y Graena                                                                                     	1999	1013	1	898	735	733	729	4	2	400	295	0
56	Cúllar                                                                                              	1999	5078	10	4134	3223	3195	3155	40	28	1228	1500	1
57	Cúllar Vega                                                                                         	1999	3080	4	2617	1878	1862	1837	25	16	655	573	0
59	Chauchina                                                                                           	1999	4058	6	3601	2614	2600	2585	15	14	604	1291	1
61	Chimeneas                                                                                           	1999	1537	2	1334	1078	1064	1061	3	14	478	378	0
62	Churriana de la Vega                                                                                	1999	6435	7	5194	3916	3884	3857	27	32	1652	1829	1
63	Darro                                                                                               	1999	1521	2	1276	853	846	841	5	7	372	416	1
64	Dehesas de Guadix                                                                                   	1999	694	1	506	380	378	377	1	2	72	194	1
66	Deifontes                                                                                           	1999	2415	3	1988	1382	1378	1376	2	4	340	778	1
67	Diezma                                                                                              	1999	945	1	793	633	629	625	4	4	245	367	1
68	Dílar                                                                                               	1999	1511	2	1274	982	979	968	11	3	321	501	1
69	Dólar                                                                                               	1999	643	1	553	457	452	438	14	5	131	274	1
70	Dúdar                                                                                               	1999	296	1	247	197	196	196	0	1	112	62	0
71	Dúrcal                                                                                              	1999	5774	8	5010	3692	3590	3558	32	102	897	1577	1
72	Escúzar                                                                                             	1999	857	1	754	533	532	529	3	1	164	347	1
74	Ferreira                                                                                            	1999	375	1	324	270	269	269	0	1	116	147	1
76	Fonelas                                                                                             	1999	1286	1	949	609	608	606	2	1	186	244	1
78	Freila                                                                                              	1999	1034	1	849	629	627	625	2	2	206	309	1
79	Fuente Vaqueros                                                                                     	1999	3969	4	3154	2561	2539	2519	20	22	502	1471	1
82	Galera                                                                                              	1999	1378	2	1217	844	830	819	11	14	306	402	1
83	Gobernador                                                                                          	1999	390	1	349	288	285	282	3	3	156	120	0
84	Gójar                                                                                               	1999	3340	5	2712	1965	1945	1925	20	20	932	740	0
85	Gor                                                                                                 	1999	1165	2	998	689	685	679	6	4	315	295	0
86	Gorafe                                                                                              	1999	581	1	491	419	417	416	1	2	122	270	1
87	Granada                                                                                             	1999	241471	324	212418	128268	127622	125291	2331	646	61353	47597	0
88	Guadahortuna                                                                                        	1999	2303	2	1778	1469	1459	1455	4	10	331	616	1
89	Guadix                                                                                              	1999	20322	23	15946	9841	9766	9690	76	75	3705	4478	1
93	Gualchos                                                                                            	1999	2968	4	2362	1717	1698	1687	11	19	683	907	1
94	Güejar Sierra                                                                                       	1999	2698	3	2454	1999	1992	1982	10	7	998	824	0
95	Güevéjar                                                                                            	1999	1438	1	1190	978	972	966	6	6	325	600	1
96	Huélago                                                                                             	1999	644	1	507	388	382	378	4	6	174	195	1
97	Huéneja                                                                                             	1999	1277	2	1115	875	869	861	8	6	321	431	1
98	Huéscar                                                                                             	1999	8013	16	8785	4999	4972	4944	28	27	1855	2729	1
99	Huétor de Santillán                                                                                 	1999	1649	2	1383	1116	1102	1092	10	14	375	460	1
100	Huétor Tájar                                                                                        	1999	8298	11	6958	5220	5185	5144	41	35	1355	3008	1
101	Huétor Vega                                                                                         	1999	8297	10	6419	4304	4282	4225	57	22	1242	1785	1
102	Illora                                                                                              	1999	10664	13	8412	6349	6244	6175	69	105	1845	2874	1
103	Itrabo                                                                                              	1999	1029	1	896	797	796	794	2	1	359	418	1
105	Iznalloz                                                                                            	1999	6451	8	5140	3898	3858	3811	47	40	724	2035	1
107	Jayena                                                                                              	1999	1395	1	1211	833	828	824	4	5	319	428	1
108	Jerez del Marquesado                                                                                	1999	1174	1	988	793	791	789	2	2	236	435	1
109	Jete                                                                                                	1999	752	1	632	580	580	575	5	0	269	290	1
111	Jun                                                                                                 	1999	1623	2	1329	996	988	979	9	8	229	618	1
112	Juviles                                                                                             	1999	187	1	169	112	112	108	4	0	54	42	0
114	La Calahorra                                                                                        	1999	927	1	828	587	582	578	4	5	161	304	1
115	Láchar                                                                                              	1999	2434	3	1960	1518	1490	1478	12	28	362	818	1
116	Lanjarón                                                                                            	1999	3877	4	3150	2432	2385	2347	38	47	1059	918	0
117	Lanteira                                                                                            	1999	669	1	577	475	474	465	9	1	230	212	0
119	Lecrín                                                                                              	1999	2375	5	1960	1519	1505	1483	22	14	510	833	1
120	Lentegí                                                                                             	1999	347	1	270	240	240	239	1	0	41	133	1
121	Lobras                                                                                              	1999	181	1	179	142	140	139	1	2	79	48	0
122	Loja                                                                                                	1999	20143	31	16183	10771	10621	10509	112	150	3910	5532	1
123	Lugros                                                                                              	1999	412	1	361	282	282	282	0	0	110	163	1
124	Lújar                                                                                               	1999	562	1	426	328	328	327	1	0	180	132	0
126	La Malahá                                                                                           	1999	1576	2	1346	1132	1126	1118	8	6	129	518	1
127	Maracena                                                                                            	1999	14331	19	11758	7579	7464	7358	106	115	2046	3396	1
128	Marchal                                                                                             	1999	439	1	366	294	292	291	1	2	113	119	1
132	Moclín                                                                                              	1999	4618	6	3811	2825	2815	2797	18	10	509	1645	1
133	Molvízar                                                                                            	1999	2670	3	2247	2013	2008	1997	11	5	1095	847	0
134	Monachil                                                                                            	1999	4831	7	4557	2780	2764	2705	59	16	980	1007	1
135	Montefrío                                                                                           	1999	7030	10	5865	3877	3812	3782	30	65	1556	1942	1
136	Montejícar                                                                                          	1999	2888	3	2223	1683	1679	1668	11	4	454	945	1
137	Montillana                                                                                          	1999	1396	1	1157	1017	1012	1005	7	5	466	465	0
138	Moraleda de Zafayona                                                                                	1999	2722	3	2189	1551	1540	1530	10	11	297	775	1
140	Motril                                                                                              	1999	50025	55	38946	22608	22419	22155	264	189	8555	9866	1
141	Murtas                                                                                              	1999	852	1	719	531	530	530	0	1	361	132	0
143	Nigüelas                                                                                            	1999	1154	1	971	806	800	799	1	6	209	442	1
144	Nívar                                                                                               	1999	641	1	564	468	468	462	6	0	248	156	0
145	Ogíjares                                                                                            	1999	8123	7	6450	4503	4473	4427	46	30	1897	1752	0
146	Orce                                                                                                	1999	1427	2	1213	917	909	905	4	8	311	463	1
147	Órgiva                                                                                              	1999	5039	6	4111	2614	2594	2570	24	20	1063	1196	1
148	Otívar                                                                                              	1999	1096	1	893	736	736	731	5	0	266	383	1
149	Otura                                                                                               	1999	3828	5	3226	2282	2257	2238	19	25	966	965	0
150	Padul                                                                                               	1999	6632	8	5437	4033	4001	3964	37	32	1239	1333	1
151	Pampaneira                                                                                          	1999	337	1	289	213	213	212	1	0	61	118	1
152	Pedro Martínez                                                                                      	1999	1499	2	1389	1058	1057	1051	6	1	325	692	1
153	Peligros                                                                                            	1999	7380	9	5871	3823	3805	3751	54	18	950	1610	1
154	La Peza                                                                                             	1999	1450	2	1217	969	967	965	2	2	418	462	1
157	Pinos Genil                                                                                         	1999	1186	1	954	781	766	756	10	15	409	299	0
158	Pinos Puente                                                                                        	1999	13215	16	10906	7184	7091	7006	85	93	1554	3937	1
159	Píñar                                                                                               	1999	1397	2	1144	973	970	967	3	3	177	473	1
161	Polícar                                                                                             	1999	254	1	223	196	196	196	0	0	70	116	1
162	Polopos                                                                                             	1999	1264	2	1009	815	812	805	7	3	307	479	1
163	Pórtugos                                                                                            	1999	444	1	370	318	317	314	3	1	140	150	1
164	Puebla de Don Fadrique                                                                              	1999	2569	4	2149	1614	1606	1596	10	8	719	761	1
165	Pulianas                                                                                            	1999	3599	5	2966	1958	1940	1919	21	18	619	987	1
167	Purullena                                                                                           	1999	2068	3	1928	1486	1480	1473	7	6	522	775	1
168	Quéntar                                                                                             	1999	1108	1	893	701	689	680	9	12	306	262	0
170	Rubite                                                                                              	1999	410	1	366	304	304	300	4	0	121	143	1
171	Salar                                                                                               	1999	2783	3	2203	1882	1871	1860	11	11	332	789	1
173	Salobreña                                                                                           	1999	10053	12	7899	5766	5729	5692	37	37	1991	2505	1
174	Santa Cruz del Comercio                                                                             	1999	555	1	469	407	406	402	4	1	140	235	1
175	Santa Fe                                                                                            	1999	12387	17	10284	7166	7104	7017	87	62	2424	4037	1
176	Soportújar                                                                                          	1999	288	1	246	188	188	188	0	0	21	128	1
177	Sorvilán                                                                                            	1999	679	2	621	379	376	373	3	3	179	173	0
178	Torre-Cardela                                                                                       	1999	1225	1	1046	823	819	817	2	4	373	429	1
179	Torvizcón                                                                                           	1999	972	1	828	537	522	519	3	15	270	230	0
180	Trevélez                                                                                            	1999	793	1	631	499	492	486	6	7	127	307	1
181	Turón                                                                                               	1999	361	1	322	245	244	244	0	1	171	65	0
182	Ugíjar                                                                                              	1999	2572	5	2390	1686	1681	1672	9	5	482	1133	1
183	Válor                                                                                               	1999	1001	1	855	619	615	607	8	4	253	280	1
184	Vélez de Benaudalla                                                                                 	1999	2563	2	2141	1613	1604	1592	12	9	591	717	1
185	Ventas de Huelma                                                                                    	1999	675	1	589	492	491	484	7	1	214	220	1
187	Villanueva de las Torres                                                                            	1999	965	1	741	550	549	549	0	1	114	315	1
188	Villanueva Mesía                                                                                    	1999	1897	2	1572	1235	1220	1205	15	15	363	670	1
189	Víznar                                                                                              	1999	743	1	618	510	507	500	7	3	203	180	0
192	Zafarraya                                                                                           	1999	2213	3	1836	1453	1427	1420	7	26	369	766	1
193	La Zubia                                                                                            	1999	12407	15	10357	6547	6484	6373	111	63	2368	2833	1
194	Zújar                                                                                               	1999	2887	4	2401	1710	1686	1681	5	24	366	982	1
901	La Taha                                                                                             	1999	830	1	706	497	491	487	4	6	222	183	0
902	El Valle                                                                                            	1999	1377	3	1165	940	936	933	3	4	293	582	1
903	Nevada                                                                                              	1999	1369	3	1132	857	848	842	6	9	246	505	1
904	Alpujarra de la Sierra                                                                              	1999	1204	2	1018	782	780	774	6	2	155	423	1
905	Las Gabias                                                                                          	1999	7906	11	6424	4585	4555	4523	32	30	1635	2275	1
906	Los Guajares                                                                                        	1999	1361	3	1208	951	943	934	9	8	419	480	1
907	Valle del Zalabí                                                                                    	1999	2417	4	1941	1669	1659	1656	3	10	793	814	1
908	Villamena                                                                                           	1999	1010	2	838	699	696	689	7	3	198	422	1
909	Morelábor                                                                                           	1999	917	1	843	748	748	745	3	0	287	446	1
910	El Pinar                                                                                            	1999	1253	2	964	698	690	684	6	8	269	290	1
911	Vegas del Genil                                                                                     	1999	2758	4	2349	1747	1723	1707	16	24	578	993	1
912	Cuevas del Campo                                                                                    	1999	2256	3	1836	1292	1275	1259	16	17	284	780	1
913	Zagra                                                                                               	1999	1215	2	1025	792	785	772	13	7	510	212	0
1	AGRON                                                                                               	1994	451	1	357	249	247	247	0	2	79	143	1
2	ALAMEDILLA                                                                                          	1994	1021	1	747	505	504	497	7	1	167	306	1
3	ALBOLOTE                                                                                            	1994	10898	12	7773	5528	5505	5479	26	23	1682	2170	1
4	ALBONDON                                                                                            	1994	1352	2	1026	714	711	708	3	3	420	266	0
5	ALBUÑAN                                                                                             	1994	494	1	422	286	285	284	1	1	63	198	1
6	ALBUÑOL                                                                                             	1994	5442	6	4005	2921	2895	2885	10	26	1165	1377	1
7	ALBUÑUELAS                                                                                          	1994	1369	2	1087	776	770	764	6	6	177	487	1
10	ALDEIRE                                                                                             	1994	805	1	662	495	492	491	1	3	72	343	1
11	ALFACAR                                                                                             	1994	3834	3	2853	2090	2068	2057	11	22	772	830	1
12	ALGARINEJO                                                                                          	1994	5240	7	3561	2212	2189	2173	16	23	701	1350	1
13	ALHAMA DE GRANADA                                                                                   	1994	6070	5	4704	3435	3418	3395	23	17	1120	1609	1
14	ALHENDIN                                                                                            	1994	3839	4	2860	2087	2070	2059	11	17	878	886	1
15	ALICUN DE ORTEGA                                                                                    	1994	811	1	555	395	394	394	0	1	128	157	1
16	ALMEGIJAR                                                                                           	1994	449	1	380	275	275	274	1	0	125	130	1
17	ALMUÑECAR                                                                                           	1994	20708	17	14970	10706	10645	10606	39	61	4089	2936	0
18	ALQUIFE                                                                                             	1994	1113	1	882	694	693	693	0	1	194	277	1
20	ARENAS DEL REY                                                                                      	1994	2084	3	1698	1136	1131	1124	7	5	353	685	1
21	ARMILLA                                                                                             	1994	11660	10	8491	5512	5489	5452	37	23	2118	2088	0
22	ATARFE                                                                                              	1994	10289	9	7435	5287	5251	5212	39	36	1227	2365	1
23	BAZA                                                                                                	1994	21036	20	15903	9612	9521	9452	69	91	3462	4496	1
24	BEAS DE GRANADA                                                                                     	1994	936	1	731	557	554	543	11	3	190	200	1
25	BEAS DE GUADIX                                                                                      	1994	413	1	323	211	209	209	0	2	75	120	1
27	BENALUA DE GUADIX                                                                                   	1994	3435	3	2507	1847	1831	1825	6	16	325	847	1
28	BENALUA DE LAS VILLAS                                                                               	1994	1395	1	1145	945	942	938	4	3	406	487	1
29	BENAMAUREL                                                                                          	1994	2521	2	2036	1367	1353	1343	10	14	345	881	1
30	BERCHULES                                                                                           	1994	856	1	664	457	454	453	1	3	130	290	1
32	BUBION                                                                                              	1994	356	1	257	173	172	171	1	1	92	55	0
33	BUSQUISTAR                                                                                          	1994	454	1	313	188	186	186	0	2	35	140	1
34	CACIN                                                                                               	1994	890	2	740	540	538	538	0	2	161	208	1
35	CADIAR                                                                                              	1994	1967	3	1585	1140	1130	1128	2	10	550	491	0
36	CAJAR                                                                                               	1994	2389	2	1769	1322	1317	1301	16	5	643	396	0
37	CALICASAS                                                                                           	1994	603	1	452	383	381	381	0	2	209	141	0
38	CAMPOTEJAR                                                                                          	1994	1486	1	1141	925	920	914	6	5	242	469	1
39	CANILES                                                                                             	1994	5231	7	4042	2662	2639	2624	15	23	664	1786	1
40	CAÑAR                                                                                               	1994	337	1	270	145	145	144	1	0	68	61	0
42	CAPILEIRA                                                                                           	1994	570	1	431	298	297	297	0	1	126	139	1
43	CARATAUNAS                                                                                          	1994	219	1	150	95	95	93	2	0	32	48	1
44	CASTARAS                                                                                            	1994	340	1	288	159	159	158	1	0	53	94	1
45	CASTILLEJAR                                                                                         	1994	2190	3	1828	1148	1139	1138	1	9	332	740	1
46	CASTRIL                                                                                             	1994	3224	5	2492	1438	1423	1416	7	15	311	1010	1
47	CENES DE LA VEGA                                                                                    	1994	2798	2	2118	1481	1474	1459	15	7	511	602	1
48	CIJUELA                                                                                             	1994	1406	1	1107	840	836	832	4	4	230	422	1
49	COGOLLOS DE GUADIX                                                                                  	1994	807	1	641	474	469	466	3	5	123	291	1
50	COGOLLOS VEGA                                                                                       	1994	2023	2	1552	1189	1183	1173	10	6	436	466	1
51	COLOMERA                                                                                            	1994	1862	2	1446	1060	1050	1047	3	10	329	618	1
53	CORTES DE BAZA                                                                                      	1994	2946	4	2396	1459	1453	1447	6	6	354	954	1
54	CORTES Y GRAENA                                                                                     	1994	1015	1	811	595	592	590	2	3	271	290	1
56	CULLAR                                                                                              	1994	5478	7	4311	3306	3287	3276	11	19	1104	1691	1
57	CULLAR-VEGA                                                                                         	1994	1928	2	1485	1101	1096	1087	9	5	457	376	0
59	CHAUCHINA                                                                                           	1994	3891	4	3012	2297	2287	2273	14	10	591	1093	1
61	CHIMENEAS                                                                                           	1994	1573	2	1273	1012	1004	994	10	8	398	408	1
62	CHURRIANA DE LA VEGA                                                                                	1994	5860	5	4288	3140	3130	3113	17	10	1224	1291	1
63	DARRO                                                                                               	1994	1617	1	1201	806	802	801	1	4	275	475	1
64	DEHESAS DE GUADIX                                                                                   	1994	682	1	478	326	326	324	2	0	112	176	1
66	DEIFONTES                                                                                           	1994	2494	2	1917	1411	1405	1403	2	6	318	819	1
67	DIEZMA                                                                                              	1994	1040	1	798	640	640	639	1	0	269	340	1
68	DILAR                                                                                               	1994	1499	2	1210	866	858	853	5	8	267	434	1
69	DOLAR                                                                                               	1994	708	1	578	436	433	433	0	3	117	268	1
70	DUDAR                                                                                               	1994	259	1	203	153	153	153	0	0	40	81	1
71	DURCAL                                                                                              	1994	6007	6	4616	3443	3413	3390	23	30	881	1629	1
72	ESCUZAR                                                                                             	1994	967	1	768	496	494	492	2	2	139	300	1
74	FERREIRA                                                                                            	1994	423	1	355	272	270	269	1	2	103	154	1
76	FONELAS                                                                                             	1994	1399	1	977	597	593	591	2	4	142	380	1
78	FREILA                                                                                              	1994	1236	1	934	612	606	603	3	6	199	346	1
79	FUENTE VAQUEROS                                                                                     	1994	3928	3	2971	2307	2276	2259	17	31	486	1257	1
82	GALERA                                                                                              	1994	1624	1	1307	766	760	755	5	6	290	414	1
83	GOBERNADOR                                                                                          	1994	411	1	337	279	278	278	0	1	132	119	0
84	GOJAR                                                                                               	1994	2532	2	2008	1367	1360	1345	15	7	587	463	0
85	GOR                                                                                                 	1994	1291	1	1028	661	656	654	2	5	238	364	1
86	GORAFE                                                                                              	1994	617	1	468	361	360	357	3	1	95	241	1
87	GRANADA                                                                                             	1994	265371	224	206628	141970	141460	140000	1460	510	72340	37610	0
88	GUADAHORTUNA                                                                                        	1994	2462	2	1713	1336	1333	1331	2	3	401	459	1
89	GUADIX                                                                                              	1994	20468	18	14469	9635	9574	9520	54	61	3665	4394	1
93	GUALCHOS                                                                                            	1994	3021	3	2222	1724	1713	1710	3	11	724	868	1
94	GUEJAR-SIERRA                                                                                       	1994	2849	3	2185	1548	1534	1527	7	14	660	687	1
95	GUEVEJAR                                                                                            	1994	1323	1	991	817	813	807	6	4	295	423	1
96	HUELAGO                                                                                             	1994	696	1	517	376	376	376	0	0	146	218	1
97	HUENEJA                                                                                             	1994	1373	2	1112	740	729	725	4	11	290	335	1
98	HUESCAR                                                                                             	1994	10120	12	8534	4597	4551	4530	21	46	1522	2627	1
99	HUETOR-SANTILLAN                                                                                    	1994	1609	1	1231	960	957	950	7	3	384	367	0
100	HUETOR-TAJAR                                                                                        	1994	7800	7	6118	4388	4360	4340	20	28	1276	1936	1
101	HUETOR-VEGA                                                                                         	1994	6964	6	5176	3442	3417	3379	38	25	1179	1251	1
102	ILLORA                                                                                              	1994	10864	12	8198	6180	6129	6104	25	51	1696	2781	1
103	ITRABO                                                                                              	1994	1098	1	875	700	700	699	1	0	321	347	1
105	IZNALLOZ                                                                                            	1994	6783	6	4892	3729	3707	3685	22	22	821	1917	1
107	JAYENA                                                                                              	1994	1530	1	1166	813	811	808	3	2	242	506	1
108	JEREZ DEL MARQUESADO                                                                                	1994	1231	1	1003	758	749	743	6	9	236	436	1
109	JETE                                                                                                	1994	739	1	590	499	497	497	0	2	252	232	0
111	JUN                                                                                                 	1994	1266	1	932	646	645	640	5	1	198	327	1
112	JUVILES                                                                                             	1994	217	1	156	100	100	100	0	0	53	38	0
114	CALAHORRA (LA)                                                                                      	1994	1036	1	817	530	528	525	3	2	115	332	1
115	LACHAR                                                                                              	1994	2352	2	1813	1314	1294	1290	4	20	394	659	1
116	LANJARON                                                                                            	1994	4039	4	3311	2306	2282	2263	19	24	827	1061	1
117	LANTEIRA                                                                                            	1994	712	1	592	462	460	458	2	2	206	208	1
119	LECRIN                                                                                              	1994	2429	5	2025	1585	1578	1573	5	7	533	866	1
120	LENTEJI                                                                                             	1994	382	1	288	214	212	212	0	2	27	176	1
121	LOBRAS                                                                                              	1994	221	1	189	114	111	111	0	3	45	49	1
122	LOJA                                                                                                	1994	21357	29	15316	10797	10676	10608	68	121	3745	5174	1
123	LUGROS                                                                                              	1994	461	1	385	245	243	243	0	2	62	177	1
124	LUJAR                                                                                               	1994	624	1	454	336	336	336	0	0	177	142	0
126	MALAHA (LA)                                                                                         	1994	1626	1	1253	990	988	979	9	2	135	359	1
127	MARACENA                                                                                            	1994	13489	16	10061	7065	7017	6976	41	48	1850	2709	1
128	MARCHAL                                                                                             	1994	472	1	374	283	282	281	1	1	139	122	0
132	MOCLIN                                                                                              	1994	4800	6	3652	2913	2900	2891	9	13	504	1707	1
133	MOLVIZAR                                                                                            	1994	2594	2	2122	1779	1774	1772	2	5	923	742	0
134	MONACHIL                                                                                            	1994	4741	4	3510	2156	2147	2126	21	9	818	700	0
135	MONTEFRIO                                                                                           	1994	8202	7	5827	3819	3778	3757	21	41	1049	2249	1
136	MONTEJICAR                                                                                          	1994	3011	3	2145	1704	1692	1687	5	12	530	853	1
137	MONTILLANA                                                                                          	1994	1402	1	1135	892	884	879	5	8	478	379	0
138	MORALEDA DE ZAFAYONA                                                                                	1994	2624	3	2046	1381	1367	1358	9	14	291	590	1
140	MOTRIL                                                                                              	1994	47911	41	35232	23080	22908	22769	139	172	8556	9087	1
141	MURTAS                                                                                              	1994	1127	1	850	476	475	475	0	1	296	153	0
143	NIGUELAS                                                                                            	1994	1205	1	966	725	719	717	2	6	165	386	1
144	NIVAR                                                                                               	1994	580	1	479	353	349	347	2	4	170	130	0
145	OGIJARES                                                                                            	1994	5665	4	4182	2852	2830	2813	17	22	1171	886	0
146	ORCE                                                                                                	1994	1498	2	1244	859	855	853	2	4	215	563	1
147	ORGIVA                                                                                              	1994	5242	5	3824	2455	2440	2426	14	15	813	1269	1
148	OTIVAR                                                                                              	1994	1164	1	894	705	701	701	0	4	301	350	1
149	OTURA                                                                                               	1994	2967	2	2305	1740	1729	1708	21	11	731	712	0
150	PADUL                                                                                               	1994	6348	5	4798	3532	3505	3484	21	27	1153	1495	1
151	PAMPANEIRA                                                                                          	1994	350	1	266	182	182	181	1	0	55	100	1
152	PEDRO-MARTINEZ                                                                                      	1994	1533	2	1310	935	933	931	2	2	170	676	1
153	PELIGROS                                                                                            	1994	6717	5	4849	3513	3503	3479	24	10	1175	1196	1
154	PEZA (LA)                                                                                           	1994	1572	1	1231	844	840	837	3	4	384	409	1
157	PINOS-GENIL                                                                                         	1994	1096	1	811	665	660	653	7	5	283	295	1
158	PINOS-PUENTE                                                                                        	1994	13545	12	10003	7195	7151	7121	30	44	1523	3637	1
159	PIÑAR                                                                                               	1994	1537	2	1124	929	928	924	4	1	180	429	1
161	POLICAR                                                                                             	1994	258	1	213	181	181	180	1	0	47	106	1
162	POLOPOS                                                                                             	1994	1204	3	957	734	730	725	5	4	239	437	1
163	PORTUGOS                                                                                            	1994	466	1	387	310	310	308	2	0	140	152	1
164	PUEBLA DE DON FADRIQUE                                                                              	1994	2672	3	2099	1433	1415	1409	6	18	629	675	1
165	PULIANAS                                                                                            	1994	2705	2	2029	1461	1452	1448	4	9	447	760	1
167	PURULLENA                                                                                           	1994	2595	3	1852	1318	1314	1310	4	4	416	728	1
168	QUENTAR                                                                                             	1994	1126	1	856	613	603	599	4	10	292	209	0
170	RUBITE                                                                                              	1994	431	1	350	233	233	229	4	0	60	130	1
171	SALAR                                                                                               	1994	2817	3	2156	1750	1738	1730	8	12	389	716	1
173	SALOBREÑA                                                                                           	1994	9832	8	7067	4813	4790	4770	20	23	1446	2329	1
174	SANTA CRUZ DEL COMERCIO                                                                             	1994	594	1	465	355	351	349	2	4	125	189	1
175	SANTA FE                                                                                            	1994	12459	12	9226	6824	6790	6730	60	34	2129	3469	1
176	SOPORTUJAR                                                                                          	1994	274	1	236	161	161	160	1	0	28	103	1
177	SORVILAN                                                                                            	1994	954	2	659	434	433	431	2	1	193	209	1
