"Tipo de elección.","Año del proceso electoral.","Mes del proceso electoral.","Número de vuelta (en procesos a una sola vuelta = 1) o Número de pregunta en Referéndum.","Código de la Comunidad Autónoma o 99 si se trata del Total Nacional del C.E.R.A.","Código I.N.E. de la provincia o 99 si se trata del Total Nacional o Autonómico del C.E.R.A.","Municipio","Código de la sección (tres dígitos seguidos de un espacio, letra mayúscula u otro dígito).","Código de la mesa (una letra mayúscula identificando la mesa o una ‘U’ en caso de mesa única).","Censo del I.N.E.","Censo de escrutinio o censo C.E.R.A.","Censo C.E.R.E. en escrutinio (Residentes Extranjeros).","Total votantes C.E.R.E. (Residentes Extranjeros).","Votantes del primer avance de participación.","Votantes del segundo avance de participación.","Votos en blanco.","Votos nulos.","Votos a candidaturas.","Votos afirmativos en Referéndum o ceros en otros procesos electorales.","Votos negativos en Referéndum o ceros en otros procesos electorales.","Datos oficiales (Si/No)."
07,1987,06,1,01,18,ALFACAR,01,0001,A,0001374,0001374,0000000,0000000,0000000,0000000,0000005,0000002,0001093,0000000,0000000,N
07,1987,06,1,01,18,ALGARINEJO,01,0004,B,0000331,0000331,0000000,0000000,0000000,0000000,0000007,0000005,0000216,0000000,0000000,N
07,1987,06,1,01,18,ALGARINEJO,01,0005,A,0000396,0000396,0000000,0000000,0000000,0000000,0000000,0000000,0000185,0000000,0000000,N
07,1987,06,1,01,18,ALHAMA DE GRANADA,01,0005,A,0000762,0000762,0000000,0000000,0000000,0000000,0000004,0000005,0000561,0000000,0000000,N
07,1987,06,1,01,18,ALMUÑÉCAR,01,0001,A,0001025,0001025,0000000,0000000,0000000,0000000,0000001,0000014,0000772,0000000,0000000,N
07,1987,06,1,01,18,ATARFE,02,0002,A,0000851,0000851,0000000,0000000,0000000,0000000,0000002,0000006,0000626,0000000,0000000,N
07,1987,06,1,01,18,BAZA,01,0003,A,0001655,0001655,0000000,0000000,0000000,0000000,0000011,0000008,0000907,0000000,0000000,N
07,1987,06,1,01,18,BEAS DE GUADIX,01,0001,A,0000341,0000341,0000000,0000000,0000000,0000000,0000000,0000002,0000194,0000000,0000000,N
07,1987,06,1,01,18,CANILES,01,0001,A,0000939,0000939,0000000,0000000,0000000,0000000,0000005,0000003,0000551,0000000,0000000,N
07,1987,06,1,01,18,ALBUÑOL,01,0001,A,0000491,0000491,0000000,0000000,0000000,0000000,0000000,0000008,0000315,0000000,0000000,N
