"Tipo de elección.","Año del proceso electoral.","Mes del proceso electoral.","Número de vuelta (en procesos a una sola vuelta = 1) o Número de pregunta en Referéndum.","Código de la Comunidad Autónoma o 99 si se trata del Total Nacional del C.E.R.A.","Código I.N.E. de la provincia o 99 si se trata del Total Nacional o Autonómico del C.E.R.A.","Municipio","Código de la sección (tres dígitos seguidos de un espacio, letra mayúscula u otro dígito).","Código de la mesa (una letra mayúscula identificando la mesa o una ‘U’ en caso de mesa única).","Censo del I.N.E.","Censo de escrutinio o censo C.E.R.A.","Censo C.E.R.E. en escrutinio (Residentes Extranjeros).","Total votantes C.E.R.E. (Residentes Extranjeros).","Votantes del primer avance de participación.","Votantes del segundo avance de participación.","Votos en blanco.","Votos nulos.","Votos a candidaturas.","Votos afirmativos en Referéndum o ceros en otros procesos electorales.","Votos negativos en Referéndum o ceros en otros procesos electorales.","Datos oficiales (Si/No)."
07,1999,06,1,01,18,CÁJAR,01,002 ,B,0000626,0000627,0000000,0000000,0000274,0000382,0000011,0000001,0000469,0000000,0000000,N
07,1999,06,1,01,18,COGOLLOS DE LA VEGA,01,001 ,U,0000694,0000694,0000000,0000000,0000281,0000436,0000004,0000004,0000478,0000000,0000000,N
07,1999,06,1,01,18,CÚLLAR,01,001 ,B,0000627,0000627,0000000,0000000,0000302,0000407,0000008,0000002,0000470,0000000,0000000,N
07,1999,06,1,01,18,CHIMENEAS,01,001 ,A,0000955,0000955,0000000,0000000,0000375,0000600,0000002,0000008,0000772,0000000,0000000,N
07,1999,06,1,01,18,DÚRCAL,01,002 ,C,0000660,0000660,0000000,0000000,0000255,0000354,0000001,0000015,0000453,0000000,0000000,N
07,1999,06,1,01,18,GOBERNADOR,01,001 ,U,0000349,0000349,0000000,0000000,0000173,0000253,0000003,0000003,0000282,0000000,0000000,N
07,1999,06,1,01,18,GÓJAR,01,002 ,A,0000449,0000449,0000000,0000000,0000203,0000260,0000005,0000001,0000307,0000000,0000000,N
07,1999,06,1,01,18,GRANADA,01,017 ,U,0000709,0000709,0000000,0000000,0000275,0000358,0000006,0000000,0000453,0000000,0000000,N
07,1999,06,1,01,18,GRANADA,02,011 ,U,0000971,0000971,0000000,0000000,0000325,0000442,0000011,0000002,0000546,0000000,0000000,N
07,1999,06,1,01,18,GRANADA,02,021 ,U,0000715,0000715,0000000,0000000,0000273,0000341,0000010,0000002,0000404,0000000,0000000,N
07,1999,06,1,01,18,ALFACAR,01,002 ,B,0000807,0000807,0000000,0000000,0000353,0000452,0000007,0000001,0000535,0000000,0000000,N
07,1999,06,1,01,18,ALGARINEJO,01,004 ,A,0000511,0000511,0000000,0000000,0000222,0000272,0000002,0000002,0000340,0000000,0000000,N
07,1999,06,1,01,18,ALGARINEJO,01,005 ,B,0000387,0000387,0000000,0000000,0000123,0000187,0000000,0000000,0000249,0000000,0000000,N
07,1999,06,1,01,18,ALHAMA DE GRANADA,01,002 ,U,0000879,0000879,0000000,0000000,0000367,0000503,0000008,0000008,0000633,0000000,0000000,N
07,1999,06,1,01,18,ALMUÑÉCAR,01,003 ,C,0000533,0000533,0000000,0000000,0000222,0000315,0000001,0000004,0000375,0000000,0000000,N
07,1999,06,1,01,18,ARENAS DEL REY,01,001 ,A,0000644,0000644,0000000,0000000,0000218,0000331,0000000,0000007,0000401,0000000,0000000,N
07,1999,06,1,01,18,ARMILLA,01,007 ,B,0000637,0000637,0000000,0000000,0000194,0000260,0000000,0000006,0000289,0000000,0000000,N
07,1999,06,1,01,18,ARMILLA,01,008 ,A,0000487,0000487,0000000,0000000,0000179,0000252,0000002,0000001,0000298,0000000,0000000,N
07,1999,06,1,01,18,BAZA,01,001 ,A,0000669,0000683,0000000,0000000,0000176,0000232,0000008,0000015,0000301,0000000,0000000,N
07,1999,06,1,01,18,BAZA,01,006 ,U,0000550,0000550,0000000,0000000,0000126,0000177,0000001,0000006,0000244,0000000,0000000,N
07,1999,06,1,01,18,BAZA,02,004 ,B,0000962,0000962,0000000,0000000,0000308,0000431,0000006,0000002,0000541,0000000,0000000,N
07,1999,06,1,01,18,CÁJAR,01,001 ,B,0000675,0000675,0000000,0000000,0000323,0000427,0000009,0000001,0000500,0000000,0000000,N
07,1999,06,1,01,18,CAMPOTÉJAR,01,001 ,A,0000568,0000568,0000000,0000000,0000286,0000379,0000007,0000001,0000487,0000000,0000000,N
07,1999,06,1,01,18,CANILES,01,004 ,U,0000821,0000821,0000000,0000000,0000303,0000455,0000004,0000003,0000580,0000000,0000000,N
07,1999,06,1,01,18,CORTES DE BAZA,01,001 ,B,0000662,0000662,0000000,0000000,0000205,0000287,0000001,0000008,0000354,0000000,0000000,N
07,1999,06,1,01,18,DIEZMA,01,001 ,U,0000792,0000793,0000000,0000000,0000305,0000475,0000004,0000004,0000625,0000000,0000000,N
07,1999,06,1,01,18,DÚRCAL,01,002 ,B,0000601,0000601,0000000,0000000,0000249,0000356,0000002,0000016,0000434,0000000,0000000,N
07,1999,06,1,01,18,FUENTE VAQUEROS,01,001 ,B,0000803,0000803,0000000,0000000,0000363,0000527,0000003,0000009,0000636,0000000,0000000,N
07,1999,06,1,01,18,CORTES DE BAZA,01,002 ,A,0000354,0000354,0000000,0000000,0000059,0000132,0000000,0000002,0000208,0000000,0000000,N
07,1999,06,1,01,18,CHAUCHINA,01,002 ,B,0000828,0000828,0000000,0000000,0000310,0000422,0000001,0000002,0000551,0000000,0000000,N
07,1999,06,1,01,18,CHIMENEAS,01,001 ,B,0000379,0000379,0000000,0000000,0000161,0000221,0000001,0000006,0000289,0000000,0000000,N
07,1999,06,1,01,18,DÍLAR,01,001 ,B,0000567,0000567,0000000,0000000,0000284,0000393,0000005,0000001,0000434,0000000,0000000,N
07,1999,06,1,01,18,DÚRCAL,01,002 ,A,0000481,0000481,0000000,0000000,0000178,0000260,0000001,0000010,0000325,0000000,0000000,N
07,1999,06,1,01,18,GALERA,01,001 ,A,0000529,0000529,0000000,0000000,0000210,0000284,0000004,0000008,0000345,0000000,0000000,N
07,1999,06,1,01,18,GALERA,01,001 ,B,0000688,0000688,0000000,0000000,0000261,0000371,0000007,0000006,0000474,0000000,0000000,N
07,1999,06,1,01,18,GOR,01,001 ,A,0000455,0000455,0000000,0000000,0000149,0000245,0000005,0000003,0000314,0000000,0000000,N
07,1999,06,1,01,18,GRANADA,01,003 ,U,0000697,0000697,0000000,0000000,0000278,0000371,0000005,0000001,0000448,0000000,0000000,N
07,1999,06,1,01,18,GRANADA,01,016 ,U,0000838,0000838,0000000,0000000,0000282,0000412,0000010,0000001,0000495,0000000,0000000,N
07,1999,06,1,01,18,GRANADA,01,019 ,B,0000698,0000698,0000000,0000000,0000275,0000340,0000003,0000000,0000427,0000000,0000000,N
07,1999,06,1,01,18,GRANADA,02,018 ,A,0000625,0000625,0000000,0000000,0000256,0000322,0000001,0000001,0000384,0000000,0000000,N
07,1999,06,1,01,18,GRANADA,02,019 ,A,0000593,0000593,0000000,0000000,0000207,0000261,0000003,0000000,0000317,0000000,0000000,N
07,1999,06,1,01,18,GRANADA,02,022 ,A,0000450,0000450,0000000,0000000,0000203,0000250,0000010,0000001,0000293,0000000,0000000,N
07,1999,06,1,01,18,GRANADA,02,026 ,U,0000665,0000665,0000000,0000000,0000241,0000314,0000005,0000005,0000376,0000000,0000000,N
07,1999,06,1,01,18,GRANADA,02,039 ,U,0001025,0001025,0000000,0000000,0000380,0000436,0000012,0000001,0000610,0000000,0000000,N
07,1999,06,1,01,18,GRANADA,02,045 ,A,0000569,0000569,0000000,0000000,0000199,0000265,0000005,0000000,0000317,0000000,0000000,N
07,1999,06,1,01,18,GRANADA,02,046 ,B,0000612,0000612,0000000,0000000,0000189,0000275,0000010,0000000,0000376,0000000,0000000,N
07,1999,06,1,01,18,GRANADA,02,048 ,A,0000544,0000544,0000000,0000000,0000188,0000253,0000003,0000001,0000326,0000000,0000000,N
07,1999,06,1,01,18,AGRÓN,01,001 ,U,0000362,0000362,0000000,0000000,0000161,0000239,0000003,0000000,0000282,0000000,0000000,N
07,1999,06,1,01,18,ALBOLOTE,01,006 ,B,0000674,0000674,0000000,0000000,0000237,0000315,0000008,0000005,0000402,0000000,0000000,N
07,1999,06,1,01,18,ALBONDÓN,01,001 ,B,0000593,0000593,0000000,0000000,0000194,0000298,0000008,0000003,0000383,0000000,0000000,N
07,1999,06,1,01,18,ALGARINEJO,01,001 ,U,0000997,0000997,0000000,0000000,0000403,0000567,0000007,0000004,0000722,0000000,0000000,N
07,1999,06,1,01,18,ALMUÑÉCAR,01,001 ,A,0000479,0000479,0000000,0000000,0000218,0000302,0000003,0000001,0000368,0000000,0000000,N
07,1999,06,1,01,18,ALMUÑÉCAR,01,006 ,C,0000275,0000275,0000000,0000000,0000119,0000158,0000000,0000003,0000199,0000000,0000000,N
07,1999,06,1,01,18,ALMUÑÉCAR,01,007 ,A,0000694,0000694,0000000,0000000,0000287,0000424,0000008,0000000,0000502,0000000,0000000,N
07,1999,06,1,01,18,ALMUÑÉCAR,02,001 ,A,0000519,0000519,0000000,0000000,0000265,0000350,0000006,0000004,0000391,0000000,0000000,N
07,1999,06,1,01,18,ALBUÑÁN,01,001 ,U,0000437,0000437,0000000,0000000,0000195,0000292,0000002,0000002,0000326,0000000,0000000,N
07,1999,06,1,01,18,ALBUÑOL,01,002 ,U,0000767,0000767,0000000,0000000,0000253,0000365,0000004,0000004,0000532,0000000,0000000,N
07,1999,06,1,01,18,ALHAMA DE GRANADA,01,001 ,U,0000817,0000817,0000000,0000000,0000300,0000426,0000006,0000012,0000569,0000000,0000000,N
07,1999,06,1,01,18,ALHAMA DE GRANADA,01,003 ,U,0000834,0000834,0000000,0000000,0000383,0000476,0000004,0000014,0000587,0000000,0000000,N
07,1999,06,1,01,18,ALMUÑÉCAR,01,002 ,A,0000633,0000633,0000000,0000000,0000260,0000370,0000001,0000008,0000453,0000000,0000000,N
07,1999,06,1,01,18,ALBUÑOL,02,001 ,B,0000654,0000654,0000000,0000000,0000266,0000400,0000001,0000001,0000513,0000000,0000000,N
07,1999,06,1,01,18,ALFACAR,01,001 ,C,0000752,0000756,0000000,0000000,0000298,0000441,0000004,0000002,0000545,0000000,0000000,N
07,1999,06,1,01,18,ALMUÑÉCAR,01,009 ,A,0000659,0000659,0000000,0000000,0000284,0000375,0000000,0000005,0000469,0000000,0000000,N
07,1999,06,1,01,18,ALQUIFE,01,001 ,U,0000771,0000771,0000000,0000000,0000343,0000501,0000003,0000004,0000630,0000000,0000000,N
07,1999,06,1,01,18,BAZA,02,002 ,B,0001087,0001087,0000000,0000000,0000371,0000596,0000004,0000002,0000760,0000000,0000000,N
07,1999,06,1,01,18,BAZA,02,003 ,B,0000898,0000898,0000000,0000000,0000207,0000307,0000001,0000005,0000377,0000000,0000000,N
07,1999,06,1,01,18,BENALÚA,01,001 ,A,0000530,0000530,0000000,0000000,0000179,0000276,0000003,0000000,0000350,0000000,0000000,N
07,1999,06,1,01,18,BENALÚA,01,002 ,B,0000840,0000840,0000000,0000000,0000370,0000520,0000012,0000006,0000619,0000000,0000000,N
07,1999,06,1,01,18,BUSQUÍSTAR,01,001 ,U,0000319,0000319,0000000,0000000,0000102,0000198,0000004,0000002,0000244,0000000,0000000,N
07,1999,06,1,01,18,CALICASAS,01,001 ,U,0000467,0000467,0000000,0000000,0000250,0000309,0000002,0000003,0000408,0000000,0000000,N
07,1999,06,1,01,18,CANILES,01,001 ,U,0000951,0000951,0000000,0000000,0000287,0000511,0000003,0000003,0000652,0000000,0000000,N
07,1999,06,1,01,18,COGOLLOS DE LA VEGA,01,002 ,U,0000911,0000911,0000000,0000000,0000360,0000542,0000003,0000002,0000676,0000000,0000000,N
07,1999,06,1,01,18,CHAUCHINA,01,001 ,A,0000656,0000656,0000000,0000000,0000297,0000424,0000005,0000006,0000497,0000000,0000000,N
07,1999,06,1,01,18,DEHESAS DE GUADIX,01,001 ,U,0000506,0000506,0000000,0000000,0000192,0000326,0000001,0000002,0000377,0000000,0000000,N
07,1999,06,1,01,18,FUENTE VAQUEROS,01,002 ,U,0000856,0000856,0000000,0000000,0000383,0000512,0000003,0000003,0000660,0000000,0000000,N
07,1999,06,1,01,18,GÓJAR,01,001 ,B,0000512,0000512,0000000,0000000,0000214,0000316,0000001,0000004,0000388,0000000,0000000,N
07,1999,06,1,01,18,GRANADA,01,009 ,A,0000693,0000693,0000000,0000000,0000282,0000367,0000013,0000004,0000424,0000000,0000000,N
07,1999,06,1,01,18,ALFACAR,01,001 ,B,0000592,0000594,0000000,0000000,0000266,0000344,0000004,0000006,0000435,0000000,0000000,N
07,1999,06,1,01,18,ALHENDÍN,01,001 ,A,0000636,0000636,0000000,0000000,0000250,0000357,0000005,0000001,0000464,0000000,0000000,N
07,1999,06,1,01,18,ALMUÑÉCAR,01,007 ,B,0000727,0000727,0000000,0000000,0000279,0000406,0000002,0000005,0000506,0000000,0000000,N
07,1999,06,1,01,18,ARMILLA,01,008 ,B,0000696,0000696,0000000,0000000,0000257,0000330,0000002,0000005,0000411,0000000,0000000,N
07,1999,06,1,01,18,BAZA,01,005 ,U,0001056,0001056,0000000,0000000,0000354,0000524,0000005,0000002,0000638,0000000,0000000,N
07,1999,06,1,01,18,BEAS DE GUADIX,01,001 ,U,0000346,0000346,0000000,0000000,0000191,0000221,0000002,0000000,0000267,0000000,0000000,N
07,1999,06,1,01,18,BENALÚA,01,001 ,B,0000589,0000589,0000000,0000000,0000226,0000344,0000005,0000000,0000443,0000000,0000000,N
07,1999,06,1,01,18,CÁDIAR,01,001 ,A,0000574,0000574,0000000,0000000,0000242,0000362,0000005,0000003,0000473,0000000,0000000,N
07,1999,06,1,01,18,CÁDIAR,01,001 ,B,0000844,0000844,0000000,0000000,0000370,0000536,0000004,0000003,0000686,0000000,0000000,N
07,1999,06,1,01,18,CASTRIL,02,002 ,B,0000349,0000349,0000000,0000000,0000070,0000140,0000001,0000002,0000179,0000000,0000000,N
07,1999,06,1,01,18,CIJUELA,01,001 ,A,0000500,0000500,0000000,0000000,0000275,0000341,0000000,0000004,0000407,0000000,0000000,N
07,1999,06,1,01,18,CÚLLAR,01,003 ,C,0000266,0000266,0000000,0000000,0000074,0000151,0000000,0000003,0000198,0000000,0000000,N
07,1999,06,1,01,18,DEIFONTES,01,002 ,U,0000636,0000636,0000000,0000000,0000265,0000330,0000000,0000002,0000403,0000000,0000000,N
07,1999,06,1,01,18,ESCÚZAR,01,001 ,U,0000754,0000754,0000000,0000000,0000372,0000448,0000003,0000001,0000529,0000000,0000000,N
07,1999,06,1,01,18,GÓJAR,01,001 ,C,0000472,0000472,0000000,0000000,0000211,0000287,0000003,0000007,0000338,0000000,0000000,N
07,1999,06,1,01,18,GRANADA,01,004 ,B,0000624,0000625,0000000,0000000,0000256,0000341,0000003,0000001,0000397,0000000,0000000,N
07,1999,06,1,01,18,GRANADA,01,013 ,A,0000554,0000554,0000000,0000000,0000198,0000279,0000013,0000001,0000354,0000000,0000000,N
07,1999,06,1,01,18,GRANADA,01,020 ,U,0000821,0000821,0000000,0000000,0000299,0000414,0000009,0000009,0000506,0000000,0000000,N
07,1999,06,1,01,18,GRANADA,02,023 ,B,0000613,0000613,0000000,0000000,0000231,0000296,0000009,0000000,0000358,0000000,0000000,N
07,1999,06,1,01,18,ALGARINEJO,01,005 ,A,0000249,0000250,0000000,0000000,0000077,0000095,0000001,0000000,0000124,0000000,0000000,N
07,1999,06,1,01,18,ALMUÑÉCAR,03,001 ,A,0000503,0000503,0000000,0000000,0000185,0000295,0000003,0000001,0000382,0000000,0000000,N
07,1999,06,1,01,18,ARMILLA,01,006 ,A,0000584,0000584,0000000,0000000,0000216,0000306,0000006,0000004,0000388,0000000,0000000,N
07,1999,06,1,01,18,ALHENDÍN,01,001 ,B,0000385,0000385,0000000,0000000,0000178,0000248,0000005,0000002,0000298,0000000,0000000,N
07,1999,06,1,01,18,ALMUÑÉCAR,01,003 ,B,0000532,0000532,0000000,0000000,0000244,0000340,0000001,0000006,0000396,0000000,0000000,N
07,1999,06,1,01,18,ALMUÑÉCAR,01,004 ,A,0000698,0000698,0000000,0000000,0000320,0000431,0000006,0000003,0000520,0000000,0000000,N
07,1999,06,1,01,18,ALMUÑÉCAR,01,009 ,B,0000802,0000802,0000000,0000000,0000354,0000469,0000001,0000003,0000572,0000000,0000000,N
07,1999,06,1,01,18,ALMUÑÉCAR,01,010 ,U,0001088,0001088,0000000,0000000,0000403,0000566,0000003,0000008,0000702,0000000,0000000,N
07,1999,06,1,01,18,ALMUÑÉCAR,02,002 ,U,0000886,0000886,0000000,0000000,0000396,0000575,0000004,0000008,0000717,0000000,0000000,N
07,1999,06,1,01,18,ARMILLA,01,005 ,B,0000549,0000549,0000000,0000000,0000189,0000255,0000004,0000001,0000326,0000000,0000000,N
07,1999,06,1,01,18,GRANADA,03,002 ,B,0000803,0000803,0000000,0000000,0000287,0000380,0000009,0000006,0000472,0000000,0000000,N
07,1999,06,1,01,18,GRANADA,03,003 ,B,0000809,0000809,0000000,0000000,0000336,0000430,0000005,0000006,0000528,0000000,0000000,N
07,1999,06,1,01,18,GRANADA,03,008 ,B,0000763,0000763,0000000,0000000,0000295,0000413,0000008,0000001,0000487,0000000,0000000,N
07,1999,06,1,01,18,GRANADA,03,009 ,B,0000443,0000443,0000000,0000000,0000147,0000186,0000004,0000001,0000242,0000000,0000000,N
07,1999,06,1,01,18,GRANADA,03,025 ,A,0000669,0000669,0000000,0000000,0000245,0000326,0000005,0000000,0000405,0000000,0000000,N
07,1999,06,1,01,18,GRANADA,03,026 ,B,0000825,0000825,0000000,0000000,0000270,0000365,0000001,0000005,0000459,0000000,0000000,N
07,1999,06,1,01,18,GRANADA,03,036 ,B,0000727,0000727,0000000,0000000,0000236,0000358,0000016,0000003,0000442,0000000,0000000,N
07,1999,06,1,01,18,GRANADA,05,002 ,U,0000807,0000807,0000000,0000000,0000266,0000347,0000010,0000002,0000428,0000000,0000000,N
07,1999,06,1,01,18,GRANADA,06,021 ,B,0000927,0000927,0000000,0000000,0000341,0000439,0000012,0000000,0000552,0000000,0000000,N
07,1999,06,1,01,18,GRANADA,06,024 ,A,0000268,0000268,0000000,0000000,0000110,0000131,0000010,0000000,0000161,0000000,0000000,N
