"Tipo de elección.","Año del proceso electoral.","Mes del proceso electoral.","Número de vuelta (en procesos a una sola vuelta = 1) o Número de pregunta en Referéndum.","Código de la Comunidad Autónoma o 99 si se trata del Total Nacional del C.E.R.A.","Código I.N.E. de la provincia o 99 si se trata del Total Nacional o Autonómico del C.E.R.A.","Municipio","Código de la sección (tres dígitos seguidos de un espacio, letra mayúscula u otro dígito).","Código de la mesa (una letra mayúscula identificando la mesa o una ‘U’ en caso de mesa única).","Censo del I.N.E.","Censo de escrutinio o censo C.E.R.A.","Censo C.E.R.E. en escrutinio (Residentes Extranjeros).","Total votantes C.E.R.E. (Residentes Extranjeros).","Votantes del primer avance de participación.","Votantes del segundo avance de participación.","Votos en blanco.","Votos nulos.","Votos a candidaturas.","Votos afirmativos en Referéndum o ceros en otros procesos electorales.","Votos negativos en Referéndum o ceros en otros procesos electorales.","Datos oficiales (Si/No)."
07,1999,06,1,01,18,ALBOLOTE,01,002 ,C,0000709,0000709,0000000,0000000,0000269,0000364,0000008,0000002,0000460,0000000,0000000,N
07,1999,06,1,01,18,ALICÚN DE ORTEGA,01,001 ,U,0000601,0000601,0000000,0000000,0000360,0000367,0000001,0000001,0000439,0000000,0000000,N
07,1999,06,1,01,18,ALMUÑÉCAR,01,005 ,B,0000710,0000717,0000000,0000000,0000252,0000402,0000006,0000009,0000498,0000000,0000000,N
07,1999,06,1,01,18,BAZA,01,003 ,A,0000575,0000575,0000000,0000000,0000209,0000269,0000002,0000003,0000341,0000000,0000000,N
07,1999,06,1,01,18,BAZA,02,002 ,C,0000255,0000255,0000000,0000000,0000053,0000075,0000001,0000003,0000114,0000000,0000000,N
07,1999,06,1,01,18,BAZA,02,005 ,B,0001026,0001026,0000000,0000000,0000338,0000481,0000005,0000007,0000641,0000000,0000000,N
07,1999,06,1,01,18,BAZA,03,002 ,U,0001089,0001089,0000000,0000000,0000182,0000310,0000001,0000001,0000468,0000000,0000000,N
07,1999,06,1,01,18,BUBIÓN,01,001 ,U,0000283,0000283,0000000,0000000,0000102,0000150,0000001,0000000,0000207,0000000,0000000,N
07,1999,06,1,01,18,CACÍN,01,001 ,A,0000372,0000372,0000000,0000000,0000156,0000231,0000002,0000000,0000300,0000000,0000000,N
07,1999,06,1,01,18,CANILES,01,002 ,U,0001005,0001005,0000000,0000000,0000268,0000442,0000001,0000001,0000628,0000000,0000000,N
07,1999,06,1,01,18,CANILES,02,001 ,B,0000308,0000308,0000000,0000000,0000052,0000104,0000001,0000000,0000154,0000000,0000000,N
07,1999,06,1,01,18,ALBUÑOL,03,001 ,U,0000575,0000575,0000000,0000000,0000167,0000296,0000000,0000001,0000380,0000000,0000000,N
07,1999,06,1,01,18,ALBOLOTE,01,001 ,B,0000686,0000686,0000000,0000000,0000240,0000337,0000009,0000006,0000436,0000000,0000000,N
07,1999,06,1,01,18,ALBOLOTE,01,004 ,C,0000750,0000750,0000000,0000000,0000278,0000365,0000005,0000001,0000509,0000000,0000000,N
07,1999,06,1,01,18,ALHAMA DE GRANADA,01,004 ,A,0000504,0000504,0000000,0000000,0000209,0000300,0000004,0000002,0000384,0000000,0000000,N
07,1999,06,1,01,18,ALHAMA DE GRANADA,01,005 ,U,0000800,0000800,0000000,0000000,0000194,0000447,0000003,0000001,0000560,0000000,0000000,N
07,1999,06,1,01,18,ARENAS DEL REY,01,001 ,B,0000447,0000447,0000000,0000000,0000128,0000235,0000000,0000003,0000369,0000000,0000000,N
07,1999,06,1,01,18,BAZA,02,002 ,A,0000544,0000544,0000000,0000000,0000186,0000290,0000002,0000002,0000357,0000000,0000000,N
07,1999,06,1,01,18,CASTILLÉJAR,01,001 ,B,0000738,0000738,0000000,0000000,0000282,0000377,0000003,0000002,0000427,0000000,0000000,N
07,1999,06,1,01,18,CORTES DE BAZA,01,002 ,B,0000277,0000277,0000000,0000000,0000071,0000143,0000000,0000003,0000204,0000000,0000000,N
07,1999,06,1,01,18,CÚLLAR,01,003 ,B,0000626,0000626,0000000,0000000,0000257,0000362,0000007,0000004,0000453,0000000,0000000,N
07,1999,06,1,01,18,CHURRIANA DE LA VEGA,01,004 ,A,0000480,0000480,0000000,0000000,0000197,0000309,0000005,0000004,0000357,0000000,0000000,N
07,1999,06,1,01,18,GRANADA,01,001 ,B,0000835,0000835,0000000,0000000,0000327,0000425,0000008,0000008,0000520,0000000,0000000,N
07,1999,06,1,01,18,GRANADA,01,019 ,A,0000544,0000546,0000000,0000000,0000198,0000242,0000001,0000002,0000309,0000000,0000000,N
07,1999,06,1,01,18,GRANADA,02,012 ,B,0000667,0000681,0000000,0000000,0000667,0000667,0000012,0000001,0000409,0000000,0000000,N
07,1999,06,1,01,18,GRANADA,02,013 ,A,0000608,0000608,0000000,0000000,0000203,0000282,0000004,0000004,0000343,0000000,0000000,N
07,1999,06,1,01,18,GRANADA,02,037 ,B,0000465,0000465,0000000,0000000,0000146,0000219,0000006,0000001,0000288,0000000,0000000,N
07,1999,06,1,01,18,GRANADA,02,037 ,C,0000673,0000673,0000000,0000000,0000235,0000354,0000018,0000002,0000432,0000000,0000000,N
07,1999,06,1,01,18,GRANADA,02,038 ,B,0000555,0000556,0000000,0000000,0000206,0000275,0000010,0000001,0000343,0000000,0000000,N
07,1999,06,1,01,18,ALBOLOTE,01,002 ,A,0000741,0000741,0000000,0000000,0000270,0000358,0000005,0000002,0000479,0000000,0000000,N
07,1999,06,1,01,18,ALBUÑOL,02,001 ,C,0000361,0000361,0000000,0000000,0000119,0000221,0000003,0000000,0000287,0000000,0000000,N
07,1999,06,1,01,18,ALHENDÍN,01,002 ,A,0000682,0000682,0000000,0000000,0000236,0000355,0000004,0000012,0000469,0000000,0000000,N
07,1999,06,1,01,18,ALMUÑÉCAR,03,001 ,B,0000560,0000560,0000000,0000000,0000220,0000335,0000000,0000000,0000420,0000000,0000000,N
07,1999,06,1,01,18,ARENAS DEL REY,01,002 ,U,0000606,0000606,0000000,0000000,0000191,0000320,0000000,0000005,0000394,0000000,0000000,N
07,1999,06,1,01,18,ARMILLA,01,003 ,A,0000505,0000505,0000000,0000000,0000174,0000234,0000004,0000000,0000300,0000000,0000000,N
07,1999,06,1,01,18,ATARFE,01,002 ,C,0000539,0000539,0000000,0000000,0000219,0000286,0000004,0000003,0000338,0000000,0000000,N
07,1999,06,1,01,18,BAZA,02,004 ,A,0000561,0000561,0000000,0000000,0000160,0000229,0000001,0000003,0000285,0000000,0000000,N
07,1999,06,1,01,18,BEAS DE GRANADA,01,001 ,U,0000835,0000835,0000000,0000000,0000410,0000615,0000005,0000003,0000728,0000000,0000000,N
07,1999,06,1,01,18,CASTRIL,02,001 ,B,0000284,0000284,0000000,0000000,0000068,0000109,0000000,0000002,0000157,0000000,0000000,N
07,1999,06,1,01,18,CÚLLAR,01,001 ,D,0000201,0000201,0000000,0000000,0000087,0000129,0000007,0000004,0000146,0000000,0000000,N
07,1999,06,1,01,18,CÚLLAR VEGA,01,001 ,B,0000705,0000705,0000000,0000000,0000285,0000403,0000004,0000003,0000517,0000000,0000000,N
07,1999,06,1,01,18,CHURRIANA DE LA VEGA,01,002 ,A,0000593,0000593,0000000,0000000,0000247,0000380,0000003,0000003,0000450,0000000,0000000,N
07,1999,06,1,01,18,DÚRCAL,01,001 ,A,0000599,0000611,0000000,0000000,0000280,0000377,0000005,0000015,0000449,0000000,0000000,N
07,1999,06,1,01,18,FUENTE VAQUEROS,01,001 ,A,0000642,0000642,0000000,0000000,0000298,0000410,0000007,0000005,0000507,0000000,0000000,N
07,1999,06,1,01,18,GRANADA,01,004 ,A,0000572,0000572,0000000,0000000,0000209,0000291,0000003,0000001,0000358,0000000,0000000,N
07,1999,06,1,01,18,GRANADA,02,003 ,A,0000421,0000421,0000000,0000000,0000040,0000215,0000004,0000001,0000265,0000000,0000000,N
07,1999,06,1,01,18,GRANADA,02,005 ,A,0000633,0000633,0000000,0000000,0000240,0000317,0000008,0000001,0000383,0000000,0000000,N
07,1999,06,1,01,18,GRANADA,02,012 ,A,0000552,0000552,0000000,0000000,0000186,0000286,0000006,0000001,0000339,0000000,0000000,N
07,1999,06,1,01,18,ALBOLOTE,01,002 ,B,0000561,0000565,0000000,0000000,0000202,0000268,0000008,0000003,0000349,0000000,0000000,N
07,1999,06,1,01,18,ALBOLOTE,01,005 ,A,0000676,0000676,0000000,0000000,0000248,0000345,0000000,0000001,0000428,0000000,0000000,N
07,1999,06,1,01,18,ALHENDÍN,01,002 ,B,0000459,0000459,0000000,0000000,0000185,0000249,0000005,0000000,0000319,0000000,0000000,N
07,1999,06,1,01,18,ALMUÑÉCAR,01,003 ,A,0000695,0000695,0000000,0000000,0000294,0000414,0000008,0000010,0000498,0000000,0000000,N
07,1999,06,1,01,18,ALMUÑÉCAR,01,005 ,A,0000460,0000460,0000000,0000000,0000198,0000260,0000003,0000003,0000335,0000000,0000000,N
07,1999,06,1,01,18,ALMUÑÉCAR,01,006 ,A,0000385,0000385,0000000,0000000,0000172,0000229,0000003,0000002,0000274,0000000,0000000,N
07,1999,06,1,01,18,ARMILLA,01,005 ,C,0000675,0000675,0000000,0000000,0000289,0000342,0000004,0000005,0000417,0000000,0000000,N
07,1999,06,1,01,18,BAZA,03,001 ,B,0000791,0000791,0000000,0000000,0000360,0000457,0000003,0000006,0000434,0000000,0000000,N
07,1999,06,1,01,18,BENAMAUREL,01,001 ,B,0000257,0000257,0000000,0000000,0000099,0000152,0000001,0000002,0000183,0000000,0000000,N
