"Tipo de elección.","Año del proceso electoral.","Mes del proceso electoral.","Número de vuelta (en procesos a una sola vuelta = 1)","Código de la Comunidad Autónoma o 99 si se trata del Total Nacional del C.E.R.A.","Código I.N.E. de la provincia o 99 si se trata del Total Nacional o Autonómico del C.E.R.A.","Código I.N.E. del municipio (999 = C.E.R.A.).","Número de distrito municipal en su caso o 01 si el municipio no tiene distritos (distrito único). En el caso de datos procedentes del C.E.R.A., llevará el número del ‘Distrito Electoral’ a que correspondan o 09 si el ámbito de dicho distrito coincide con el de la provincia.","Código de la sección (tres dígitos seguidos de un espacio, letra mayúscula u otro dígito).","Código de la mesa (una letra mayúscula identificando la mesa o una ‘U’ en caso de mesa única).","Código de la candidatura o del Senador en elecciones al Senado.","Votos obtenidos por la candidatura o el Senador."
07,1994,06,1,01,18,001,01,001 ,U,000007,0000000
07,1994,06,1,01,18,001,01,001 ,U,000008,0000000
07,1994,06,1,01,18,001,01,001 ,U,000023,0000000
07,1994,06,1,01,18,002,01,001 ,U,000012,0000000
07,1994,06,1,01,18,002,01,001 ,U,000014,0000001
07,1994,06,1,01,18,003,01,001 ,A,000005,0000000
07,1994,06,1,01,18,003,01,001 ,A,000029,0000133
07,1994,06,1,01,18,003,01,001 ,A,000033,0000135
07,1994,06,1,01,18,003,01,001 ,B,000007,0000000
07,1994,06,1,01,18,001,01,001 ,U,000034,0000000
07,1994,06,1,01,18,001,01,001 ,U,000038,0000000
07,1994,06,1,01,18,002,01,001 ,U,000009,0000000
07,1994,06,1,01,18,003,01,001 ,A,000006,0000000
07,1994,06,1,01,18,003,01,002 ,A,000007,0000000
07,1994,06,1,01,18,003,01,002 ,B,000016,0000000
07,1994,06,1,01,18,003,01,002 ,B,000027,0000000
07,1994,06,1,01,18,003,01,002 ,B,000034,0000000
07,1994,06,1,01,18,003,01,002 ,C,000005,0000000
07,1994,06,1,01,18,003,01,002 ,C,000019,0000001
07,1994,06,1,01,18,003,01,002 ,C,000035,0000000
07,1994,06,1,01,18,003,01,003 ,A,000002,0000000
07,1994,06,1,01,18,003,01,003 ,A,000009,0000000
07,1994,06,1,01,18,003,01,003 ,A,000020,0000000
07,1994,06,1,01,18,003,01,003 ,A,000038,0000000
07,1994,06,1,01,18,003,01,003 ,B,000014,0000004
07,1994,06,1,01,18,003,01,003 ,B,000016,0000000
07,1994,06,1,01,18,003,01,003 ,B,000026,0000000
07,1994,06,1,01,18,003,01,004 ,A,000018,0000000
07,1994,06,1,01,18,003,01,004 ,A,000034,0000001
07,1994,06,1,01,18,003,01,004 ,A,000045,0000155
07,1994,06,1,01,18,003,01,004 ,B,000012,0000000
07,1994,06,1,01,18,003,01,004 ,B,000032,0000000
07,1994,06,1,01,18,003,01,004 ,B,000036,0000020
07,1994,06,1,01,18,003,01,005 ,A,000014,0000002
07,1994,06,1,01,18,003,01,005 ,A,000035,0000000
07,1994,06,1,01,18,003,01,005 ,B,000013,0000000
07,1994,06,1,01,18,003,01,005 ,B,000023,0000001
07,1994,06,1,01,18,003,01,005 ,B,000045,0000155
07,1994,06,1,01,18,004,01,001 ,A,000005,0000000
07,1994,06,1,01,18,004,01,001 ,A,000018,0000000
07,1994,06,1,01,18,004,01,001 ,B,000009,0000000
07,1994,06,1,01,18,004,01,001 ,B,000020,0000000
07,1994,06,1,01,18,004,01,001 ,B,000031,0000000
07,1994,06,1,01,18,005,01,001 ,U,000006,0000000
07,1994,06,1,01,18,005,01,001 ,U,000012,0000000
07,1994,06,1,01,18,006,01,001 ,A,000036,0000002
07,1994,06,1,01,18,006,01,001 ,B,000001,0000000
07,1994,06,1,01,18,006,01,001 ,B,000012,0000000
07,1994,06,1,01,18,006,01,001 ,B,000017,0000000
07,1994,06,1,01,18,006,01,001 ,B,000037,0000000
07,1994,06,1,01,18,006,01,002 ,U,000008,0000000
07,1994,06,1,01,18,006,01,002 ,U,000033,0000188
07,1994,06,1,01,18,006,02,001 ,A,000008,0000000
07,1994,06,1,01,18,006,02,001 ,A,000014,0000002
07,1994,06,1,01,18,006,02,001 ,B,000008,0000000
07,1994,06,1,01,18,006,03,001 ,U,000014,0000000
07,1994,06,1,01,18,007,01,001 ,A,000009,0000000
07,1994,06,1,01,18,007,01,001 ,A,000019,0000000
07,1994,06,1,01,18,001,01,001 ,U,000006,0000000
07,1994,06,1,01,18,001,01,001 ,U,000012,0000000
07,1994,06,1,01,18,001,01,001 ,U,000025,0000000
07,1994,06,1,01,18,002,01,001 ,U,000025,0000000
07,1994,06,1,01,18,003,01,001 ,A,000012,0000000
07,1994,06,1,01,18,003,01,001 ,A,000026,0000000
07,1994,06,1,01,18,003,01,001 ,A,000039,0000000
07,1994,06,1,01,18,003,01,001 ,B,000010,0000006
07,1994,06,1,01,18,003,01,002 ,B,000008,0000000
07,1994,06,1,01,18,003,01,002 ,B,000010,0000000
07,1994,06,1,01,18,003,01,002 ,B,000012,0000000
07,1994,06,1,01,18,003,01,002 ,B,000032,0000000
07,1994,06,1,01,18,003,01,002 ,B,000037,0000000
07,1994,06,1,01,18,003,01,002 ,C,000002,0000000
07,1994,06,1,01,18,003,01,002 ,C,000016,0000000
07,1994,06,1,01,18,003,01,002 ,C,000025,0000000
07,1994,06,1,01,18,003,01,003 ,A,000007,0000000
07,1994,06,1,01,18,003,01,003 ,A,000030,0000001
07,1994,06,1,01,18,003,01,003 ,A,000031,0000000
07,1994,06,1,01,18,003,01,003 ,B,000020,0000000
07,1994,06,1,01,18,003,01,004 ,A,000019,0000001
07,1994,06,1,01,18,003,01,004 ,A,000027,0000003
07,1994,06,1,01,18,003,01,004 ,A,000030,0000000
07,1994,06,1,01,18,003,01,001 ,B,000013,0000000
07,1994,06,1,01,18,003,01,001 ,B,000018,0000000
07,1994,06,1,01,18,003,01,001 ,B,000031,0000000
07,1994,06,1,01,18,003,01,002 ,A,000025,0000000
07,1994,06,1,01,18,003,01,002 ,A,000036,0000007
07,1994,06,1,01,18,003,01,002 ,B,000007,0000000
07,1994,06,1,01,18,003,01,002 ,B,000018,0000000
07,1994,06,1,01,18,003,01,002 ,B,000025,0000000
07,1994,06,1,01,18,003,01,003 ,A,000015,0000000
07,1994,06,1,01,18,003,01,003 ,A,000018,0000000
07,1994,06,1,01,18,003,01,003 ,A,000039,0000000
07,1994,06,1,01,18,003,01,003 ,B,000012,0000000
07,1994,06,1,01,18,003,01,004 ,A,000008,0000000
07,1994,06,1,01,18,003,01,004 ,A,000010,0000000
07,1994,06,1,01,18,003,01,004 ,A,000025,0000000
07,1994,06,1,01,18,003,01,004 ,B,000020,0000001
07,1994,06,1,01,18,003,01,005 ,A,000037,0000000
07,1994,06,1,01,18,003,01,005 ,B,000010,0000004
07,1994,06,1,01,18,003,01,005 ,B,000012,0000001
07,1994,06,1,01,18,003,01,005 ,B,000031,0000000
07,1994,06,1,01,18,003,01,005 ,B,000034,0000001
07,1994,06,1,01,18,003,01,006 ,U,000031,0000000
07,1994,06,1,01,18,004,01,001 ,B,000008,0000000
07,1994,06,1,01,18,004,01,001 ,B,000018,0000000
07,1994,06,1,01,18,005,01,001 ,U,000035,0000000
07,1994,06,1,01,18,006,01,001 ,A,000038,0000000
07,1994,06,1,01,18,006,01,001 ,B,000033,0000270
07,1994,06,1,01,18,006,01,002 ,U,000016,0000000
07,1994,06,1,01,18,006,01,002 ,U,000025,0000000
07,1994,06,1,01,18,006,02,001 ,A,000018,0000000
07,1994,06,1,01,18,006,02,001 ,A,000030,0000001
07,1994,06,1,01,18,006,02,001 ,B,000037,0000000
07,1994,06,1,01,18,006,02,001 ,B,000039,0000000
07,1994,06,1,01,18,006,03,001 ,U,000032,0000000
07,1994,06,1,01,18,006,03,001 ,U,000036,0000002
07,1994,06,1,01,18,007,01,001 ,B,000025,0000004
07,1994,06,1,01,18,007,01,001 ,B,000026,0000000
07,1994,06,1,01,18,010,01,001 ,U,000031,0000000
07,1994,06,1,01,18,010,01,001 ,U,000039,0000000
07,1994,06,1,01,18,011,01,001 ,A,000014,0000001
07,1994,06,1,01,18,012,01,001 ,U,000005,0000000
07,1994,06,1,01,18,012,01,001 ,U,000032,0000000
07,1994,06,1,01,18,012,01,001 ,U,000039,0000000
07,1994,06,1,01,18,012,01,002 ,U,000001,0000000
07,1994,06,1,01,18,012,01,003 ,U,000037,0000000
07,1994,06,1,01,18,012,01,004 ,A,000045,0000018
07,1994,06,1,01,18,012,01,004 ,B,000033,0000104
07,1994,06,1,01,18,012,01,004 ,B,000045,0000001
07,1994,06,1,01,18,012,01,005 ,A,000006,0000000
07,1994,06,1,01,18,001,01,001 ,U,000015,0000000
07,1994,06,1,01,18,001,01,001 ,U,000031,0000000
07,1994,06,1,01,18,002,01,001 ,U,000010,0000002
07,1994,06,1,01,18,002,01,001 ,U,000030,0000000
07,1994,06,1,01,18,002,01,001 ,U,000031,0000000
07,1994,06,1,01,18,002,01,001 ,U,000045,0000017
07,1994,06,1,01,18,003,01,001 ,A,000008,0000000
07,1994,06,1,01,18,003,01,001 ,A,000027,0000001
07,1994,06,1,01,18,003,01,001 ,B,000005,0000000
07,1994,06,1,01,18,003,01,001 ,B,000032,0000000
07,1994,06,1,01,18,003,01,002 ,A,000006,0000000
07,1994,06,1,01,18,003,01,002 ,A,000017,0000000
07,1994,06,1,01,18,003,01,002 ,A,000045,0000143
07,1994,06,1,01,18,003,01,002 ,B,000002,0000000
07,1994,06,1,01,18,003,01,002 ,B,000020,0000000
07,1994,06,1,01,18,007,01,001 ,A,000031,0000000
07,1994,06,1,01,18,007,01,001 ,A,000045,0000028
07,1994,06,1,01,18,010,01,001 ,U,000001,0000000
07,1994,06,1,01,18,010,01,001 ,U,000016,0000000
07,1994,06,1,01,18,010,01,001 ,U,000045,0000065
07,1994,06,1,01,18,011,01,001 ,B,000039,0000000
07,1994,06,1,01,18,011,01,002 ,U,000018,0000001
07,1994,06,1,01,18,011,01,002 ,U,000027,0000001
07,1994,06,1,01,18,011,01,002 ,U,000039,0000000
07,1994,06,1,01,18,012,01,001 ,U,000006,0000000
07,1994,06,1,01,18,012,01,001 ,U,000033,0000345
07,1994,06,1,01,18,012,01,001 ,U,000034,0000004
07,1994,06,1,01,18,012,01,001 ,U,000045,0000034
07,1994,06,1,01,18,012,01,002 ,U,000019,0000000
07,1994,06,1,01,18,012,01,002 ,U,000020,0000000
07,1994,06,1,01,18,012,01,002 ,U,000030,0000000
07,1994,06,1,01,18,012,01,002 ,U,000031,0000000
07,1994,06,1,01,18,012,01,003 ,U,000001,0000000
07,1994,06,1,01,18,012,01,003 ,U,000009,0000000
07,1994,06,1,01,18,012,01,003 ,U,000032,0000000
07,1994,06,1,01,18,012,01,003 ,U,000036,0000004
07,1994,06,1,01,18,012,01,004 ,A,000002,0000000
07,1994,06,1,01,18,012,01,004 ,A,000012,0000000
07,1994,06,1,01,18,012,01,004 ,B,000002,0000000
07,1994,06,1,01,18,012,01,004 ,B,000012,0000000
07,1994,06,1,01,18,012,01,004 ,B,000027,0000000
07,1994,06,1,01,18,012,01,005 ,A,000025,0000000
07,1994,06,1,01,18,012,01,005 ,B,000016,0000002
07,1994,06,1,01,18,013,01,001 ,U,000005,0000002
07,1994,06,1,01,18,013,01,001 ,U,000035,0000000
07,1994,06,1,01,18,013,01,002 ,U,000009,0000000
07,1994,06,1,01,18,013,01,003 ,U,000026,0000000
07,1994,06,1,01,18,013,01,003 ,U,000031,0000001
07,1994,06,1,01,18,013,01,004 ,U,000009,0000000
07,1994,06,1,01,18,013,01,004 ,U,000020,0000000
07,1994,06,1,01,18,013,01,005 ,U,000001,0000000
07,1994,06,1,01,18,013,01,005 ,U,000039,0000000
07,1994,06,1,01,18,014,01,001 ,A,000023,0000000
07,1994,06,1,01,18,014,01,001 ,A,000030,0000000
07,1994,06,1,01,18,014,01,001 ,A,000039,0000000
07,1994,06,1,01,18,014,01,002 ,A,000009,0000000
07,1994,06,1,01,18,014,01,002 ,A,000013,0000000
07,1994,06,1,01,18,014,01,002 ,A,000026,0000000
07,1994,06,1,01,18,014,01,002 ,A,000027,0000003
07,1994,06,1,01,18,014,01,002 ,A,000032,0000000
07,1994,06,1,01,18,015,01,001 ,U,000019,0000001
07,1994,06,1,01,18,015,01,001 ,U,000038,0000000
07,1994,06,1,01,18,016,01,001 ,U,000026,0000000
07,1994,06,1,01,18,016,01,001 ,U,000035,0000000
07,1994,06,1,01,18,017,01,001 ,A,000006,0000000
07,1994,06,1,01,18,001,01,001 ,U,000020,0000000
07,1994,06,1,01,18,002,01,001 ,U,000007,0000000
07,1994,06,1,01,18,002,01,001 ,U,000034,0000001
07,1994,06,1,01,18,003,01,004 ,B,000001,0000000
07,1994,06,1,01,18,003,01,004 ,B,000006,0000000
07,1994,06,1,01,18,003,01,004 ,B,000013,0000000
07,1994,06,1,01,18,003,01,005 ,A,000009,0000000
07,1994,06,1,01,18,003,01,005 ,B,000005,0000000
07,1994,06,1,01,18,003,01,005 ,B,000026,0000000
07,1994,06,1,01,18,003,01,006 ,U,000007,0000000
07,1994,06,1,01,18,003,01,006 ,U,000013,0000000
07,1994,06,1,01,18,003,01,006 ,U,000017,0000000
07,1994,06,1,01,18,003,01,006 ,U,000029,0000165
07,1994,06,1,01,18,004,01,001 ,A,000015,0000000
07,1994,06,1,01,18,004,01,001 ,A,000029,0000183
07,1994,06,1,01,18,004,01,001 ,A,000037,0000000
07,1994,06,1,01,18,005,01,001 ,U,000001,0000000
07,1994,06,1,01,18,005,01,001 ,U,000016,0000001
07,1994,06,1,01,18,005,01,001 ,U,000017,0000000
07,1994,06,1,01,18,005,01,001 ,U,000032,0000000
07,1994,06,1,01,18,005,01,001 ,U,000038,0000000
07,1994,06,1,01,18,006,01,001 ,A,000015,0000000
07,1994,06,1,01,18,006,01,001 ,A,000019,0000000
07,1994,06,1,01,18,006,01,001 ,A,000029,0000135
07,1994,06,1,01,18,006,01,001 ,B,000013,0000000
07,1994,06,1,01,18,006,01,001 ,B,000016,0000000
07,1994,06,1,01,18,006,02,001 ,A,000017,0000000
07,1994,06,1,01,18,006,02,001 ,A,000037,0000001
07,1994,06,1,01,18,006,02,001 ,A,000038,0000000
07,1994,06,1,01,18,006,02,001 ,A,000045,0000070
07,1994,06,1,01,18,006,02,001 ,B,000020,0000000
07,1994,06,1,01,18,006,03,001 ,U,000012,0000000
07,1994,06,1,01,18,006,03,001 ,U,000015,0000000
07,1994,06,1,01,18,007,01,001 ,A,000020,0000000
07,1994,06,1,01,18,007,01,001 ,A,000027,0000001
07,1994,06,1,01,18,007,01,001 ,B,000017,0000000
