"Tipo de elección.","Año del proceso electoral.","Mes del proceso electoral.","Número de vuelta (en procesos a una sola vuelta = 1)","Código de la Comunidad Autónoma o 99 si se trata del Total Nacional del C.E.R.A.","Código I.N.E. de la provincia o 99 si se trata del Total Nacional o Autonómico del C.E.R.A.","Código I.N.E. del municipio (999 = C.E.R.A.).","Número de distrito municipal en su caso o 01 si el municipio no tiene distritos (distrito único). En el caso de datos procedentes del C.E.R.A., llevará el número del ‘Distrito Electoral’ a que correspondan o 09 si el ámbito de dicho distrito coincide con el de la provincia.","Código de la sección (tres dígitos seguidos de un espacio, letra mayúscula u otro dígito).","Código de la mesa (una letra mayúscula identificando la mesa o una ‘U’ en caso de mesa única).","Código de la candidatura o del Senador en elecciones al Senado.","Votos obtenidos por la candidatura o el Senador."
07,1987,06,1,01,18,017,02,0001,A,000019,0000000
07,1987,06,1,01,18,017,02,0001,A,000108,0000000
07,1987,06,1,01,18,017,03,0001,A,000020,0000000
07,1987,06,1,01,18,017,03,0001,A,000067,0000000
07,1987,06,1,01,18,017,03,0001,A,000105,0000000
07,1987,06,1,01,18,017,03,0001,A,000116,0000000
07,1987,06,1,01,18,017,03,0001,B,000010,0000000
07,1987,06,1,01,18,017,03,0001,B,000032,0000000
07,1987,06,1,01,18,018,01,0001,A,000067,0000004
07,1987,06,1,01,18,018,01,0001,A,000105,0000000
07,1987,06,1,01,18,018,01,0001,A,000115,0000005
07,1987,06,1,01,18,020,01,0001,A,000115,0000001
07,1987,06,1,01,18,020,01,0001,B,000002,0000124
07,1987,06,1,01,18,020,01,0002,A,000004,0000010
07,1987,06,1,01,18,020,01,0002,A,000109,0000000
07,1987,06,1,01,18,021,01,0001,A,000001,0000395
07,1987,06,1,01,18,021,01,0001,A,000037,0000031
07,1987,06,1,01,18,021,01,0002,A,000003,0000028
07,1987,06,1,01,18,021,01,0002,A,000023,0000000
07,1987,06,1,01,18,021,01,0003,A,000001,0000472
07,1987,06,1,01,18,021,01,0003,A,000106,0000000
07,1987,06,1,01,18,021,01,0003,A,000113,0000000
07,1987,06,1,01,18,021,01,0003,A,000115,0000011
07,1987,06,1,01,18,021,01,0004,A,000005,0000000
07,1987,06,1,01,18,021,01,0004,A,000021,0000000
07,1987,06,1,01,18,021,01,0004,A,000067,0000001
07,1987,06,1,01,18,021,01,0005,A,000067,0000000
07,1987,06,1,01,18,021,01,0005,B,000021,0000000
07,1987,06,1,01,18,021,01,0005,B,000067,0000001
07,1987,06,1,01,18,021,01,0005,B,000098,0000001
07,1987,06,1,01,18,022,01,0001,A,000108,0000000
07,1987,06,1,01,18,022,01,0002,A,000001,0000433
07,1987,06,1,01,18,022,01,0002,A,000019,0000000
07,1987,06,1,01,18,022,01,0003,A,000004,0000059
07,1987,06,1,01,18,022,01,0003,A,000034,0000000
07,1987,06,1,01,18,022,01,0003,A,000108,0000000
07,1987,06,1,01,18,022,01,0003,A,000111,0000000
07,1987,06,1,01,18,022,01,0004,A,000001,0000349
07,1987,06,1,01,18,022,01,0004,A,000004,0000068
07,1987,06,1,01,18,022,01,0004,A,000109,0000000
07,1987,06,1,01,18,022,01,0004,A,000115,0000010
07,1987,06,1,01,18,022,01,0004,B,000019,0000000
07,1987,06,1,01,18,022,01,0004,B,000034,0000000
07,1987,06,1,01,18,017,01,0007,A,000111,0000000
07,1987,06,1,01,18,017,02,0001,A,000021,0000000
07,1987,06,1,01,18,017,02,0001,A,000113,0000003
07,1987,06,1,01,18,017,03,0001,A,000111,0000000
07,1987,06,1,01,18,017,03,0001,B,000002,0000040
07,1987,06,1,01,18,017,03,0001,B,000019,0000000
07,1987,06,1,01,18,017,03,0001,B,000031,0000000
07,1987,06,1,01,18,018,01,0001,A,000019,0000003
07,1987,06,1,01,18,018,01,0001,A,000034,0000000
07,1987,06,1,01,18,020,01,0001,A,000031,0000000
07,1987,06,1,01,18,020,01,0001,A,000038,0000000
07,1987,06,1,01,18,020,01,0001,A,000108,0000000
07,1987,06,1,01,18,020,01,0001,B,000021,0000000
07,1987,06,1,01,18,020,01,0002,A,000034,0000000
07,1987,06,1,01,18,020,01,0002,A,000108,0000000
07,1987,06,1,01,18,020,01,0002,A,000116,0000000
07,1987,06,1,01,18,021,01,0001,A,000003,0000093
07,1987,06,1,01,18,021,01,0001,A,000105,0000003
07,1987,06,1,01,18,021,01,0001,A,000106,0000001
07,1987,06,1,01,18,021,01,0001,A,000111,0000000
07,1987,06,1,01,18,021,01,0002,A,000022,0000000
