"Tipo de elección.","Año del proceso electoral.","Mes del proceso electoral.","Número de vuelta (en procesos a una sola vuelta = 1)","Código de la Comunidad Autónoma o 99 si se trata del Total Nacional del C.E.R.A.","Código I.N.E. de la provincia o 99 si se trata del Total Nacional o Autonómico del C.E.R.A.","Código I.N.E. del municipio (999 = C.E.R.A.).","Número de distrito municipal en su caso o 01 si el municipio no tiene distritos (distrito único). En el caso de datos procedentes del C.E.R.A., llevará el número del ‘Distrito Electoral’ a que correspondan o 09 si el ámbito de dicho distrito coincide con el de la provincia.","Código de la sección (tres dígitos seguidos de un espacio, letra mayúscula u otro dígito).","Código de la mesa (una letra mayúscula identificando la mesa o una ‘U’ en caso de mesa única).","Código de la candidatura o del Senador en elecciones al Senado.","Votos obtenidos por la candidatura o el Senador."
07,2009,06,1,01,18,001,01,001 ,U,000020,0000000
07,2009,06,1,01,18,001,01,001 ,U,000032,0000000
07,2009,06,1,01,18,001,01,001 ,U,000035,0000000
07,2009,06,1,01,18,001,01,001 ,U,000076,0000000
07,2009,06,1,01,18,002,01,001 ,U,000007,0000000
07,2009,06,1,01,18,003,01,001 ,A,000004,0000000
07,2009,06,1,01,18,003,01,001 ,A,000027,0000000
07,2009,06,1,01,18,003,01,001 ,B,000022,0000000
07,2009,06,1,01,18,003,01,001 ,B,000032,0000000
07,2009,06,1,01,18,003,01,002 ,A,000017,0000001
07,2009,06,1,01,18,003,01,002 ,B,000027,0000002
07,2009,06,1,01,18,003,01,002 ,B,000032,0000000
07,2009,06,1,01,18,003,01,003 ,A,000014,0000000
07,2009,06,1,01,18,003,01,003 ,A,000076,0000000
07,2009,06,1,01,18,003,01,003 ,B,000011,0000000
07,2009,06,1,01,18,003,01,003 ,C,000030,0000000
07,2009,06,1,01,18,003,01,004 ,A,000004,0000000
07,2009,06,1,01,18,003,01,004 ,A,000009,0000000
07,2009,06,1,01,18,003,01,004 ,A,000013,0000000
07,2009,06,1,01,18,003,01,004 ,B,000028,0000101
07,2009,06,1,01,18,003,01,004 ,C,000005,0000001
07,2009,06,1,01,18,003,01,004 ,C,000009,0000000
07,2009,06,1,01,18,003,01,004 ,C,000015,0000000
07,2009,06,1,01,18,003,01,004 ,C,000020,0000000
07,2009,06,1,01,18,003,01,005 ,A,000076,0000003
07,2009,06,1,01,18,003,01,005 ,B,000025,0000001
07,2009,06,1,01,18,003,01,005 ,B,000036,0000000
07,2009,06,1,01,18,003,01,006 ,A,000007,0000000
07,2009,06,1,01,18,003,01,006 ,A,000015,0000000
07,2009,06,1,01,18,003,01,006 ,A,000020,0000001
07,2009,06,1,01,18,003,01,007 ,A,000020,0000000
07,2009,06,1,01,18,003,01,007 ,A,000022,0000000
07,2009,06,1,01,18,003,01,007 ,B,000019,0000000
07,2009,06,1,01,18,003,01,008 ,A,000027,0000001
07,2009,06,1,01,18,003,01,008 ,A,000036,0000000
07,2009,06,1,01,18,003,01,009 ,A,000032,0000000
