"Tipo de elección.","Año del proceso electoral.","Mes del proceso electoral.","Número de vuelta (en procesos a una sola vuelta = 1)","Código de la Comunidad Autónoma o 99 si se trata del Total Nacional del C.E.R.A.","Código I.N.E. de la provincia o 99 si se trata del Total Nacional o Autonómico del C.E.R.A.","Código I.N.E. del municipio (999 = C.E.R.A.).","Número de distrito municipal en su caso o 01 si el municipio no tiene distritos (distrito único). En el caso de datos procedentes del C.E.R.A., llevará el número del ‘Distrito Electoral’ a que correspondan o 09 si el ámbito de dicho distrito coincide con el de la provincia.","Código de la sección (tres dígitos seguidos de un espacio, letra mayúscula u otro dígito).","Código de la mesa (una letra mayúscula identificando la mesa o una ‘U’ en caso de mesa única).","Código de la candidatura o del Senador en elecciones al Senado.","Votos obtenidos por la candidatura o el Senador."
07,1989,06,1,01,18,001,01,0001,A,000008,0000000
07,1989,06,1,01,18,001,01,0001,A,000014,0000000
07,1989,06,1,01,18,002,01,0001,A,000003,0000005
07,1989,06,1,01,18,002,01,0001,A,000008,0000000
07,1989,06,1,01,18,002,01,0001,A,000009,0000000
07,1989,06,1,01,18,002,01,0001,A,000015,0000004
07,1989,06,1,01,18,002,01,0001,A,000016,0000001
07,1989,06,1,01,18,002,01,0001,A,000021,0000000
07,1989,06,1,01,18,002,01,0001,A,000064,0000009
07,1989,06,1,01,18,003,01,0001,A,000009,0000000
07,1989,06,1,01,18,003,01,0001,B,000028,0000000
07,1989,06,1,01,18,003,01,0002,A,000004,0000000
07,1989,06,1,01,18,003,01,0002,A,000026,0000000
07,1989,06,1,01,18,003,01,0002,B,000003,0000060
07,1989,06,1,01,18,003,01,0003,A,000002,0000000
07,1989,06,1,01,18,003,01,0003,A,000005,0000001
07,1989,06,1,01,18,003,01,0003,A,000023,0000000
07,1989,06,1,01,18,003,01,0003,A,000030,0000000
07,1989,06,1,01,18,003,01,0004,A,000003,0000028
07,1989,06,1,01,18,002,01,0001,A,000004,0000000
07,1989,06,1,01,18,002,01,0001,A,000024,0000000
07,1989,06,1,01,18,002,01,0001,A,000033,0000000
07,1989,06,1,01,18,003,01,0001,A,000025,0000007
07,1989,06,1,01,18,003,01,0001,B,000012,0000000
07,1989,06,1,01,18,003,01,0001,B,000016,0000002
07,1989,06,1,01,18,003,01,0002,A,000005,0000000
07,1989,06,1,01,18,003,01,0002,A,000013,0000000
07,1989,06,1,01,18,003,01,0002,A,000016,0000000
07,1989,06,1,01,18,003,01,0002,B,000023,0000000
07,1989,06,1,01,18,003,01,0002,B,000033,0000000
07,1989,06,1,01,18,003,01,0003,A,000014,0000000
07,1989,06,1,01,18,003,01,0003,A,000018,0000005
07,1989,06,1,01,18,003,01,0004,A,000006,0000039
07,1989,06,1,01,18,003,01,0004,A,000025,0000011
07,1989,06,1,01,18,003,01,0004,A,000031,0000003
07,1989,06,1,01,18,003,01,0005,A,000016,0000002
07,1989,06,1,01,18,004,01,0001,A,000011,0000105
07,1989,06,1,01,18,004,01,0001,A,000020,0000000
07,1989,06,1,01,18,004,01,0001,A,000027,0000002
07,1989,06,1,01,18,004,01,0001,A,000031,0000000
07,1989,06,1,01,18,004,01,0001,B,000007,0000000
07,1989,06,1,01,18,003,01,0004,A,000014,0000000
07,1989,06,1,01,18,003,01,0004,A,000018,0000003
07,1989,06,1,01,18,003,01,0004,A,000033,0000000
07,1989,06,1,01,18,003,01,0005,A,000012,0000000
07,1989,06,1,01,18,003,01,0005,A,000018,0000001
07,1989,06,1,01,18,003,01,0005,A,000027,0000006
07,1989,06,1,01,18,004,01,0001,A,000032,0000000
07,1989,06,1,01,18,004,01,0001,B,000026,0000000
07,1989,06,1,01,18,005,01,0001,A,000021,0000000
07,1989,06,1,01,18,006,01,0001,A,000001,0000000
07,1989,06,1,01,18,006,01,0001,A,000015,0000005
07,1989,06,1,01,18,006,01,0001,A,000023,0000001
07,1989,06,1,01,18,006,01,0001,B,000012,0000000
07,1989,06,1,01,18,006,01,0001,B,000026,0000001
07,1989,06,1,01,18,006,01,0002,A,000009,0000000
07,1989,06,1,01,18,006,01,0002,A,000023,0000000
07,1989,06,1,01,18,006,02,0001,A,000011,0000357
07,1989,06,1,01,18,006,02,0001,A,000024,0000000
07,1989,06,1,01,18,006,02,0001,A,000025,0000016
07,1989,06,1,01,18,006,02,0001,B,000011,0000075
07,1989,06,1,01,18,006,02,0001,B,000012,0000000
07,1989,06,1,01,18,006,02,0001,B,000016,0000001
07,1989,06,1,01,18,006,03,0001,A,000004,0000000
07,1989,06,1,01,18,006,03,0001,A,000005,0000000
07,1989,06,1,01,18,006,03,0001,A,000007,0000000
07,1989,06,1,01,18,007,01,0001,A,000001,0000000
07,1989,06,1,01,18,007,01,0001,B,000032,0000000
07,1989,06,1,01,18,010,01,0001,A,000027,0000002
07,1989,06,1,01,18,011,01,0001,A,000028,0000000
07,1989,06,1,01,18,012,01,0001,A,000015,0000000
07,1989,06,1,01,18,012,01,0002,A,000002,0000002
07,1989,06,1,01,18,012,01,0002,A,000005,0000000
07,1989,06,1,01,18,012,01,0002,A,000018,0000000
07,1989,06,1,01,18,012,01,0004,A,000008,0000000
07,1989,06,1,01,18,012,01,0004,B,000001,0000000
07,1989,06,1,01,18,012,01,0004,B,000007,0000000
07,1989,06,1,01,18,012,01,0004,B,000009,0000000
07,1989,06,1,01,18,012,01,0004,B,000010,0000043
07,1989,06,1,01,18,012,01,0004,B,000012,0000001
07,1989,06,1,01,18,012,01,0004,B,000030,0000000
07,1989,06,1,01,18,012,01,0005,A,000007,0000000
07,1989,06,1,01,18,012,01,0005,A,000030,0000000
07,1989,06,1,01,18,012,01,0005,B,000019,0000000
07,1989,06,1,01,18,012,01,0005,B,000031,0000000
07,1989,06,1,01,18,013,01,0001,A,000007,0000002
07,1989,06,1,01,18,013,01,0001,A,000064,0000038
07,1989,06,1,01,18,013,01,0002,A,000004,0000001
07,1989,06,1,01,18,013,01,0002,A,000013,0000001
07,1989,06,1,01,18,013,01,0002,A,000018,0000001
07,1989,06,1,01,18,001,01,0001,A,000016,0000000
07,1989,06,1,01,18,002,01,0001,A,000005,0000000
07,1989,06,1,01,18,002,01,0001,A,000010,0000036
07,1989,06,1,01,18,003,01,0001,A,000010,0000039
07,1989,06,1,01,18,003,01,0001,A,000012,0000000
07,1989,06,1,01,18,003,01,0001,A,000014,0000000
07,1989,06,1,01,18,003,01,0001,A,000031,0000000
07,1989,06,1,01,18,003,01,0001,B,000010,0000039
07,1989,06,1,01,18,003,01,0001,B,000015,0000025
07,1989,06,1,01,18,003,01,0001,B,000019,0000002
07,1989,06,1,01,18,003,01,0002,A,000030,0000000
07,1989,06,1,01,18,003,01,0002,B,000006,0000011
07,1989,06,1,01,18,003,01,0002,B,000008,0000001
07,1989,06,1,01,18,003,01,0002,B,000015,0000014
07,1989,06,1,01,18,003,01,0003,A,000016,0000001
07,1989,06,1,01,18,003,01,0005,A,000004,0000000
07,1989,06,1,01,18,003,01,0005,A,000020,0000000
07,1989,06,1,01,18,003,01,0005,A,000025,0000009
07,1989,06,1,01,18,004,01,0001,A,000004,0000000
